first_day_in_week,last_day_in_week,APLY_main_symb_weekly_mean_diff,DISI.TA_weekly_mean_diff_0.37,ECP.TA_weekly_mean_diff_0.37,MTRX.TA_weekly_mean_diff_0.42,TLRD.TA_weekly_mean_diff_0.43,AICS.TA_weekly_mean_diff_0.51,SHAN.TA_weekly_mean_diff_0.51
2019-03-03,2019-03-09,-3.3199981689453186,-3.0,-0.8,14.6,-2.820001220703125,-0.6,0.64000244140625
2019-03-10,2019-03-16,2.4399993896484435,-1.75999755859375,23.2,3.2,4.920001220703125,-0.2,10.939996337890625
2019-03-17,2019-03-23,-9.060000610351562,-25.94000244140625,-25.0,-16.4,0.179998779296875,-4.2,-4.139996337890625
2019-03-24,2019-03-30,-3.620001220703125,-5.94000244140625,15.0,10.8,-0.9199981689453182,-0.8,1.279998779296875
2019-03-31,2019-04-06,-3.0,-1.87999267578125,-6.8,43.2,-7.8,-2.6,-0.720001220703125
2019-04-07,2019-04-13,-6.7,-8.8800048828125,91.8,60.0,1.9599975585937615,-5.6,3.15999755859375
2019-04-14,2019-04-20,8.460000610351562,-0.64000244140625,21.8,-24.0,-0.17999877929688068,0.8,2.0800048828125
2019-04-21,2019-04-27,0.1800018310546875,12.64000244140625,2.8,-1.0,0.6600006103515625,-2.2,-1.7
2019-04-28,2019-05-04,-1.44000244140625,-6.3,-16.4,-46.0,-1.1800018310546818,0.4,1.35999755859375
2019-05-05,2019-05-11,0.2800018310546875,1.4800048828125,-14.0,14.6,-0.3399993896484432,-1.0,1.3
2019-05-12,2019-05-18,0.0199981689453125,4.7,27.6,24.4,-2.0199981689453126,-2.2,1.420001220703125
2019-05-19,2019-05-25,-3.0,-3.060009765625,6.0,48.0,-1.4800018310546874,2.6,1.420001220703125
2019-05-26,2019-06-01,-0.2,-5.07999267578125,-43.8,38.6,-8.439999389648438,-0.8,6.4
2019-06-02,2019-06-08,-6.979998779296875,-14.74000244140625,-16.2,-24.6,-1.3399993896484403,-3.0,1.15999755859375
2019-06-09,2019-06-15,-3.519999694824219,-10.44000244140625,6.2,-7.0,-1.1200012207031194,-2.0,-0.6
2019-06-16,2019-06-22,-0.4800003051757813,-17.6199951171875,-12.8,-27.8,0.2,3.2,-2.7400024414062387
2019-06-23,2019-06-29,2.5199996948242194,6.05999755859375,-18.4,15.8,0.08000030517577841,3.6,2.7200012207031135
2019-06-30,2019-07-06,0.5,16.0199951171875,59.0,92.6,-0.8399993896484375,-3.4,6.34000244140625
2019-07-07,2019-07-13,-0.4,-5.47999267578125,-52.0,-2.6,-1.2800003051757813,-1.8,-2.74000244140625
2019-07-14,2019-07-20,-2.3599990844726597,-5.4800048828125,32.6,-30.4,0.08000030517578124,-2.6,7.7799987792968865
2019-07-21,2019-07-27,0.1199996948242216,-2.6199951171875,21.2,7.4,0.25999908447265907,1.8,3.7600036621093635
2019-07-28,2019-08-03,0.4199996948242187,-8.24000244140625,79.4,15.0,0.6200012207031194,0.4,-1.020001220703125
2019-08-04,2019-08-10,-2.2800003051757813,-8.759997558593772,40.6,-14.0,-0.18000030517577842,0.0,-1.4
2019-08-11,2019-08-17,-1.5399993896484374,-4.759997558593727,47.4,-12.0,-0.4199996948242216,-2.4,0.45999755859376135
2019-08-18,2019-08-24,-0.1600006103515625,8.85999755859375,12.8,57.2,0.13999938964844033,-0.4,3.9200012207031136
2019-08-25,2019-08-31,-1.9199996948242188,-8.880004882812477,-41.0,-25.0,-0.6600006103515597,-1.8,-1.939996337890625
2019-09-01,2019-09-07,-0.18000030517578125,10.480004882812477,87.0,-8.8,-1.3799987792968806,0.2,-0.860003662109375
2019-09-08,2019-09-14,-0.7999992370605504,-1.7800048828125,-21.2,-31.6,0.4599990844726591,-0.6,-0.6200012207031136
2019-09-15,2019-09-21,-0.18000030517577842,-0.4749908447265625,-69.0,66.5,0.47500038146972656,0.5,3.5500030517577983
2019-09-22,2019-09-28,1.25,-2.160009765625,92.4,56.4,-0.33999938964844034,-1.8,2.74000244140625
