first_day_in_week,last_day_in_week,UNON_main_symb_weekly_mean_diff,OPAL.TA_weekly_mean_diff_0.49_INT_ZUR.TA_weekly_mean_diff_0.37_corr_0.73,SANO1.TA_weekly_mean_diff_0.37
2019-04-21,2019-04-27,4.0,6.8,106.0
2019-04-28,2019-05-04,-3.2,26.491990966796877,16.0
2019-05-05,2019-05-11,-4.8,-3.100006103515625,-8.0
2019-05-12,2019-05-18,-3.4,0.044002685546875,-52.0
2019-05-19,2019-05-25,-5.0,-20.88,72.0
2019-05-26,2019-06-01,-2.8,5.5,106.0
2019-06-02,2019-06-08,1.4,-0.36000000000000004,26.0
2019-06-09,2019-06-15,-2.8,8.8,40.0
2019-06-16,2019-06-22,8.0,-0.8159985351562501,92.0
2019-06-23,2019-06-29,-1.0,9.0,-24.0
2019-06-30,2019-07-06,0.0,11.33599365234375,30.0
2019-07-07,2019-07-13,-3.6,-20.328010253906253,18.0
2019-07-14,2019-07-20,-3.0,5.175581518560657,36.0
2019-07-21,2019-07-27,2.6,6.968773364275722,18.0
2019-07-28,2019-08-03,-7.4,-3.7200073242187504,-12.0
2019-08-04,2019-08-10,-14.8,3.837609716802817,28.0
2019-08-11,2019-08-17,16.4,0.7079992675781273,68.0
2019-08-18,2019-08-24,-13.4,-25.219952392578275,4.0
2019-08-25,2019-08-31,11.8,-69.24001464843744,-22.0
2019-09-01,2019-09-07,-3.0,4.800000000000001,6.0
2019-09-08,2019-09-14,-3.5,22.271978759765624,-42.0
2019-09-15,2019-09-21,-2.2,-0.20000076293945312,-22.5
2019-09-22,2019-09-28,-1.5,5.4,20.0
2019-09-29,2019-10-05,2.6666666666666665,15.60003662109375,185.0
2019-10-06,2019-10-12,13.666666666666664,1.633338080512153,196.66666666666666
2019-10-13,2019-10-19,34.666666666666664,30.277777777777782,110.0
2019-10-20,2019-10-26,-7.4,18.666666666666664,63.333333333333336
2019-10-27,2019-11-02,-2.4,-22.11998291015625,-20.0
2019-11-03,2019-11-09,-0.2,7.776013183593751,-98.0
2019-11-10,2019-11-16,3.2,6.6240087890625,80.0
2019-11-17,2019-11-23,66.4,-22.187989501953123,30.0
2019-11-24,2019-11-30,6.0,5.512012939453125,170.0
2019-12-01,2019-12-07,39.6,-6.383979492187564,112.0
2019-12-08,2019-12-14,-7.2,-43.63189453125025,-100.0
2019-12-15,2019-12-21,13.6,3.339996337890625,-174.0
2019-12-22,2019-12-28,-5.8,-0.6080004882812501,-86.0
2019-12-29,2020-01-04,2.8,36.260000000000005,80.0
2020-01-05,2020-01-11,-1.8,-95.39999999999999,130.0
2020-01-12,2020-01-18,-0.4,3.9480102539062027,-12.0
2020-01-19,2020-01-25,-47.8,-3.5519458007814184,56.0
2020-01-26,2020-02-01,3.2,4.10400146484375,-144.0
2020-02-02,2020-02-08,7.6,27.392031249999857,-78.0
2020-02-09,2020-02-15,-9.8,43.43204345703105,-30.0
2020-02-16,2020-02-22,-29.4,53.79998779296875,180.0
2020-02-23,2020-02-29,-38.0,100.8,-360.0
2020-03-01,2020-03-07,-93.5,1221.875,102.5
2020-03-08,2020-03-14,-55.6,3421.3375930786124,-690.0
2020-03-15,2020-03-21,0.2,243.73274467773743,40.0
2020-03-22,2020-03-28,44.2,165.05758243408053,214.0
2020-03-29,2020-04-04,16.666666666666668,62.6687961914019,236.0
2020-04-05,2020-04-11,5.333333333333333,78.57798936631879,176.66666666666666
2020-04-12,2020-04-18,22.0,5.502350328282787,643.3333333333334
2020-04-19,2020-04-25,45.33333333333334,5.212415551766718,446.0
2020-04-26,2020-05-02,-9.4,327.1952016873078,-26.666666666666668
2020-05-03,2020-05-09,-22.8,23.026421044915914,-294.0
2020-05-10,2020-05-16,11.8,180.33906708985566,-78.0
2020-05-17,2020-05-23,10.75,-4.4799999999999995,270.0
2020-05-24,2020-05-30,6.6,43.70625686645508,-5.0
2020-05-31,2020-06-06,40.5,-6.614767138659954,-12.0
2020-06-07,2020-06-13,-11.2,-15.436206359881908,5.0
2020-06-14,2020-06-20,-6.0,93.80878081053496,-8.0
2020-06-21,2020-06-27,21.0,55.968019409179604,-270.0
2020-06-28,2020-07-04,-17.6,-13.44802001953125,-64.0
2020-07-05,2020-07-11,0.4,15.831580053716955,98.0
2020-07-12,2020-07-18,-4.2,-0.5192023437470491,-56.0
2020-07-19,2020-07-25,8.5,16.228790698237713,22.0
2020-07-26,2020-08-01,-14.6,-1.535625629418025,-22.5
2020-08-02,2020-08-08,26.4,-7.84000854492181,230.0
2020-08-09,2020-08-15,20.4,95.61646706543854,258.0
2020-08-16,2020-08-22,5.6,-1.8016064819320396,278.0
2020-08-23,2020-08-29,-19.0,35.64996490478516,470.0
2020-08-30,2020-09-05,-13.4,145.15353256836534,-298.0
2020-09-06,2020-09-12,,-5.810003662109375,334.0
