first_day_in_week,last_day_in_week,MDVI_main_symb_weekly_mean_diff,MDVI.TA_weekly_mean_diff_-0.36
2019-03-10,2019-03-16,7.6,-58.0
2019-03-17,2019-03-23,-42.0,7.6
2019-03-24,2019-03-30,2.8,-42.0
2019-03-31,2019-04-06,-17.2,2.8
2019-04-07,2019-04-13,-31.8,-17.2
2019-04-14,2019-04-20,3.6,-31.8
2019-04-21,2019-04-27,-41.0,3.6
2019-04-28,2019-05-04,2.0,-41.0
2019-05-05,2019-05-11,-146.0,2.0
2019-05-12,2019-05-18,194.8,-146.0
2019-05-19,2019-05-25,-41.2,194.8
2019-05-26,2019-06-01,-26.6,-41.2
2019-06-02,2019-06-08,-13.2,-26.6
2019-06-09,2019-06-15,-10.8,-13.2
2019-06-16,2019-06-22,59.2,-10.8
2019-06-23,2019-06-29,-45.8,59.2
2019-06-30,2019-07-06,-74.2,-45.8
2019-07-07,2019-07-13,-31.6,-74.2
2019-07-14,2019-07-20,33.4,-31.6
2019-07-21,2019-07-27,-23.8,33.4
2019-07-28,2019-08-03,-23.0,-23.8
2019-08-04,2019-08-10,-21.0,-23.0
2019-08-11,2019-08-17,32.8,-21.0
2019-08-18,2019-08-24,-12.6,32.8
2019-08-25,2019-08-31,-38.4,-12.6
2019-09-01,2019-09-07,10.4,-38.4
2019-09-08,2019-09-14,6.5,10.4
2019-09-15,2019-09-21,-8.6,6.5
2019-09-22,2019-09-28,-0.5,-8.6
2019-09-29,2019-10-05,-23.33333333333333,-0.5
2019-10-06,2019-10-12,-3.6666666666666665,-23.333333333333332
2019-10-13,2019-10-19,-9.0,-3.6666666666666665
2019-10-20,2019-10-26,-2.0,-9.0
2019-10-27,2019-11-02,0.2,-2.0
2019-11-03,2019-11-09,-7.8,0.2
2019-11-10,2019-11-16,-5.0,-7.8
2019-11-17,2019-11-23,-11.6,-5.0
2019-11-24,2019-11-30,-24.6,-11.6
2019-12-01,2019-12-07,-43.4,-24.6
2019-12-08,2019-12-14,-41.4,-43.4
2019-12-15,2019-12-21,-41.7,-41.4
2019-12-22,2019-12-28,26.319995117187524,-41.7
2019-12-29,2020-01-04,-3.3599975585937734,26.319995117187524
2020-01-05,2020-01-11,-7.0199951171875,-3.359997558593773
2020-01-12,2020-01-18,-11.65999755859375,-7.0199951171875
2020-01-19,2020-01-25,1.05999755859375,-11.65999755859375
2020-01-26,2020-02-01,3.14000244140625,1.05999755859375
2020-02-02,2020-02-08,1.87999267578125,3.14000244140625
2020-02-09,2020-02-15,-6.37999267578125,1.87999267578125
2020-02-16,2020-02-22,-2.460009765625,-6.37999267578125
2020-02-23,2020-02-29,-8.024993896484375,-2.460009765625
2020-03-01,2020-03-07,-56.35000610351562,-8.024993896484375
2020-03-08,2020-03-14,-20.75999755859374,-56.350006103515625
2020-03-15,2020-03-21,12.14000244140624,-20.75999755859374
2020-03-22,2020-03-28,22.34000244140625,12.140002441406239
2020-03-29,2020-04-04,18.73333740234375,22.34000244140625
2020-04-05,2020-04-11,-14.23333740234375,18.73333740234375
2020-04-12,2020-04-18,14.44000244140625,-14.23333740234375
2020-04-19,2020-04-25,-17.366678873697918,14.44000244140625
2020-04-26,2020-05-02,17.0,-17.366678873697918
2020-05-03,2020-05-09,19.85999755859375,17.0
2020-05-10,2020-05-16,-1.4199951171875,19.85999755859375
2020-05-17,2020-05-23,-4.850006103515625,-1.4199951171875
2020-05-24,2020-05-30,-0.139990234375,-4.850006103515625
2020-05-31,2020-06-06,-1.0500030517578125,-0.139990234375
2020-06-07,2020-06-13,0.15999755859375,-1.0500030517578125
2020-06-14,2020-06-20,-0.1,0.15999755859375
2020-06-21,2020-06-27,-42.039995956420896,-0.1
2020-06-28,2020-07-04,-4.800006484985351,-42.039995956420896
2020-07-05,2020-07-11,0.2,-4.800006484985351
2020-07-12,2020-07-18,-20.77999267578125,0.2
2020-07-19,2020-07-25,-10.95000457763672,-20.77999267578125
2020-07-26,2020-08-01,,-10.950004577636719
