first_day_in_week,last_day_in_week,ARYT_main_symb_weekly_mean_diff,MLTM.TA_weekly_mean_diff_0.39,PCBT.TA_weekly_mean_diff_0.39,ALRPR.TA_weekly_mean_diff_0.4,CLIS.TA_weekly_mean_diff_0.4
2019-03-10,2019-03-16,1.4,268.0,1.379998779296875,64.0,40.6
2019-03-17,2019-03-23,-1.6600006103515623,316.0,7.8,0.0,-46.8
2019-03-24,2019-03-30,-0.020001220703125,-16.0,-0.6599975585937727,46.0,-54.2
2019-03-31,2019-04-06,0.0800018310546875,170.0,1.4799926757812727,12.0,33.8
2019-04-07,2019-04-13,-0.14000244140625,580.0,3.1800048828125,-14.0,60.4
2019-04-14,2019-04-20,-0.579998779296875,290.0,1.7,90.0,-41.0
2019-04-21,2019-04-27,-1.5600006103515625,-16.0,0.3199951171875,14.0,-15.8
2019-04-28,2019-05-04,0.2800018310546875,-618.0,3.42000732421875,-70.0,94.0
2019-05-05,2019-05-11,1.3199981689453124,116.0,-0.85999755859375,36.0,155.0
2019-05-12,2019-05-18,-0.6600006103515625,140.0,0.4199951171875,18.0,3.8
2019-05-19,2019-05-25,-0.8399993896484375,1066.0,0.9199951171875,64.0,-47.6
2019-05-26,2019-06-01,-0.1399993896484375,-232.0,0.72000732421875,-164.0,-50.4
2019-06-02,2019-06-08,1.079998779296875,-158.0,-0.85999755859375,-30.0,8.4
2019-06-09,2019-06-15,-0.7199981689453125,-526.0,-0.52000732421875,148.0,-16.6
2019-06-16,2019-06-22,-0.2600006103515625,380.0,-0.0199951171875,90.0,62.2
2019-06-23,2019-06-29,-0.520001220703125,28.0,-7.52000732421875,-20.0,-12.0
2019-06-30,2019-07-06,-0.679998779296875,156.0,2.060009765625,162.0,10.0
2019-07-07,2019-07-13,0.879998779296875,-2.0,0.7,66.0,3.2
2019-07-14,2019-07-20,0.84000244140625,-334.0,-3.8400024414062726,-238.0,-56.0
2019-07-21,2019-07-27,3.1199981689453127,-46.0,-0.6800048828124545,-34.0,24.2
2019-07-28,2019-08-03,-0.3199981689453125,54.0,-4.419995117187545,76.0,-36.6
2019-08-04,2019-08-10,-1.8600006103515625,-146.0,-4.540002441406227,156.0,-54.8
2019-08-11,2019-08-17,-1.1600006103515623,380.0,-2.25999755859375,-114.0,-56.0
2019-08-18,2019-08-24,-0.0399993896484375,2310.0,2.0199951171875115,80.0,1.0
2019-08-25,2019-08-31,-0.620001220703125,72.0,-4.879998779296886,34.0,26.6
2019-09-01,2019-09-07,0.7399993896484375,-114.0,-5.0,0.0,-8.0
2019-09-08,2019-09-14,-0.625,-476.0,-5.079998779296875,36.0,15.6
2019-09-15,2019-09-21,0.4600006103515625,145.0,2.6750030517578125,95.0,-4.5
2019-09-22,2019-09-28,-1.0499954223632812,-120.0,3.579998779296875,-10.0,-3.6
