first_day_in_week,last_day_in_week,ECP_main_symb_weekly_mean_diff,ENRG.TA_weekly_mean_diff_0.44
2019-03-10,2019-03-16,-25.0,9.779998779296875
2019-03-17,2019-03-23,15.0,5.9800048828125
2019-03-24,2019-03-30,-6.8,-2.32000732421875
2019-03-31,2019-04-06,91.8,0.9800048828125
2019-04-07,2019-04-13,21.8,2.2199951171875
2019-04-14,2019-04-20,2.8,-0.0199951171875
2019-04-21,2019-04-27,-16.4,6.15999755859375
2019-04-28,2019-05-04,-14.0,-1.1800048828125
2019-05-05,2019-05-11,27.6,3.7800048828125
2019-05-12,2019-05-18,6.0,5.54000244140625
2019-05-19,2019-05-25,-43.8,-0.2800048828125
2019-05-26,2019-06-01,-16.2,-0.47999267578125
2019-06-02,2019-06-08,6.2,4.2
2019-06-09,2019-06-15,-12.8,-0.5800048828125
2019-06-16,2019-06-22,-18.4,5.2800048828125
2019-06-23,2019-06-29,59.0,3.9199951171875
2019-06-30,2019-07-06,-52.0,3.9800048828125
2019-07-07,2019-07-13,32.6,0.0
2019-07-14,2019-07-20,21.2,-5.3
2019-07-21,2019-07-27,79.4,1.25999755859375
2019-07-28,2019-08-03,40.6,-4.14000244140625
2019-08-04,2019-08-10,47.4,15.1800048828125
2019-08-11,2019-08-17,12.8,-10.62000732421875
2019-08-18,2019-08-24,-41.0,21.64000244140625
2019-08-25,2019-08-31,87.0,0.0
2019-09-01,2019-09-07,-21.2,3.7800048828125
2019-09-08,2019-09-14,-69.0,-19.7800048828125
2019-09-15,2019-09-21,92.4,11.475006103515625
2019-09-22,2019-09-28,-44.5,9.2199951171875
2019-09-29,2019-10-05,-10.333333333333334,-3.850006103515625
2019-10-06,2019-10-12,95.33333333333331,13.866678873697916
2019-10-13,2019-10-19,-83.33333333333333,-1.9666748046875
2019-10-20,2019-10-26,30.6,7.866658528645833
2019-10-27,2019-11-02,-28.6,4.14000244140625
2019-11-03,2019-11-09,20.8,2.5599975585937726
2019-11-10,2019-11-16,86.2,-9.219995117187523
2019-11-17,2019-11-23,8.0,8.8
2019-11-24,2019-11-30,-27.2,7.6
2019-12-01,2019-12-07,-25.4,-3.580004882812477
2019-12-08,2019-12-14,22.6,4.9
2019-12-15,2019-12-21,10.0,-0.6
2019-12-22,2019-12-28,-2.0,12.680004882812478
2019-12-29,2020-01-04,69.2,10.4
2020-01-05,2020-01-11,-68.4,16.6
2020-01-12,2020-01-18,5.4,11.0
2020-01-19,2020-01-25,107.6,-1.4
2020-01-26,2020-02-01,32.8,1.4
2020-02-02,2020-02-08,45.8,-2.0
2020-02-09,2020-02-15,-69.8,6.4
2020-02-16,2020-02-22,-86.6,3.8
2020-02-23,2020-02-29,-112.5,-13.0
2020-03-01,2020-03-07,-242.75,-9.75
2020-03-08,2020-03-14,48.2,-57.0
2020-03-15,2020-03-21,215.4,19.6
2020-03-22,2020-03-28,-131.6,-1.0
2020-03-29,2020-04-04,170.33333333333334,-0.4
2020-04-05,2020-04-11,-13.333333333333336,38.666666666666664
2020-04-12,2020-04-18,66.0,24.333333333333332
2020-04-19,2020-04-25,68.33333333333333,-17.8
2020-04-26,2020-05-02,-25.0,33.333333333333336
2020-05-03,2020-05-09,2.2,-7.2
2020-05-10,2020-05-16,75.4,3.2
2020-05-17,2020-05-23,260.5,30.8
2020-05-24,2020-05-30,4.2,-2.5
2020-05-31,2020-06-06,-35.25,9.2
2020-06-07,2020-06-13,78.0,20.5
2020-06-14,2020-06-20,-26.0,-4.4
2020-06-21,2020-06-27,25.99993896484375,-17.6
2020-06-28,2020-07-04,-122.39993896484377,-269.65599994659425
2020-07-05,2020-07-11,282.6,262.45599994659426
2020-07-12,2020-07-18,-46.2,10.4
2020-07-19,2020-07-25,10.25,2.0
2020-07-26,2020-08-01,,28.5
