first_day_in_week,last_day_in_week,YBOX_main_symb_weekly_mean_diff,HARL.TA_weekly_mean_diff_0.4,ALRPR.TA_weekly_mean_diff_0.46
2019-03-10,2019-03-16,0.2200007438659668,-8.8,64.0
2019-03-17,2019-03-23,0.03999948501586914,-5.0,0.0
2019-03-24,2019-03-30,-0.6599998474121094,-30.0,46.0
2019-03-31,2019-04-06,0.0,30.6,12.0
2019-04-07,2019-04-13,0.69999933242798,41.4,-14.0
2019-04-14,2019-04-20,-0.2799991607666044,-6.8,90.0
2019-04-21,2019-04-27,-0.0799997806549058,4.6,14.0
2019-04-28,2019-05-04,0.3799997806549058,-19.4,-70.0
2019-05-05,2019-05-11,-0.27999987602233745,-9.6,36.0
2019-05-12,2019-05-18,0.1399993896484375,36.2,18.0
2019-05-19,2019-05-25,-0.4799997806549072,-11.0,64.0
2019-05-26,2019-06-01,0.3400003910064697,7.4,-164.0
2019-06-02,2019-06-08,-0.060000419616699226,-5.4,-30.0
2019-06-09,2019-06-15,-0.5999994277954116,-2.2,148.0
2019-06-16,2019-06-22,-0.3400003910064683,4.2,90.0
2019-06-23,2019-06-29,0.6400001049041748,-13.4,-20.0
2019-06-30,2019-07-06,0.19999980926513813,4.8,162.0
2019-07-07,2019-07-13,-0.09999990463256976,1.4,66.0
2019-07-14,2019-07-20,-0.2799999713897705,-21.0,-238.0
2019-07-21,2019-07-27,1.380000114440918,20.2,-34.0
2019-07-28,2019-08-03,1.4399993419647246,8.4,76.0
2019-08-04,2019-08-10,0.5200004577636719,-8.4,156.0
2019-08-11,2019-08-17,0.6599998474121065,-8.4,-114.0
2019-08-18,2019-08-24,-1.2199997901916504,15.8,80.0
2019-08-25,2019-08-31,0.23999929428100586,2.4,34.0
2019-09-01,2019-09-07,2.940000295639038,20.8,0.0
2019-09-08,2019-09-14,-1.3249993324279752,9.4,36.0
2019-09-15,2019-09-21,-0.4799997806549129,14.25,95.0
2019-09-22,2019-09-28,1.3999998569488523,12.8,-10.0
2019-09-29,2019-10-05,0.23333231608073865,-18.0,-20.0
2019-10-06,2019-10-12,0.9666661421457832,-9.0,250.0
2019-10-13,2019-10-19,-0.3999988238016717,11.0,-6.666666666666667
2019-10-20,2019-10-26,0.2799999713897733,-5.666666666666667,-90.0
2019-10-27,2019-11-02,-0.5599999427795439,-31.8,20.0
2019-11-03,2019-11-09,-0.8399999141693144,0.2,-102.0
2019-11-10,2019-11-16,0.11999964714050862,6.4,-54.0
2019-11-17,2019-11-23,0.21999955177306849,7.8,52.0
2019-11-24,2019-11-30,0.140000581741333,9.2,132.0
2019-12-01,2019-12-07,-0.04000067710876465,-26.8,10.0
2019-12-08,2019-12-14,-0.01999974250793457,-13.2,20.0
2019-12-15,2019-12-21,-0.559999942779541,-6.6,68.0
2019-12-22,2019-12-28,0.14000058174133018,2.4,-42.0
2019-12-29,2020-01-04,1.9999992847442685,-6.2,60.0
2020-01-05,2020-01-11,-0.8999991416931152,-31.4,44.0
2020-01-12,2020-01-18,0.8599996566772404,8.8,418.0
2020-01-19,2020-01-25,-1.0800004005432071,-1.2,-84.0
2020-01-26,2020-02-01,-0.4999995231628446,-40.2,-220.0
2020-02-02,2020-02-08,1.0199999809265166,-3.4,-62.0
2020-02-09,2020-02-15,0.4999995231628361,3.8,-30.0
2020-02-16,2020-02-22,-1.0499994993209811,21.6,166.0
2020-02-23,2020-02-29,-1.3875010907649994,-81.4,-438.0
2020-03-01,2020-03-07,-4.99999874830246,-65.75,-890.0
2020-03-08,2020-03-14,-0.7400006055831909,-82.75,-1003.0
2020-03-15,2020-03-21,1.9400006532669067,29.0,-32.6
2020-03-22,2020-03-28,1.6399991512298584,37.0,376.8
2020-03-29,2020-04-04,-0.3999988238016765,-8.6,184.2
2020-04-05,2020-04-11,-0.1333336035410563,9.0,-122.66666666666667
2020-04-12,2020-04-18,-0.8800005912780762,55.0,-285.0
2020-04-19,2020-04-25,-0.966666142145795,38.6,36.2
2020-04-26,2020-05-02,-0.4999995231628418,34.333333333333336,324.0
2020-05-03,2020-05-09,-0.6599998474121079,-21.0,-190.2
2020-05-10,2020-05-16,0.0,-29.6,-251.2
2020-05-17,2020-05-23,0.22500008344650446,32.6,81.4
2020-05-24,2020-05-30,-0.950002670288086,3.75,0.0
2020-05-31,2020-06-06,,-22.8,-16.0
