first_day_in_week,last_day_in_week,MRIN_main_symb_weekly_mean_diff,ALRPR.TA_weekly_mean_diff_0.43_INT_OPAL.TA_weekly_mean_diff_0.39_corr_0.72
2019-03-10,2019-03-16,-0.6,84.48007812500073
2019-03-17,2019-03-23,-7.600000000000012,0.0
2019-03-24,2019-03-30,6.959997558593738,-11.959887695312501
2019-03-31,2019-04-06,-1.0,93.3599853515625
2019-04-07,2019-04-13,3.6400024414062733,-37.24005126953125
2019-04-14,2019-04-20,2.820007324218728,-30.600219726562504
2019-04-21,2019-04-27,-0.1,23.8
2019-04-28,2019-05-04,-3.2,250.59991455078125
2019-05-05,2019-05-11,-1.2200073242187273,-22.320043945312502
2019-05-12,2019-05-18,2.559997558593728,-0.36002197265624997
2019-05-19,2019-05-25,-13.139996337890626,57.6
2019-05-26,2019-06-01,3.84000244140625,82.0
2019-06-02,2019-06-08,-3.620001220703125,-54.0
2019-06-09,2019-06-15,3.8,-148.0
2019-06-16,2019-06-22,-3.120001220703125,-183.59967041015628
2019-06-23,2019-06-29,5.779998779296898,-36.0
2019-06-30,2019-07-06,1.9,706.3196044921875
2019-07-07,2019-07-13,0.32000732421872724,159.72008056640627
2019-07-14,2019-07-20,2.4599975585937277,90.43970947265625
2019-07-21,2019-07-27,-3.7599975585937266,-42.159875488281244
2019-07-28,2019-08-03,-3.560003662109375,94.240185546875
2019-08-04,2019-08-10,-0.479998779296875,-127.9201904296875
2019-08-11,2019-08-17,-0.28000488281248864,11.4
2019-08-18,2019-08-24,-5.479998779296887,-520.0
2019-08-25,2019-08-31,4.7,-102.0
2019-09-01,2019-09-07,4.400006103515625,0.0
2019-09-08,2019-09-14,-2.925003051757841,46.0799560546875
2019-09-15,2019-09-21,-1.080004882812466,38.000144958496094
2019-09-22,2019-09-28,-8.75,18.0
2019-09-29,2019-10-05,9.533345540364564,26.00006103515625
2019-10-06,2019-10-12,9.199991861979166,175.0005086263021
2019-10-13,2019-10-19,0.7666625976562879,-5.555555555555556
2019-10-20,2019-10-26,6.220007324218727,-240.0
2019-10-27,2019-11-02,7.15999755859375,31.5999755859375
2019-11-03,2019-11-09,-3.44000244140625,-73.44012451171875
2019-11-10,2019-11-16,2.8199951171875,-49.68006591796875
2019-11-17,2019-11-23,-4.3,134.1599365234375
2019-11-24,2019-11-30,2.24000244140625,68.64016113281251
2019-12-01,2019-12-07,2.12000732421875,11.399963378906364
2019-12-08,2019-12-14,0.6,-40.39990234375023
2019-12-15,2019-12-21,1.67999267578125,227.1197509765625
2019-12-22,2019-12-28,6.74000244140625,-63.84005126953125
2019-12-29,2020-01-04,34.74000244140625,294.0
2020-01-05,2020-01-11,16.040002441406227,396.0
2020-01-12,2020-01-18,1.3799926757812728,-392.9210205078078
2020-01-19,2020-01-25,-18.15999755859375,20.159692382813457
2020-01-26,2020-02-01,16.8,752.4002685546875
2020-02-02,2020-02-08,22.2,132.6801513671868
2020-02-09,2020-02-15,17.6,-73.20007324218716
2020-02-16,2020-02-22,-38.9,893.0797973632812
2020-02-23,2020-02-29,-28.125,1226.3999999999999
2020-03-01,2020-03-07,-75.875,18912.5
2020-03-08,2020-03-14,-13.35999755859375,30591.499999999993
2020-03-15,2020-03-21,14.4,452.4879602050783
2020-03-22,2020-03-28,22.65999755859375,4129.728229980468
2020-03-29,2020-04-04,38.333333333333336,1127.3036627197287
2020-04-05,2020-04-11,-5.0,-278.0451931423588
2020-04-12,2020-04-18,17.0,76.00173950194772
2020-04-19,2020-04-25,25.400004069010414,60.09213256835897
2020-04-26,2020-05-02,-4.04000244140625,1965.5980224609375
2020-05-03,2020-05-09,-15.5800048828125,-1023.2757678222655
2020-05-10,2020-05-16,18.42000732421875,1939.2627734374998
2020-05-17,2020-05-23,-0.475006103515625,-16.28
2020-05-24,2020-05-30,9.4,-0.0
2020-05-31,2020-06-06,20.92500305175781,-7.3599609375
2020-06-07,2020-06-13,11.2,240.15569686889648
2020-06-14,2020-06-20,-8.4,-569.66373046875
2020-06-21,2020-06-27,-3.6,385.0881335449213
2020-06-28,2020-07-04,-3.75999755859375,288.6397381591669
2020-07-05,2020-07-11,-6.24000244140625,34.44407530965878
2020-07-12,2020-07-18,14.6,3.7759960937500185
2020-07-19,2020-07-25,9.0,-5.096001586914048
2020-07-26,2020-08-01,,-119.92528152465732
