first_day_in_week,last_day_in_week,CNMD_main_symb_weekly_mean_diff,SFET.TA_weekly_mean_diff_0.37
2019-03-10,2019-03-16,9.6,19.2
2019-03-17,2019-03-23,-1.2,-14.0
2019-03-24,2019-03-30,2.3399993896484377,4.4
2019-03-31,2019-04-06,0.8600006103515625,7.2
2019-04-07,2019-04-13,3.5666656494140696,6.4
2019-05-05,2019-05-11,-10.653332519531256,-3.6
2019-05-12,2019-05-18,1.8,-1.6
2019-05-19,2019-05-25,-4.5,-1.2
2019-05-26,2019-06-01,-0.08000030517578123,-3.2
2019-06-02,2019-06-08,-0.7599990844726591,-4.0
2019-06-09,2019-06-15,-1.6600006103515597,-8.0
2019-06-16,2019-06-22,11.6,-2.4
2019-06-23,2019-06-29,-5.139999389648444,-2.8
2019-06-30,2019-07-06,1.2799987792968808,3.6
2019-07-07,2019-07-13,-4.839999389648439,-3.2
2019-07-14,2019-07-20,6.1,-1.2
2019-07-21,2019-07-27,1.0,-12.8
2019-07-28,2019-08-03,0.2,-2.0
2019-08-04,2019-08-10,-3.120001220703125,-8.0
2019-08-11,2019-08-17,-5.119998168945315,-0.8
2019-08-18,2019-08-24,-3.76000061035156,1.6
2019-08-25,2019-08-31,1.8,0.4
2019-09-01,2019-09-07,0.8399993896484403,-6.8
2019-09-08,2019-09-14,-3.199998855590824,-3.2
2019-09-15,2019-09-21,-0.3400009155273409,-1.0
2019-09-22,2019-09-28,2.6500015258788987,-1.2
2019-09-29,2019-10-05,-0.03333282470703125,-3.0
2019-10-06,2019-10-12,0.03333282470703125,0.0
2019-10-13,2019-10-19,-1.5666656494140672,-3.3333333333333335
2019-10-20,2019-10-26,0.33999938964844034,-1.266667683919266
2019-10-27,2019-11-02,-1.0,-8.259999084472659
2019-11-03,2019-11-09,0.6,-2.0600006103515627
2019-11-10,2019-11-16,-0.4,-1.6
2019-11-17,2019-11-23,0.4199996948242187,-0.01999969482421875
2019-11-24,2019-11-30,-1.0199996948242187,0.7
2019-12-01,2019-12-07,-1.9199996948242188,-2.4400001525878907
2019-12-08,2019-12-14,0.31999969482421875,-2.0599998474121093
2019-12-15,2019-12-21,0.2399993896484375,0.0
2019-12-22,2019-12-28,-0.079998779296875,-1.379999923706054
2019-12-29,2020-01-04,-2.370000457763672,-0.06000022888183594
2020-01-05,2020-01-11,-2.45,0.06000022888183594
2020-01-12,2020-01-18,-5.440000152587889,-0.2
2020-01-19,2020-01-25,0.75,0.279999923706054
2020-01-26,2020-02-01,-4.4333330790201835,-1.2
2020-03-08,2020-03-14,0.6599998474121094,-1.0250000953674316
2020-03-15,2020-03-21,0.2599998474121101,0.7200000762939454
2020-03-22,2020-03-28,0.7400001525878899,0.0
2020-03-29,2020-04-04,0.09999974568685016,0.439999961853027
2020-04-05,2020-04-11,0.4333337148030599,-1.0333331425984695
2020-04-12,2020-04-18,0.3,0.4666665395100911
2020-04-19,2020-04-25,-0.2333335876464856,-0.6799999237060547
2020-04-26,2020-05-02,-0.039999771118164766,0.0666666030883789
2020-05-03,2020-05-09,-0.2600002288818352,-0.08000011444091797
2020-05-10,2020-05-16,-0.07999992370605469,-0.039999961853027344
2020-05-17,2020-05-23,0.375,0.26000003814697265
2020-05-24,2020-05-30,-0.2599998474121101,0.5250000953674316
2020-05-31,2020-06-06,-0.27500009536742986,-0.3400001525878906
2020-06-07,2020-06-13,-0.12000007629394603,0.125
2020-06-14,2020-06-20,-0.2,0.4600000381469723
2020-06-21,2020-06-27,0.12000005245209025,0.2399999618530277
2020-06-28,2020-07-04,-0.22000005245209026,0.020000004768371937
2020-07-05,2020-07-11,0.2799999237060547,0.07999999523162807
2020-07-12,2020-07-18,0.2600002288818352,-0.21999988555908168
2020-07-19,2020-07-25,0.4749999046325701,-0.1
2020-07-26,2020-08-01,,-0.2999999523162846
