first_day_in_week,last_day_in_week,MGDL_main_symb_weekly_mean_diff,SHGR.TA_weekly_mean_diff_0.36
2019-03-10,2019-03-16,-0.3,4.6
2019-03-17,2019-03-23,-2.9,27.8
2019-03-24,2019-03-30,3.5,-8.6
2019-03-31,2019-04-06,3.9,15.2
2019-04-07,2019-04-13,-0.979998779296875,1.0
2019-04-14,2019-04-20,2.15999755859375,-1.0
2019-04-21,2019-04-27,2.020001220703125,4.4
2019-04-28,2019-05-04,0.8599975585937614,-14.4
2019-05-05,2019-05-11,0.7600036621093637,3.4
2019-05-12,2019-05-18,0.579998779296875,-3.2
2019-05-19,2019-05-25,-3.179998779296875,-17.8
2019-05-26,2019-06-01,-3.620001220703125,6.8
2019-06-02,2019-06-08,0.4,3.6
2019-06-09,2019-06-15,1.2,8.0
2019-06-16,2019-06-22,-1.0,3.4
2019-06-23,2019-06-29,6.6,-2.2
2019-06-30,2019-07-06,2.6,-6.0
2019-07-07,2019-07-13,-4.020001220703125,-5.2
2019-07-14,2019-07-20,4.179998779296886,4.0
2019-07-21,2019-07-27,-6.159997558593762,-14.8
2019-07-28,2019-08-03,-8.4,-10.6
2019-08-04,2019-08-10,-2.420001220703125,-0.2
2019-08-11,2019-08-17,3.060003662109375,-3.4
2019-08-18,2019-08-24,-0.060003662109375,17.4
2019-08-25,2019-08-31,1.820001220703125,11.2
2019-09-01,2019-09-07,0.8,-12.6
2019-09-08,2019-09-14,4.75,8.4
2019-09-15,2019-09-21,-2.620001220703125,-4.5
2019-09-22,2019-09-28,-8.449996948242188,5.2
2019-09-29,2019-10-05,1.0666707356770833,-6.0
2019-10-06,2019-10-12,5.066660563151042,8.333333333333334
2019-10-13,2019-10-19,-2.6666666666666665,17.333333333333332
2019-10-20,2019-10-26,0.460003662109375,-7.666666666666667
2019-10-27,2019-11-02,-5.9800048828125,-5.6
2019-11-03,2019-11-09,1.5800048828125,-1.8
2019-11-10,2019-11-16,-0.14000244140625,-6.2
2019-11-17,2019-11-23,2.65999755859375,2.2
2019-11-24,2019-11-30,-0.779998779296875,-21.6
2019-12-01,2019-12-07,0.3,-1.0
2019-12-08,2019-12-14,-3.679998779296875,-0.4
2019-12-15,2019-12-21,-0.9,13.0
2019-12-22,2019-12-28,-1.820001220703125,-1.4
2019-12-29,2020-01-04,-3.579998779296875,5.0
2020-01-05,2020-01-11,-0.5,7.8
2020-01-12,2020-01-18,0.4,-4.2
2020-01-19,2020-01-25,-4.7,2.4
2020-01-26,2020-02-01,-3.6,-9.8
2020-02-02,2020-02-08,0.04000244140625,-17.2
2020-02-09,2020-02-15,4.179998779296875,14.8
2020-02-16,2020-02-22,-6.040002441406244,-8.8
2020-02-23,2020-02-29,-7.199996948242202,-20.0
2020-03-01,2020-03-07,-22.675003051757802,-31.074996948242188
2020-03-08,2020-03-14,4.64000244140625,-38.67500305175781
2020-03-15,2020-03-21,-0.920001220703125,17.15999755859375
2020-03-22,2020-03-28,4.060000610351563,35.84000244140625
2020-03-29,2020-04-04,4.199996948242197,3.4
2020-04-05,2020-04-11,-1.0999959309896024,-7.666666666666667
2020-04-12,2020-04-18,3.5799987792968806,8.0
2020-04-19,2020-04-25,8.133331298828134,19.8
2020-04-26,2020-05-02,-1.7,12.333333333333334
2020-05-03,2020-05-09,-5.079998779296881,-10.2
2020-05-10,2020-05-16,3.4,-15.8
2020-05-17,2020-05-23,-2.875,14.0
2020-05-24,2020-05-30,0.4,-11.5
2020-05-31,2020-06-06,-0.125,2.2
2020-06-07,2020-06-13,0.5,-11.75
2020-06-14,2020-06-20,-3.6799987792968807,-22.6
2020-06-21,2020-06-27,0.9999976158142146,9.2
2020-06-28,2020-07-04,-1.640000057220459,3.400002288818359
2020-07-05,2020-07-11,0.44000244140625,-3.2000022888183595
2020-07-12,2020-07-18,4.219998168945312,45.0
2020-07-19,2020-07-25,1.7000007629394531,16.8
2020-07-26,2020-08-01,,-17.5
