first_day_in_week,last_day_in_week,DRSL_main_symb_weekly_mean_diff,ORL.TA_weekly_mean_diff_0.35,ILDC.TA_weekly_mean_diff_0.36,PCBT.TA_weekly_mean_diff_0.36,MMHD.TA_weekly_mean_diff_0.38,PHOE.TA_weekly_mean_diff_0.38,MTRX.TA_weekly_mean_diff_0.39,ALRPR.TA_weekly_mean_diff_0.4,IES.TA_weekly_mean_diff_0.42
2019-03-10,2019-03-16,-4.6,-1.9799987792968807,9.8,1.379998779296875,1.4,3.2739990234375,3.8,64.0,-36.0
2019-03-17,2019-03-23,20.6,-0.2,-7.4,7.8,20.4,4.42998046875,-16.4,0.0,-2.0
2019-03-24,2019-03-30,-10.4,-0.3,-13.0,-0.6599975585937727,-29.4,-51.233984375,10.8,46.0,16.0
2019-03-31,2019-04-06,6.2,-0.7399993896484375,-4.8,1.4799926757812727,33.8,26.5800048828125,43.2,12.0,-134.0
2019-04-07,2019-04-13,-6.2,0.9,59.0,3.1800048828125,9.6,14.63798828125,60.0,-14.0,104.0
2019-04-14,2019-04-20,-0.8,0.3,10.2,1.7,-12.6,-5.9699951171875,-24.0,90.0,-2.0
2019-04-21,2019-04-27,2.0,-0.220001220703125,-2.6,0.3199951171875,2.8,7.126000976562454,-1.0,14.0,-44.0
2019-04-28,2019-05-04,-0.6,-0.3399993896484375,7.4,3.42000732421875,26.2,-7.319995117187455,-46.0,-70.0,-70.0
2019-05-05,2019-05-11,0.8,0.1,9.6,-0.85999755859375,15.6,1.5419921875,14.6,36.0,84.0
2019-05-12,2019-05-18,5.0,0.9600006103515625,-6.2,0.4199951171875,68.0,32.166015625,24.4,18.0,78.0
2019-05-19,2019-05-25,2.8,-1.7600006103515624,-11.0,0.9199951171875,-41.4,6.547998046875,48.0,64.0,-90.0
2019-05-26,2019-06-01,0.0,1.0,-21.6,0.72000732421875,65.4,-4.430029296875,38.6,-164.0,-8.0
2019-06-02,2019-06-08,2.0,-0.3,-31.6,-0.85999755859375,25.6,-16.177978515625,-24.6,-30.0,66.0
2019-06-09,2019-06-15,-1.2,-0.1399993896484375,43.8,-0.52000732421875,-37.4,0.77001953125,-7.0,148.0,84.0
2019-06-16,2019-06-22,-3.0,1.5399993896484374,0.2,-0.0199951171875,36.8,20.223974609375,-27.8,90.0,106.0
2019-06-23,2019-06-29,7.4,-0.2,-6.8,-7.52000732421875,5.2,-22.535986328125,15.8,-20.0,252.0
2019-06-30,2019-07-06,-8.6,-0.4799987792968807,30.4,2.060009765625,16.0,8.089990234375,92.6,162.0,192.0
2019-07-07,2019-07-13,6.8,-0.12000122070311932,17.2,0.7,-21.4,-2.69599609375,-2.6,66.0,-22.0
2019-07-14,2019-07-20,-0.8,0.2,-52.0,-3.8400024414062726,-7.0,-1.733984375,-30.4,-238.0,-80.0
2019-07-21,2019-07-27,-2.0,1.3200012207031193,47.8,-0.6800048828124545,14.0,0.961962890625,7.4,-34.0,-12.0
2019-07-28,2019-08-03,7.8,0.27999877929688066,35.2,-4.419995117187545,42.4,3.08203125,15.0,76.0,458.0
2019-08-04,2019-08-10,1.8,0.0,24.0,-4.540002441406227,-88.0,-20.802001953125,-14.0,156.0,72.0
2019-08-11,2019-08-17,7.2,-2.5,-66.8,-2.25999755859375,23.4,-5.7780029296875,-12.0,-114.0,54.0
2019-08-18,2019-08-24,-3.0,1.1399993896484375,12.6,2.0199951171875115,-36.0,14.4459716796875,57.2,80.0,-16.0
2019-08-25,2019-08-31,-7.2,-1.4199981689453125,-12.8,-4.879998779296886,6.0,1.156005859375,-25.0,34.0,-44.0
2019-09-01,2019-09-07,8.8,0.779998779296875,-5.8,-5.0,-35.2,4.622021484375,-8.8,0.0,-92.0
2019-09-08,2019-09-14,16.25,-1.4,22.2,-5.079998779296875,61.4,5.777978515625,-31.6,36.0,-162.0
2019-09-15,2019-09-21,11.0,2.25,-14.25,2.6750030517578125,9.0,12.52252197265625,66.5,95.0,425.0
