first_day_in_week,last_day_in_week,DRSL_main_symb_weekly_mean_diff,ORL.TA_weekly_mean_diff_0.35,ILDC.TA_weekly_mean_diff_0.36,PCBT.TA_weekly_mean_diff_0.36,MMHD.TA_weekly_mean_diff_0.38,PHOE.TA_weekly_mean_diff_0.38,MTRX.TA_weekly_mean_diff_0.39,ALRPR.TA_weekly_mean_diff_0.4,IES.TA_weekly_mean_diff_0.42
2019-09-22,2019-09-28,0.5,0.4600006103515625,-0.2,3.579998779296875,-15.8,8.2,56.4,-10.0,40.0
2019-09-29,2019-10-05,2.6666666666666665,0.34999847412109375,-18.0,8.699996948242188,-7.0,-20.5,23.0,-20.0,300.0
2019-10-06,2019-10-12,11.333333333333336,0.6000010172526041,81.0,5.466664632161458,53.666666666666664,0.3333333333333333,34.666666666666664,250.0,66.66666666666667
2019-10-13,2019-10-19,16.666666666666668,-0.06666564941407198,29.666666666666668,0.100006103515625,132.66666666666666,22.333333333333332,32.666666666666664,-6.666666666666667,250.0
2019-10-20,2019-10-26,9.6,-0.9333343505859281,-12.0,1.1999918619791856,-36.666666666666664,-4.0,58.0,-90.0,96.66666666666667
2019-10-27,2019-11-02,1.0,-0.4,0.6,-3.2399963378906365,-7.8,-14.6,26.2,20.0,-164.0
2019-11-03,2019-11-09,-21.4,-0.6399993896484375,-13.4,0.920001220703125,-67.2,-30.8,-77.8,-102.0,-24.0
2019-11-10,2019-11-16,1.2,0.25999755859375,-26.8,-2.820001220703125,-50.4,1.2,117.6,-54.0,-380.0
2019-11-17,2019-11-23,7.2,-1.679998779296875,42.2,-8.679998779296875,85.2,3.6,45.2,52.0,278.0
2019-11-24,2019-11-30,-3.0,-0.1,-1.8,-2.620001220703125,-30.2,31.0,-104.2,132.0,-164.0
2019-12-01,2019-12-07,-2.2,-0.3,7.6,-0.720001220703125,-28.6,-1.4,43.8,10.0,-298.0
2019-12-08,2019-12-14,5.2,-2.279998779296875,60.8,1.3,-27.0,-9.2,49.4,20.0,356.0
2019-12-15,2019-12-21,0.2,0.6399993896484375,60.4,-2.4400024414062385,-46.0,-13.4,-26.0,68.0,-32.0
2019-12-22,2019-12-28,6.8,2.2399993896484376,42.6,12.5,16.6,6.4,29.0,-42.0,-92.0
2019-12-29,2020-01-04,-7.8,0.9399993896484375,2.8,-3.379998779296886,68.0,-0.8,77.2,60.0,76.0
2020-01-05,2020-01-11,3.0,0.420001220703125,66.0,-0.32000122070311365,-50.4,-20.0,-11.0,44.0,-234.0
2020-01-12,2020-01-18,-2.2,-2.3399993896484377,-1.2,4.7,7.4,0.2,106.6,418.0,86.0
2020-01-19,2020-01-25,-0.6,-0.9,-46.0,2.5400024414062385,-25.0,-0.6,3.4,-84.0,-26.0
2020-01-26,2020-02-01,-21.4,-1.9600006103515626,11.2,-0.979998779296875,-62.6,-16.2,-101.2,-220.0,-486.0
2020-02-02,2020-02-08,2.0,-2.2600006103515624,136.4,-1.920001220703125,-77.2,-8.4,-70.4,-62.0,-96.0
2020-02-09,2020-02-15,27.0,-1.1,52.4,2.84000244140625,28.0,15.2,-1.0,-30.0,214.0
2020-02-16,2020-02-22,-17.2,-1.3,2.6,1.079998779296875,29.6,7.8,18.4,166.0,112.0
2020-02-23,2020-02-29,-27.0,-2.2,-104.0,-6.279998779296875,-81.6,-42.6,-108.0,-438.0,-616.0
2020-03-01,2020-03-07,-60.899993896484396,-1.3500003814697266,-97.0,-13.200004577636719,-56.25,-60.5,-163.25,-890.0,-497.5
2020-03-08,2020-03-14,-17.560009765624955,-9.149999618530273,-436.75,-19.875,-204.75,-72.25,-328.0,-1003.0,-1000.0
2020-03-15,2020-03-21,26.48000488281248,-0.7800003051757812,-144.2,-10.879998779296875,-49.4,4.6,127.0,-32.6,-340.0
2020-03-22,2020-03-28,11.6,-2.1799995422363283,152.4,5.6,79.6,54.4,95.6,376.8,434.0
2020-03-29,2020-04-04,35.0,6.320000457763669,94.8,21.3,122.8,10.8,77.4,184.2,546.0
2020-04-05,2020-04-11,21.0,5.099998474121098,155.0,2.3333333333333335,95.0,7.666666666666667,93.0,-122.66666666666667,476.6666666666667
2020-04-12,2020-04-18,-11.2,-2.3666661580403647,-100.33333333333333,-0.3333333333333333,0.3333333333333333,11.333333333333334,2.6666666666666665,-285.0,-206.66666666666666
2020-04-19,2020-04-25,-4.0,0.6,-63.6,2.5599975585937615,77.8,32.8,86.8,36.2,122.0
2020-04-26,2020-05-02,-25.6,-2.266667683919266,-80.0,1.1000061035156061,63.333333333333336,12.666666666666666,33.0,324.0,260.0
2020-05-03,2020-05-09,1.0,0.3400009155273409,17.8,3.1399963378906364,-49.8,-26.6,-77.0,-190.2,40.0
2020-05-10,2020-05-16,4.2,-0.48000030517578124,-77.8,1.6800048828124887,-30.0,-34.2,-20.2,-251.2,58.0
2020-05-17,2020-05-23,-9.0,0.46000061035155965,17.8,4.539996337890625,51.4,16.0,128.2,81.4,160.0
2020-05-24,2020-05-30,4.0,-3.225000381469723,-17.5,4.625,-9.5,7.5,208.5,0.0,-270.0
2020-05-31,2020-06-06,13.0,0.1,11.2,-0.32000122070311365,-14.0,-28.0,-36.8,-16.0,-102.0
2020-06-07,2020-06-13,-1.8,-0.8000011444091797,11.0,1.2000045776367045,-83.25,11.25,59.5,181.25,-85.0
2020-06-14,2020-06-20,-17.8,-2.4399993896484373,-26.0,-1.820001220703125,-43.8,12.6,50.0,110.4,-144.0
2020-06-21,2020-06-27,-10.600001525878882,-0.3399993896484375,-13.2,1.64000244140625,-72.6,-44.2,-103.0,-109.4,-220.0
2020-06-28,2020-07-04,3.400001525878884,0.5399999618530273,-57.999989318847746,-3.0400062561035157,72.40000915527344,3.399999237060547,-2.6,-70.39993286132812,35.99993896484375
2020-07-05,2020-07-11,23.6,-1.8400007247924806,-42.40001068115225,0.46000137329102697,4.5999908447265625,-5.599999237060547,20.0,-21.800067138671874,-349.99993896484375
2020-07-12,2020-07-18,-14.2,1.020000457763669,27.6,-9.959997558593761,42.0,22.2,42.0,3.2,60.0
2020-07-19,2020-07-25,-16.425003051757812,0.5199996948242216,-28.6,10.120001220703125,21.8,4.2,58.0,-2.6,-16.0
2020-07-26,2020-08-01,,-1.8000001907348633,-10.5,-0.7750015258789062,-47.75,5.0,157.75,-123.0,-155.0
