first_day_in_week,last_day_in_week,MDPR_main_symb_weekly_mean_diff,LUMI.TA_weekly_mean_diff_0.39,ROTS.TA_weekly_mean_diff_0.39,MRIN.TA_weekly_mean_diff_0.4,MTRX.TA_weekly_mean_diff_0.4,SHOM.TA_weekly_mean_diff_0.45_INT_MNRV.TA_weekly_mean_diff_0.36_corr_0.75,ILDC.TA_weekly_mean_diff_0.41,ATRY.TA_weekly_mean_diff_0.42,AZRM.TA_weekly_mean_diff_0.39_INT_FIBIH.TA_weekly_mean_diff_0.48_corr_0.75,MLTM.TA_weekly_mean_diff_0.42,GLPL.TA_weekly_mean_diff_0.43,FIBI.TA_weekly_mean_diff_0.44,HLMS.TA_weekly_mean_diff_0.38_INT_OPAL.TA_weekly_mean_diff_0.49_corr_0.7,LEVI.TA_weekly_mean_diff_0.45,SHOM.TA_weekly_mean_diff_0.45,SHOM.TA_weekly_mean_diff_0.45_INT_OPAL.TA_weekly_mean_diff_0.49_corr_0.77,RLCO.TA_weekly_mean_diff_0.47,FIBIH.TA_weekly_mean_diff_0.48,ALRPR.TA_weekly_mean_diff_0.53_INT_MRIN.TA_weekly_mean_diff_0.4_corr_0.72,ATRY.TA_weekly_mean_diff_0.42_INT_ASGR.TA_weekly_mean_diff_0.39_corr_0.72,OPAL.TA_weekly_mean_diff_0.49,ALRPR.TA_weekly_mean_diff_0.53,MRIN.TA_weekly_mean_diff_0.4_INT_ZUR.TA_weekly_mean_diff_0.36_corr_0.72,OPAL.TA_weekly_mean_diff_0.49_INT_MRIN.TA_weekly_mean_diff_0.4_corr_0.74,ATRY.TA_weekly_mean_diff_0.42_INT_SHOM.TA_weekly_mean_diff_0.45_corr_0.72,ZUR.TA_weekly_mean_diff_0.36_INT_OPAL.TA_weekly_mean_diff_0.49_corr_0.71,ALRPR.TA_weekly_mean_diff_0.53_INT_OPAL.TA_weekly_mean_diff_0.49_corr_0.72,ZUR.TA_weekly_mean_diff_0.36_INT_MNRV.TA_weekly_mean_diff_0.36_corr_0.74,MNRV.TA_weekly_mean_diff_0.36_INT_OPAL.TA_weekly_mean_diff_0.49_corr_0.78,ZUR.TA_weekly_mean_diff_0.36_INT_ATRY.TA_weekly_mean_diff_0.42_corr_0.75
2019-03-10,2019-03-16,3.779998779296887,3.0,-5.6,3.479992675781273,3.8,26.400146484374126,9.8,12.8,145.2798828125,268.0,0.2800048828125,6.8,2.4287974121049256,0.0,-0.6,-0.7920007324218818,-1.0,32.0,222.71953125000147,8.703906250000001,1.3200012207031364,64.0,7.655983886718801,4.593594580069254,-7.68,2.9040026855469003,84.48007812500073,-96.8005371093718,-58.0803759768591,28.160000000000004
2019-03-17,2019-03-23,4.560003662109363,13.8,-22.8,-0.6,-16.4,495.36119140684394,-7.4,11.4,128.16005859375002,316.0,-0.4,16.4,-0.8904005371033904,26.0,1.44000244140625,3.052798144519329,-3.2,24.0,-0.0,140.67602783203125,2.1199951171875,0.0,-1.08,-1.2719970703124999,16.41602783203125,3.8159912109375003,0.0,619.2004394531224,729.2788378894297,20.52
2019-03-24,2019-03-30,3.15999755859375,-25.6,-12.6,-7.600000000000011,10.8,-719.3995971679688,-13.0,22.8,105.84019775390564,-16.0,-8.02000732421875,-34.6,-1.8303834472596618,38.0,3.3,-0.857991943359375,1.2,-54.0,-349.60000000000053,-105.7920556640625,-0.25999755859375,46.0,60.80000000000009,1.975981445312503,75.24,2.07998046875,-11.959887695312501,1743.9990234375,56.67943603545427,-182.4
2019-03-31,2019-04-06,5.079998779296887,6.0,16.8,6.959997558593739,43.2,242.87926513701677,-4.8,17.0,-71.03994140625028,170.0,8.460009765625,67.0,55.704772265628065,262.0,5.05999755859375,39.36677482910454,27.6,24.0,83.51997070312487,40.4600830078125,7.779998779296875,12.0,-41.759985351562435,54.14877250976852,86.01995849609375,-46.67999267578125,93.3599853515625,-287.999267578125,373.43899169936776,-102.0
2019-04-07,2019-04-13,2.7,6.8,39.4,-1.0,60.0,1838.6007080078125,59.0,30.0,481.4398559570312,580.0,-2.14000244140625,72.4,-1.8087992431596223,-14.0,6.34000244140625,16.864429711923005,27.2,118.0,14.0,77.400146484375,2.660003662109375,-14.0,-7.2,-2.660003662109375,190.2000732421875,19.1520263671875,-37.24005126953125,2088.0,771.4010620117188,216.0
2019-04-14,2019-04-20,-1.5399963378906365,-3.0,5.0,3.640002441406273,-24.0,29.760288085788492,10.2,16.4,-16.7200927734375,290.0,2.15999755859375,-27.0,-0.9248070556670428,56.0,2.479998779296875,-0.8432056396454574,-33.4,-38.0,327.60021972656455,-57.7281201171875,-0.34000244140625,90.0,9.46400634765631,-1.2376097168028433,40.67197998046875,-0.8840063476562501,-30.600219726562504,31.2003173828125,-4.080070801079273,42.64
2019-04-21,2019-04-27,-2.879998779296875,12.0,2.4,2.8200073242187274,-1.0,-126.72040527313948,-2.6,-3.2,23.3199462890625,-16.0,0.7,1.8,-3.1959979248046877,-14.0,1.979998779296875,3.365997924804687,-23.4,22.0,39.48010253906218,9.0880078125,1.7,14.0,11.28002929687491,4.794012451171836,-6.33599609375,6.8,23.8,-256.0009765625,-108.8004150390625,-12.8
2019-04-28,2019-05-04,1.079998779296875,-0.6,10.2,-0.1,-46.0,989.9993896484375,7.4,-23.8,322.07978515625,-618.0,-0.9,-48.6,23.198387719728053,-96.0,-5.0,17.899993896484375,22.6,-88.0,7.0,86.1558837890625,-3.579998779296875,-70.0,0.7400000000000001,0.3579998779296875,119.0,26.491990966796877,250.59991455078125,1465.1990966796875,708.8393212892115,176.12
2019-05-05,2019-05-11,-1.6,-6.4,-3.6,-3.2,14.6,83.15945800766349,9.6,11.2,-8.160021972656182,116.0,-0.3800048828125,8.4,0.6696043457090785,-24.0,4.620001220703125,-2.8644063964858653,-9.2,6.0,-115.2,43.90394531249999,-0.620001220703125,36.0,-16.0,1.9840039062500001,51.744013671875,-3.100006103515625,-22.320043945312502,89.9993896484375,-11.159946288913488,56.0
2019-05-12,2019-05-18,2.720001220703125,1.8,2.4,-1.2200073242187273,24.4,424.44051757827157,-6.2,7.2,19.76004638671832,140.0,0.9800048828125,10.8,0.049202954098582496,-138.0,-1.620001220703125,0.032402001954615116,10.0,38.0,-21.96013183593709,4.7520703125,-0.020001220703125,18.0,2.6840161132812,0.02440163575112774,-11.6640087890625,0.044002685546875,-0.36002197265624997,576.4002685546843,5.240322265773982,-15.840000000000002
