first_day_in_week,last_day_in_week,ORL_main_symb_weekly_mean_diff,BIOV.TA_weekly_mean_diff_0.48
2019-03-10,2019-03-16,-0.2,1.839996337890625
2019-03-17,2019-03-23,-0.3,0.820001220703125
2019-03-24,2019-03-30,-0.7399993896484375,1.64000244140625
2019-03-31,2019-04-06,0.9,0.6
2019-04-07,2019-04-13,0.3,0.879998779296875
2019-04-14,2019-04-20,-0.220001220703125,-0.479998779296875
2019-04-21,2019-04-27,-0.3399993896484375,-0.320001220703125
2019-04-28,2019-05-04,0.1,1.4
2019-05-05,2019-05-11,0.9600006103515624,-0.25999755859375
2019-05-12,2019-05-18,-1.7600006103515624,-1.160003662109375
2019-05-19,2019-05-25,1.0,0.779998779296875
2019-05-26,2019-06-01,-0.3,-0.879998779296875
2019-06-02,2019-06-08,-0.1399993896484375,0.379998779296875
2019-06-09,2019-06-15,1.5399993896484374,-2.1
2019-06-16,2019-06-22,-0.2,-1.7
2019-06-23,2019-06-29,-0.4799987792968807,2.920001220703125
2019-06-30,2019-07-06,-0.12000122070311932,-3.420001220703125
2019-07-07,2019-07-13,0.2,-2.3
2019-07-14,2019-07-20,1.320001220703119,-4.139996337890636
2019-07-21,2019-07-27,0.27999877929688066,1.4599975585937728
2019-07-28,2019-08-03,0.0,2.9400024414062385
2019-08-04,2019-08-10,-2.5,-3.560003662109375
2019-08-11,2019-08-17,1.1399993896484375,-0.05999755859375
2019-08-18,2019-08-24,-1.4199981689453125,-0.9
2019-08-25,2019-08-31,0.779998779296875,1.9200012207031136
2019-09-01,2019-09-07,-1.4,-0.32000122070311365
2019-09-08,2019-09-14,2.25,0.4799987792968864
2019-09-15,2019-09-21,0.4600006103515625,0.125
2019-09-22,2019-09-28,0.3499984741210937,-1.5200012207031364
2019-09-29,2019-10-05,0.6000010172526041,-3.149993896484375
2019-10-06,2019-10-12,-0.06666564941407198,3.6666666666666665
2019-10-13,2019-10-19,-0.933334350585928,3.466664632161477
2019-10-20,2019-10-26,-0.4,-2.466664632161477
2019-10-27,2019-11-02,-0.6399993896484375,-1.25999755859375
2019-11-03,2019-11-09,0.25999755859375,-1.74000244140625
2019-11-10,2019-11-16,-1.679998779296875,-1.2399993896484376
2019-11-17,2019-11-23,-0.1,2.0800018310546875
2019-11-24,2019-11-30,-0.3,6.439996337890625
2019-12-01,2019-12-07,-2.279998779296875,-1.279998779296875
2019-12-08,2019-12-14,0.6399993896484375,1.04000244140625
2019-12-15,2019-12-21,2.2399993896484376,1.239996337890625
2019-12-22,2019-12-28,0.9399993896484377,1.660003662109375
2019-12-29,2020-01-04,0.420001220703125,-1.8800048828125
2020-01-05,2020-01-11,-2.3399993896484377,0.64000244140625
2020-01-12,2020-01-18,-0.9,1.3
2020-01-19,2020-01-25,-1.9600006103515624,-1.3
2020-01-26,2020-02-01,-2.2600006103515624,-1.75999755859375
2020-02-02,2020-02-08,-1.1,-1.820001220703125
2020-02-09,2020-02-15,-1.3,-0.34000244140623864
2020-02-16,2020-02-22,-2.2,0.4999999999999886
2020-02-23,2020-02-29,-1.3500003814697266,0.560003662109375
2020-03-01,2020-03-07,-9.149999618530273,-8.925003051757812
2020-03-08,2020-03-14,-0.7800003051757812,-16.549999237060547
2020-03-15,2020-03-21,-2.1799995422363283,-4.380001831054687
2020-03-22,2020-03-28,6.32000045776367,5.0800018310546875
2020-03-29,2020-04-04,5.099998474121098,11.539999389648438
2020-04-05,2020-04-11,-2.3666661580403647,-4.799997965494801
2020-04-12,2020-04-18,0.6,4.266662597656269
2020-04-19,2020-04-25,-2.266667683919266,-1.9199981689453183
2020-04-26,2020-05-02,0.3400009155273409,3.899998982747396
2020-05-03,2020-05-09,-0.4800003051757813,-2.2
2020-05-10,2020-05-16,0.4600006103515597,-0.6799987792968807
2020-05-17,2020-05-23,-3.225000381469723,0.019998168945318185
2020-05-24,2020-05-30,0.1,-2.424999237060547
2020-05-31,2020-06-06,-0.8000011444091797,0.4399993896484375
2020-06-07,2020-06-13,-2.4399993896484373,1.4500007629394531
2020-06-14,2020-06-20,-0.3399993896484375,-1.1399993896484375
2020-06-21,2020-06-27,0.5399999618530273,2.079998779296875
2020-06-28,2020-07-04,-1.8400007247924808,-0.2200000762939453
2020-07-05,2020-07-11,1.020000457763669,0.02000007629394531
2020-07-12,2020-07-18,0.5199996948242216,7.060000610351563
2020-07-19,2020-07-25,-1.8000001907348633,2.120001220703114
2020-07-26,2020-08-01,,-0.02500152587889204
