first_day_in_week,last_day_in_week,TDRN_main_symb_weekly_mean_diff,RLCO.TA_weekly_mean_diff_0.4
2019-03-10,2019-03-16,42.8,-1.0
2019-03-17,2019-03-23,-91.6,-3.2
2019-03-24,2019-03-30,40.6,1.2
2019-03-31,2019-04-06,142.0,27.6
2019-04-07,2019-04-13,85.6,27.2
2019-04-14,2019-04-20,-66.0,-33.4
2019-04-21,2019-04-27,-96.0,-23.4
2019-04-28,2019-05-04,-56.2,22.6
2019-05-05,2019-05-11,218.2,-9.2
2019-05-12,2019-05-18,80.0,10.0
2019-05-19,2019-05-25,-86.0,0.0
2019-05-26,2019-06-01,112.0,9.8
2019-06-02,2019-06-08,22.0,-9.8
2019-06-09,2019-06-15,0.0,-2.0
2019-06-16,2019-06-22,86.0,-0.8
2019-06-23,2019-06-29,222.0,4.2
2019-06-30,2019-07-06,14.0,7.0
2019-07-07,2019-07-13,-112.0,-32.2
2019-07-14,2019-07-20,150.0,-2.4
2019-07-21,2019-07-27,66.0,29.8
2019-07-28,2019-08-03,60.0,-3.0
2019-08-04,2019-08-10,76.0,-8.0
2019-08-11,2019-08-17,196.0,10.2
2019-08-18,2019-08-24,-108.0,2.8
2019-08-25,2019-08-31,130.0,11.8
2019-09-01,2019-09-07,-258.0,-23.2
2019-09-08,2019-09-14,-20.0,-2.0
2019-09-15,2019-09-21,-4.0,21.5
2019-09-22,2019-09-28,-270.0,-1.0
2019-09-29,2019-10-05,20.0,-33.5
2019-10-06,2019-10-12,206.66666666666663,24.666666666666668
2019-10-13,2019-10-19,-160.0,0.3333333333333333
2019-10-20,2019-10-26,-170.0,-32.333333333333336
2019-10-27,2019-11-02,60.0,5.0
2019-11-03,2019-11-09,140.0,18.0
2019-11-10,2019-11-16,-14.0,-2.6
2019-11-17,2019-11-23,232.0,19.2
2019-11-24,2019-11-30,-126.0,17.0
2019-12-01,2019-12-07,148.0,14.2
2019-12-08,2019-12-14,50.0,5.8
2019-12-15,2019-12-21,86.0,-0.2
2019-12-22,2019-12-28,-86.0,-45.0
2019-12-29,2020-01-04,90.0,-5.4
2020-01-05,2020-01-11,92.0,28.6
2020-01-12,2020-01-18,-22.0,2.2
2020-01-19,2020-01-25,-110.0,-29.2
2020-01-26,2020-02-01,16.0,-8.2
2020-02-02,2020-02-08,-176.0,30.0
2020-02-09,2020-02-15,76.0,9.6
2020-02-16,2020-02-22,-94.0,-3.6
2020-02-23,2020-02-29,-40.0,-64.0
2020-03-01,2020-03-07,-545.0,-59.0
2020-03-08,2020-03-14,-216.0,-85.25
2020-03-15,2020-03-21,152.0,-35.2
2020-03-22,2020-03-28,228.0,93.8
2020-03-29,2020-04-04,-16.666666666666668,-7.2
2020-04-05,2020-04-11,173.33333333333337,20.0
2020-04-12,2020-04-18,210.0,-43.666666666666664
2020-04-19,2020-04-25,-50.0,36.2
2020-04-26,2020-05-02,74.0,-33.666666666666664
2020-05-03,2020-05-09,138.0,-16.8
2020-05-10,2020-05-16,226.0,-21.8
2020-05-17,2020-05-23,52.5,18.0
2020-05-24,2020-05-30,198.0,39.0
2020-05-31,2020-06-06,-100.0,-22.8
2020-06-07,2020-06-13,60.0,18.25
2020-06-14,2020-06-20,-198.0,-12.2
2020-06-21,2020-06-27,238.0,-9.4
2020-06-28,2020-07-04,-262.0,3.4000152587890624
2020-07-05,2020-07-11,342.0,1.7999847412109375
2020-07-12,2020-07-18,190.0,6.6
2020-07-19,2020-07-25,-62.5,1.0
2020-07-26,2020-08-01,,-11.75
