first_day_in_week,last_day_in_week,ELMR_main_symb_weekly_mean_diff,SANO1.TA_weekly_mean_diff_0.36
2019-03-10,2019-03-16,-6.94000244140625,18.0
2019-03-17,2019-03-23,-3.4,-6.0
2019-03-24,2019-03-30,3.9,-2.0
2019-03-31,2019-04-06,11.0800048828125,-102.0
2019-04-07,2019-04-13,6.25999755859375,-16.0
2019-04-14,2019-04-20,-3.6199951171875,-32.0
2019-04-21,2019-04-27,-0.34000244140625,106.0
2019-04-28,2019-05-04,4.8,16.0
2019-05-05,2019-05-11,-2.45999755859375,-8.0
2019-05-12,2019-05-18,2.1,-52.0
2019-05-19,2019-05-25,-3.460009765625,72.0
2019-05-26,2019-06-01,-2.5199951171875,106.0
2019-06-02,2019-06-08,5.15999755859375,26.0
2019-06-09,2019-06-15,-7.5199951171875,40.0
2019-06-16,2019-06-22,-5.6800048828125,92.0
2019-06-23,2019-06-29,6.72000732421875,-24.0
2019-06-30,2019-07-06,-4.6800048828125,30.0
2019-07-07,2019-07-13,-1.0199951171875,18.0
2019-07-14,2019-07-20,7.07999267578125,36.0
2019-07-21,2019-07-27,1.3,18.0
2019-07-28,2019-08-03,-2.9199951171875,-12.0
2019-08-04,2019-08-10,4.04000244140625,28.0
2019-08-11,2019-08-17,1.25999755859375,68.0
2019-08-18,2019-08-24,-0.24000244140625,4.0
2019-08-25,2019-08-31,-2.95999755859375,-22.0
2019-09-01,2019-09-07,6.9199951171875,6.0
2019-09-08,2019-09-14,-5.5,-42.0
2019-09-15,2019-09-21,1.64000244140625,-22.5
2019-09-22,2019-09-28,-11.600006103515625,20.0
2019-09-29,2019-10-05,7.300008138020832,185.0
2019-10-06,2019-10-12,4.866658528645833,196.66666666666666
2019-10-13,2019-10-19,-1.6999918619791667,110.0
2019-10-20,2019-10-26,0.44000244140625,63.333333333333336
2019-10-27,2019-11-02,-1.7800048828125,-20.0
2019-11-03,2019-11-09,-5.6199951171875,-98.0
2019-11-10,2019-11-16,1.97999267578125,80.0
2019-11-17,2019-11-23,2.02000732421875,30.0
2019-11-24,2019-11-30,0.15999755859375,170.0
2019-12-01,2019-12-07,1.6,112.0
2019-12-08,2019-12-14,-0.7800048828125,-100.0
2019-12-15,2019-12-21,-0.04000244140625,-174.0
2019-12-22,2019-12-28,-1.35999755859375,-86.0
2019-12-29,2020-01-04,-3.64000244140625,80.0
2020-01-05,2020-01-11,2.160009765625,130.0
2020-01-12,2020-01-18,17.1199951171875,-12.0
2020-01-19,2020-01-25,-5.2,56.0
2020-01-26,2020-02-01,-3.85999755859375,-144.0
2020-02-02,2020-02-08,3.0,-78.0
2020-02-09,2020-02-15,5.3,-30.0
2020-02-16,2020-02-22,-5.92000732421875,180.0
2020-02-23,2020-02-29,-19.77499389648437,-360.0
2020-03-01,2020-03-07,-41.474998474121094,102.5
2020-03-08,2020-03-14,-18.76000366210936,-690.0
2020-03-15,2020-03-21,3.6,40.0
2020-03-22,2020-03-28,6.7200012207031135,214.0
2020-03-29,2020-04-04,33.89999389648437,236.0
2020-04-05,2020-04-11,16.0,176.66666666666666
2020-04-12,2020-04-18,0.54000244140625,643.3333333333334
2020-04-19,2020-04-25,15.633341471354164,446.0
2020-04-26,2020-05-02,1.25999755859375,-26.666666666666668
2020-05-03,2020-05-09,-4.5199951171875,-294.0
2020-05-10,2020-05-16,0.57999267578125,-78.0
2020-05-17,2020-05-23,-6.199996948242188,270.0
2020-05-24,2020-05-30,1.45999755859375,-5.0
2020-05-31,2020-06-06,-1.7249908447265625,-12.0
2020-06-07,2020-06-13,-3.6,5.0
2020-06-14,2020-06-20,-4.14000244140625,-8.0
2020-06-21,2020-06-27,-5.8600006103515865,-270.0
2020-06-28,2020-07-04,-6.26000061035154,-63.999877929688225
2020-07-05,2020-07-11,13.979998779296874,97.99987792968822
2020-07-12,2020-07-18,3.8199951171875,-56.0
2020-07-19,2020-07-25,1.20001220703125,22.0
2020-07-26,2020-08-01,,-22.5
