first_day_in_week,last_day_in_week,BRMG_main_symb_weekly_mean_diff,CLIS.TA_weekly_mean_diff_0.45,ELCO.TA_weekly_mean_diff_0.45,MTRX.TA_weekly_mean_diff_0.45,SANO1.TA_weekly_mean_diff_0.37
2020-05-10,2020-05-16,-6.2,-69.2,-268.0,-20.2,-78.0
2020-05-17,2020-05-23,12.75,-22.2,148.0,128.2,270.0
2020-05-24,2020-05-30,2.0,-20.5,305.0,208.5,-5.0
2020-05-31,2020-06-06,-18.75,-25.0,-168.0,-36.8,-12.0
2020-06-07,2020-06-13,-3.4,51.5,250.0,59.5,5.0
2020-06-14,2020-06-20,24.4,76.2,152.0,50.0,-8.0
2020-06-21,2020-06-27,-25.600005340576125,-85.2,-388.0,-103.0,-270.0
2020-06-28,2020-07-04,-12.599994659423876,16.19998474121103,-5.999969482421875,-2.6,-63.999877929688225
2020-07-05,2020-07-11,1.8,-44.39998474121103,-158.00003051757812,20.0,97.99987792968822
2020-07-12,2020-07-18,12.0,-0.6,224.0,42.0,-56.0
2020-07-19,2020-07-25,30.5,-4.0,-18.0,58.0,22.0
2020-07-26,2020-08-01,,27.5,-40.0,157.75,-22.5
