first_day_in_week,last_day_in_week,MTRN_main_symb_weekly_mean_diff,MTRX.TA_weekly_mean_diff_0.38,KTOV.TA_weekly_mean_diff_0.43,TUZA.TA_weekly_mean_diff_0.46
2019-03-10,2019-03-16,9.8,3.8,12.6800048828125,0.3599998474121094
2019-03-17,2019-03-23,-16.0,-16.4,-14.220007324218738,0.3599998474121094
2019-03-24,2019-03-30,7.4,10.8,-6.219995117187511,0.04000015258789062
2019-03-31,2019-04-06,18.2,43.2,-0.74000244140625,0.0
2019-04-07,2019-04-13,-12.6,60.0,-1.379998779296875,-0.14000015258789061
2019-04-14,2019-04-20,6.4,-24.0,-1.3,-0.01999969482421875
2019-04-21,2019-04-27,-8.6,-1.0,-2.179998779296875,-0.4
2019-04-28,2019-05-04,5.0,-46.0,-2.84000244140625,-0.3
2019-05-05,2019-05-11,6.2,14.6,-0.420001220703125,0.0
2019-05-12,2019-05-18,5.6,24.4,-1.079998779296875,0.3400001525878906
2019-05-19,2019-05-25,-25.6,48.0,-2.379998779296875,-0.020000457763671875
2019-05-26,2019-06-01,-8.4,38.6,-8.360003662109374,-0.3
2019-06-02,2019-06-08,29.2,-24.6,-0.339996337890625,-0.41999969482421873
2019-06-09,2019-06-15,-0.8,-7.0,-0.14000244140625,0.15999984741210938
2019-06-16,2019-06-22,0.2,-27.8,0.9,-0.04000015258789062
2019-06-23,2019-06-29,21.2,15.8,6.1,-0.2799995422363281
2019-06-30,2019-07-06,-6.4,92.6,-2.239996337890625,0.1
2019-07-07,2019-07-13,13.0,-2.6,6.279998779296875,-0.24000015258789062
2019-07-14,2019-07-20,-4.0,-30.4,-1.54000244140625,-0.24000015258789062
2019-07-21,2019-07-27,-18.4,7.4,-9.739996337890625,0.5400001525878906
2019-07-28,2019-08-03,0.0,15.0,-2.420001220703125,-0.5
2019-08-04,2019-08-10,-9.4,-14.0,-4.060003662109375,1.18000030517578
2019-08-11,2019-08-17,52.8,-12.0,-3.1199951171875,-0.020000457763670453
2019-08-18,2019-08-24,16.6,57.2,3.7399963378906365,-0.3
2019-08-25,2019-08-31,12.0,-25.0,4.479998779296864,-0.059999847412109376
2019-09-01,2019-09-07,0.0,-8.8,3.9,-0.8599998474121093
2019-09-08,2019-09-14,-4.0,-31.6,-3.139996337890625,0.45999984741210936
2019-09-15,2019-09-21,27.6,66.5,-4.0,-0.05000019073486328
2019-09-22,2019-09-28,4.0,56.4,-3.340002441406239,-0.17999954223632814
2019-09-29,2019-10-05,35.333333333333336,23.0,-1.550003051757841,-0.20000076293945312
2019-10-06,2019-10-12,43.33333333333334,34.666666666666664,0.9333394368489394,0.599999745686849
2019-10-13,2019-10-19,-9.0,32.666666666666664,-1.0,-0.09999974568684895
2019-10-20,2019-10-26,-17.8,58.0,-1.0666707356770455,-0.5333328247070312
2019-10-27,2019-11-02,7.6,26.2,0.47999877929686363,-0.020000457763671875
2019-11-03,2019-11-09,-17.6,-77.8,0.22000122070313638,0.3599998474121094
2019-11-10,2019-11-16,38.0,117.6,-2.8000000000000056,0.0
2019-11-17,2019-11-23,-64.8,45.2,-1.3599975585937614,-0.4799995422363281
2019-11-24,2019-11-30,10.6,-104.2,0.059997558593761366,-0.12000045776367188
2019-12-01,2019-12-07,16.2,43.8,0.2,0.1
2019-12-08,2019-12-14,-46.6,49.4,1.3600006103515567,0.5
2019-12-15,2019-12-21,-0.8,-26.0,1.4199981689453125,-0.2799995422363281
2019-12-22,2019-12-28,36.4,29.0,-2.0999969482421874,-0.28000030517578123
2019-12-29,2020-01-04,-20.0,77.2,2.819998168945324,0.14000015258789061
2020-01-05,2020-01-11,11.0,-11.0,3.8799987792968635,0.5199996948242187
2020-01-12,2020-01-18,46.2,106.6,-3.0,0.38000030517578126
2020-01-19,2020-01-25,-42.2,3.4,-0.4,-0.6199996948242188
2020-01-26,2020-02-01,-6.0,-101.2,-0.6199951171875,-0.32000045776367186
2020-02-02,2020-02-08,-24.6,-70.4,0.8399963378906363,-0.5799995422363281
2020-02-09,2020-02-15,-5.2,-1.0,-3.559997558593767,0.1
2020-02-16,2020-02-22,9.4,18.4,-2.780001831054682,-0.3600006103515625
2020-02-23,2020-02-29,-32.0,-108.0,-3.3600006103515567,0.24000015258789062
2020-03-01,2020-03-07,-57.25,-163.25,-1.6499977111816477,-1.175000190734865
2020-03-08,2020-03-14,-73.8,-328.0,-26.075000762939453,0.10000038146972834
2020-03-15,2020-03-21,9.0,127.0,1.1800003051757812,-0.41999969482421873
2020-03-22,2020-03-28,32.8,95.6,0.059999084472659094,1.1399993896484375
2020-03-29,2020-04-04,-37.0,77.4,4.039999389648434,-0.21999969482421874
2020-04-05,2020-04-11,-3.333333333333333,93.0,-2.2666651407877603,-0.7666664123535156
2020-04-12,2020-04-18,54.2,2.6666666666666665,5.699999491373698,0.5333328247070312
2020-04-19,2020-04-25,62.0,86.8,-3.679998779296878,0.4400001525878906
2020-04-26,2020-05-02,36.6,33.0,2.4666646321614727,0.3333333333333333
2020-05-03,2020-05-09,-17.2,-77.0,2.160000610351557,-0.04000015258789062
2020-05-10,2020-05-16,50.8,-20.2,1.9600006103515626,1.1599998474121094
2020-05-17,2020-05-23,75.0,128.2,9.0,2.8400001525878906
2020-05-24,2020-05-30,70.4,208.5,-0.15000152587890625,-0.25
2020-05-31,2020-06-06,-0.25,-36.8,-4.239999389648437,-0.27999954223632956
2020-06-07,2020-06-13,48.0,59.5,-2.5999984741210938,0.34999942779541193
2020-06-14,2020-06-20,-16.6,50.0,-0.320001220703125,0.04000015258789062
2020-06-21,2020-06-27,118.99996643066406,-103.0,41.0,0.5800003051757798
2020-06-28,2020-07-04,-4.399966430664064,-2.6,-2.4800004959106445,-0.24000043869018411
2020-07-05,2020-07-11,60.2,20.0,-11.44000072479248,0.34000043869018415
2020-07-12,2020-07-18,53.0,42.0,-6.139996337890625,0.23999938964843892
2020-07-19,2020-07-25,63.5,58.0,-0.06000366210936363,1.7400009155273437
2020-07-26,2020-08-01,,157.75,1.025001525878892,0.0
