first_day_in_week,last_day_in_week,AMRK_main_symb_weekly_mean_diff,KNFM.TA_weekly_mean_diff_0.4
2019-03-10,2019-03-16,26.2,-12.2
2019-03-17,2019-03-23,-1.0,-11.0
2019-03-24,2019-03-30,33.0,-9.2
2019-03-31,2019-04-06,-15.6,16.0
2019-04-07,2019-04-13,-19.6,8.8
2019-04-14,2019-04-20,2.4,-8.0
2019-04-21,2019-04-27,-47.6,5.2
2019-04-28,2019-05-04,-9.8,-17.0
2019-05-05,2019-05-11,-14.6,0.0
2019-05-12,2019-05-18,8.2,-7.4
2019-05-19,2019-05-25,65.2,2.8
2019-05-26,2019-06-01,-33.0,2.2
2019-06-02,2019-06-08,14.6,18.4
2019-06-09,2019-06-15,95.0,3.4
2019-06-16,2019-06-22,-129.4,-9.4
2019-06-23,2019-06-29,-28.4,-7.2
2019-06-30,2019-07-06,-21.0,-4.4
2019-07-07,2019-07-13,-24.8,-6.0
2019-07-14,2019-07-20,25.4,3.2
2019-07-21,2019-07-27,22.8,4.8
2019-07-28,2019-08-03,-13.6,5.2
2019-08-04,2019-08-10,-30.4,4.8
2019-08-11,2019-08-17,27.8,-4.0
2019-08-18,2019-08-24,-5.4,6.2
2019-08-25,2019-08-31,-20.8,0.0
2019-09-01,2019-09-07,-5.6,13.0
2019-09-08,2019-09-14,4.25,2.4
2019-09-15,2019-09-21,-22.6,2.5
2019-09-22,2019-09-28,-31.0,2.2
2019-09-29,2019-10-05,0.3333333333333333,-24.0
2019-10-06,2019-10-12,-1.0,53.666666666666664
2019-10-13,2019-10-19,35.0,47.333333333333336
2019-10-20,2019-10-26,10.0,-1.6666666666666667
2019-10-27,2019-11-02,-8.2,15.8
2019-11-03,2019-11-09,3.0,14.0
2019-11-10,2019-11-16,-12.6,-9.4
2019-11-17,2019-11-23,6.0,-8.4
2019-11-24,2019-11-30,-10.8,-27.0
2019-12-01,2019-12-07,-20.0,-15.0
2019-12-08,2019-12-14,-2.2,-30.0
2019-12-15,2019-12-21,24.2,-3.8
2019-12-22,2019-12-28,17.2,9.6
2019-12-29,2020-01-04,13.4,4.0
2020-01-05,2020-01-11,-13.4,2.6
2020-01-12,2020-01-18,-33.4,6.6
2020-01-19,2020-01-25,-5.2,1.4
2020-01-26,2020-02-01,-28.2,0.6
2020-02-02,2020-02-08,7.8,-11.6
2020-02-09,2020-02-15,-8.0,-12.4
2020-02-16,2020-02-22,-37.4,-10.2
2020-02-23,2020-02-29,-44.0,-28.6
2020-03-01,2020-03-07,-194.25,-60.05000305175781
2020-03-08,2020-03-14,-66.4,-93.34999084472656
2020-03-15,2020-03-21,87.8,-20.32000732421874
2020-03-22,2020-03-28,-10.2,-4.8
2020-03-29,2020-04-04,80.0,11.220001220703114
2020-04-05,2020-04-11,31.0,15.43333943684892
2020-04-12,2020-04-18,56.8,36.33333333333337
2020-04-19,2020-04-25,-15.666666666666664,-16.74000244140625
2020-04-26,2020-05-02,-13.2,39.599995930989586
2020-05-03,2020-05-09,-30.2,-15.6199951171875
2020-05-10,2020-05-16,0.0,-25.68000488281249
2020-05-17,2020-05-23,-6.5,10.480004882812466
2020-05-24,2020-05-30,-27.2,6.500000000000028
2020-05-31,2020-06-06,42.75,-9.64000244140625
2020-06-07,2020-06-13,-15.4,-7.724998474121094
2020-06-14,2020-06-20,0.4,0.43999633789063636
2020-06-21,2020-06-27,35.99998931884774,-8.0
2020-06-28,2020-07-04,-16.59998931884775,-12.859995651245129
2020-07-05,2020-07-11,11.0,7.519999313354492
2020-07-12,2020-07-18,5.0,4.5
2020-07-19,2020-07-25,6.25,1.0
2020-07-26,2020-08-01,,-2.0500030517578125
