first_day_in_week,last_day_in_week,KRNV-L_main_symb_weekly_mean_diff,ALD.TA_weekly_mean_diff_-0.36,PLTF.TA_weekly_mean_diff_-0.53
2019-03-03,2019-03-09,-0.16000022888183452,-5.020001220703125,-2.3400009155273436
2019-03-10,2019-03-16,0.0,-3.439996337890625,0.18000030517578125
2019-03-17,2019-03-23,-0.05999984741210866,-2.74000244140625,2.1399993896484375
2019-03-24,2019-03-30,0.0,-4.920001220703114,-2.3399993896484377
2019-03-31,2019-04-06,-0.4,-2.2000000000000055,5.239999389648441
2019-04-07,2019-04-13,-0.0799999237060561,4.120001220703119,1.3
2019-04-14,2019-04-20,0.13999977111816478,6.65999755859375,-2.2
2019-04-21,2019-04-27,-0.6599998474121087,6.920001220703125,0.3400009155273409
2019-04-28,2019-05-04,0.13999977111816406,1.0,-3.8
2019-05-05,2019-05-11,-0.3599998474121101,1.7,0.45999908447265625
2019-05-12,2019-05-18,-0.17999992370605394,-0.039996337890625,-2.9399993896484373
2019-05-19,2019-05-25,0.05999984741210866,-1.3,-1.2599998474121095
2019-05-26,2019-06-01,-0.2200000762939446,-6.6800048828125,0.2799995422363281
2019-06-02,2019-06-08,-0.1799999237060554,2.820001220703125,-0.7199996948242188
2019-06-09,2019-06-15,0.5799999237060554,3.34000244140625,-1.5400001525878906
2019-06-16,2019-06-22,-0.2399997711181641,-3.820001220703125,0.059999847412109376
2019-06-23,2019-06-29,-0.020000076293946026,-0.279998779296875,1.1
2019-06-30,2019-07-06,-0.6400001525878907,-6.8,0.3400001525878906
2019-07-07,2019-07-13,0.08000030517578123,-2.279998779296875,0.4400001525878906
2019-07-14,2019-07-20,-0.2200000762939453,-2.5200012207031364,0.04000015258789062
2019-07-21,2019-07-27,-0.2200000762939453,3.0000000000000115,-1.8599998474121109
2019-07-28,2019-08-03,-0.059999847412109376,3.85999755859375,0.21999969482422016
2019-08-04,2019-08-10,-0.2200000762939453,-2.15999755859375,-2.4
2019-08-11,2019-08-17,0.8799999237060547,0.05999755859375,-0.18000030517578125
2019-08-18,2019-08-24,-0.040000152587890615,-1.5,-0.37999954223632815
2019-08-25,2019-08-31,-0.5599998474121094,-5.039996337890625,-0.020000457763671875
2019-09-01,2019-09-07,-0.1400001525878906,-4.620001220703131,0.04000015258789062
2019-09-08,2019-09-14,-0.25,-2.9,-0.9799995422363281
2019-09-15,2019-09-21,1.5666669209798176,-0.375,-0.17500019073486506
2019-09-22,2019-09-28,-2.3000001907348637,0.8799987792968806,0.0599998474121108
2019-10-20,2019-10-26,-0.2799999237060547,0.6000010172526041,-0.8333333333333345
2019-10-27,2019-11-02,0.24000015258789065,-0.6399993896484432,0.1200000762939446
2019-11-03,2019-11-09,-0.040000152587890615,0.15999755859376136,0.1
2019-11-10,2019-11-16,-0.26000003814697303,-4.5,0.6000003814697266
2019-11-17,2019-11-23,-0.4,0.8600006103515568,-0.6400001525878913
2019-11-24,2019-11-30,-0.1,0.2600006103515625,0.059999847412110084
2019-12-01,2019-12-07,0.3399999618530277,-1.8600006103515625,1.6199996948242188
2019-12-08,2019-12-14,-0.0399999618530277,-0.9199981689453182,-0.8799995422363281
2019-12-15,2019-12-21,-0.17999992370605394,1.219998168945318,-0.1
2019-12-22,2019-12-28,0.3,-1.1600006103515568,-0.24000015258789062
2019-12-29,2020-01-04,0.3800001144409176,-2.1399993896484433,0.1400001525878892
2020-01-05,2020-01-11,-0.3600002288818359,-0.6199981689453125,-0.32000045776367186
2020-01-12,2020-01-18,-0.07999992370605469,-1.34000244140625,0.04000015258789347
2020-01-19,2020-01-25,-0.3000001907348633,-1.15999755859375,0.2400001525878892
2020-01-26,2020-02-01,-0.09999942779540838,3.9199981689453125,-0.11999969482421875
2020-02-02,2020-02-08,0.0,-0.3199981689453182,5.459999847412109
2020-02-09,2020-02-15,-4.1000003814697275,14.599999999999994,11.199999237060549
2020-02-16,2020-02-22,-0.06000003814697265,-6.160000610351551,-2.5399993896484405
2020-02-23,2020-02-29,0.07500004768371582,-4.2800018310546815,-5.239999389648437
2020-03-01,2020-03-07,-0.7249999046325686,0.07500076293944602,0.27499961853027344
2020-03-08,2020-03-14,-0.28000001907348604,-11.299999237060547,-4.40000057220459
2020-03-15,2020-03-21,0.0,-5.339999389648443,-2.4400001525878907
2020-03-22,2020-03-28,0.8199999809265135,1.6199981689453182,0.4600006103515611
2020-03-29,2020-04-04,0.2200000762939453,1.34000244140625,-1.6200004577636704
2020-05-03,2020-05-09,-0.3200000762939453,0.3600006103515625,1.7999992370605469
2020-05-10,2020-05-16,0.0,0.7399993896484375,-0.379998779296875
2020-05-17,2020-05-23,0.04999995231628418,-0.7,0.679998779296875
2020-05-24,2020-05-30,1.1399999618530274,-0.575000762939446,-0.09999847412109375
2020-05-31,2020-06-06,0.1000001430511479,1.5800018310546817,-0.48000030517578407
2020-06-07,2020-06-13,-0.12000007629394603,-0.7250022888183594,-0.8749999999999982
2020-06-14,2020-06-20,-0.639999961853027,6.980001831054688,0.41999969482422017
2020-06-21,2020-06-27,-0.1199999988079071,-4.0800018310546875,-2.3400001525878906
2020-06-28,2020-07-04,-1.380000001192093,2.560001277923578,5.03999967575073
2020-07-05,2020-07-11,-0.1,1.0200005531311092,-0.060000133514401456
2020-07-12,2020-07-18,-0.25999999046325684,0.8599975585937557,-0.8
2020-07-19,2020-07-25,,0.4800018310546818,-1.119999694824216
