first_day_in_week,last_day_in_week,ASHG_main_symb_weekly_mean_diff,SHGR.TA_weekly_mean_diff_0.42
2019-03-10,2019-03-16,8.8,4.6
2019-03-17,2019-03-23,51.2,27.8
2019-03-24,2019-03-30,-19.4,-8.6
2019-03-31,2019-04-06,29.6,15.2
2019-04-07,2019-04-13,17.8,1.0
2019-04-14,2019-04-20,17.8,-1.0
2019-04-21,2019-04-27,-32.6,4.4
2019-04-28,2019-05-04,40.2,-14.4
2019-05-05,2019-05-11,60.6,3.4
2019-05-12,2019-05-18,-16.2,-3.2
2019-05-19,2019-05-25,67.6,-17.8
2019-05-26,2019-06-01,-43.2,6.8
2019-06-02,2019-06-08,0.0,3.6
2019-06-09,2019-06-15,-7.6,8.0
2019-06-16,2019-06-22,-0.2,3.4
2019-06-23,2019-06-29,-9.8,-2.2
2019-06-30,2019-07-06,42.0,-6.0
2019-07-07,2019-07-13,-7.8,-5.2
2019-07-14,2019-07-20,28.6,4.0
2019-07-21,2019-07-27,-15.8,-14.8
2019-07-28,2019-08-03,-0.8,-10.6
2019-08-04,2019-08-10,40.2,-0.2
2019-08-11,2019-08-17,34.4,-3.4
2019-08-18,2019-08-24,14.2,17.4
2019-08-25,2019-08-31,5.6,11.2
2019-09-01,2019-09-07,-9.8,-12.6
2019-09-08,2019-09-14,32.75,8.4
2019-09-15,2019-09-21,12.0,-4.5
2019-09-22,2019-09-28,6.5,5.2
2019-09-29,2019-10-05,52.33333333333334,-6.0
2019-10-06,2019-10-12,60.0,8.333333333333334
2019-10-13,2019-10-19,33.333333333333336,17.333333333333332
2019-10-20,2019-10-26,-5.2,-7.666666666666667
2019-10-27,2019-11-02,26.0,-5.6
2019-11-03,2019-11-09,-7.8,-1.8
2019-11-10,2019-11-16,7.8,-6.2
2019-11-17,2019-11-23,70.2,2.2
2019-11-24,2019-11-30,-3.8,-21.6
2019-12-01,2019-12-07,110.4,-1.0
2019-12-08,2019-12-14,45.2,-0.4
2019-12-15,2019-12-21,-6.8,13.0
2019-12-22,2019-12-28,1.2,-1.4
2019-12-29,2020-01-04,60.8,5.0
2020-01-05,2020-01-11,36.0,7.8
2020-01-12,2020-01-18,-7.0,-4.2
2020-01-19,2020-01-25,-94.8,2.4
2020-01-26,2020-02-01,-54.2,-9.8
2020-02-02,2020-02-08,60.6,-17.2
2020-02-09,2020-02-15,112.4,14.8
2020-02-16,2020-02-22,-128.0,-8.8
2020-02-23,2020-02-29,-80.0,-20.0
2020-03-01,2020-03-07,-447.5,-31.074996948242188
2020-03-08,2020-03-14,-30.0,-38.67500305175781
2020-03-15,2020-03-21,170.0,17.15999755859375
2020-03-22,2020-03-28,64.6,35.84000244140625
2020-03-29,2020-04-04,125.33333333333331,3.4
2020-04-05,2020-04-11,2.333333333333333,-7.666666666666667
2020-04-12,2020-04-18,91.8,8.0
2020-04-19,2020-04-25,107.66666666666669,19.8
2020-04-26,2020-05-02,-53.6,12.333333333333334
2020-05-03,2020-05-09,-60.8,-10.2
2020-05-10,2020-05-16,56.8,-15.8
2020-05-17,2020-05-23,-61.0,14.0
2020-05-24,2020-05-30,-127.0,-11.5
2020-05-31,2020-06-06,92.25,2.2
2020-06-07,2020-06-13,9.8,-11.75
2020-06-14,2020-06-20,-134.6,-22.6
2020-06-21,2020-06-27,37.3999755859376,9.2
2020-06-28,2020-07-04,-60.59997558593759,3.400002288818359
2020-07-05,2020-07-11,59.6,-3.2000022888183595
2020-07-12,2020-07-18,29.6,45.0
2020-07-19,2020-07-25,-19.0,16.8
2020-07-26,2020-08-01,,-17.5
