first_day_in_week,last_day_in_week,PMCN_main_symb_weekly_mean_diff,PMCN.TA_weekly_mean_diff_-0.43,PMCN.TA_weekly_mean_diff_-0.43_INT_PLCR.TA_weekly_mean_diff_-0.36_corr_0.82,PZOL.TA_weekly_mean_diff_-0.37_INT_ENRG.TA_weekly_mean_diff_-0.37_corr_0.89,PZOL.TA_weekly_mean_diff_-0.37_INT_FNTS.TA_weekly_mean_diff_-0.4_corr_0.76,CAMT.TA_weekly_mean_diff_-0.39_INT_FNTS.TA_weekly_mean_diff_-0.4_corr_0.77,INCR.TA_weekly_mean_diff_-0.35_INT_JBNK.TA_weekly_mean_diff_-0.43_corr_0.72,PMCN.TA_weekly_mean_diff_-0.43_INT_FNTS.TA_weekly_mean_diff_-0.4_corr_0.76,BCNV.TA_weekly_mean_diff_-0.36_INT_PMCN.TA_weekly_mean_diff_-0.43_corr_0.78,PMCN.TA_weekly_mean_diff_-0.43_INT_PZOL.TA_weekly_mean_diff_-0.37_corr_0.81,CAMT.TA_weekly_mean_diff_-0.39_INT_PMCN.TA_weekly_mean_diff_-0.43_corr_0.85,JBNK.TA_weekly_mean_diff_-0.43_INT_PMCN.TA_weekly_mean_diff_-0.43_corr_0.84,PMCN.TA_weekly_mean_diff_-0.43_INT_ENRG.TA_weekly_mean_diff_-0.37_corr_0.84,ICCM.TA_weekly_mean_diff_-0.42_INT_CAMT.TA_weekly_mean_diff_-0.39_corr_0.88,ICCM.TA_weekly_mean_diff_-0.42_INT_ENRG.TA_weekly_mean_diff_-0.37_corr_0.87,PZOL.TA_weekly_mean_diff_-0.37_INT_ICCM.TA_weekly_mean_diff_-0.42_corr_0.89,JBNK.TA_weekly_mean_diff_-0.43_INT_ICCM.TA_weekly_mean_diff_-0.42_corr_0.9,PLCR.TA_weekly_mean_diff_-0.36_INT_PRGO.TA_weekly_mean_diff_-0.42_corr_0.89,JBNK.TA_weekly_mean_diff_-0.43_INT_PRGO.TA_weekly_mean_diff_-0.42_corr_0.92,ENRG.TA_weekly_mean_diff_-0.37_INT_CAMT.TA_weekly_mean_diff_-0.39_corr_0.93,CAMT.TA_weekly_mean_diff_-0.39_INT_PRGO.TA_weekly_mean_diff_-0.42_corr_0.94
2019-03-10,2019-03-16,11.4,-2.4,3.2006396484375,3501.2395629882812,329.3604370117187,9.384012451171873,109.43984375,-2.2080029296875,-206.4,-859.1999999999999,-24.479999999999997,-8.20798828125,-23.4719970703125,3.055315246582031,2.929507782543078,107.23557434082032,1.024427767135203,-80.0159912109375,205.19970703125,99.75598754882812,612.0
2019-03-17,2019-03-23,4.579998779296875,11.4,-25.41287109375,-2535.5220703124996,-949.7584472656249,42.559930419921876,-12.480078125,25.535958251953126,2690.4,-4833.6,216.6,17.784111328125,68.1720556640625,-9.864802551269532,-3.1048193381354214,220.14085693359377,-0.8099572797864677,-178.3359375,124.80078125,113.62009277343749,1520.0
2019-03-24,2019-03-30,1.660003662109375,4.579998779296875,-3.738189189210534,245.9207763671875,125.07987060546874,27.139971923828124,-23.38001708984375,-5.404392968751489,412.19989013671875,-485.4798706054687,-105.33997192382812,-15.297207104489207,-10.625630712881684,24.342286682128904,2.4554036256857215,112.18619079589843,3.534925954248756,60.3987060546875,247.1601806640625,53.36016845703125,1702.0
2019-03-31,2019-04-06,1.75999755859375,1.660003662109375,-15.43637243285775,-738.923681640625,-6635.200000000001,677.6,-36.675974121093745,14.608032226562502,245.6805419921875,-1251.6427612304688,127.82028198242188,5.743608618155122,1.626811694353819,-162.98748474121092,-2.074396504983306,1596.0073181152343,-7.323848042674362,-111.58798828124999,41.519970703125,75.4603759765625,924.0
2019-04-07,2019-04-13,-4.3,1.75999755859375,-1.2672003906220197,594.9586914062501,1677.6809814453125,153.99609008789062,-4.0279907226562495,11.017591162100434,351.99951171875,471.67934570312497,43.29593994140625,1.8655931152403353,3.9071859863400458,13.263339843750002,1.1969329142570497,144.49492187500002,0.5715084493160248,-131.04022216796875,192.9195556640625,54.6118798828125,4477.2
2019-04-14,2019-04-20,3.8,-4.3,1.3760052490234373,-1.5596191406250002,-414.9600952148437,-58.52001342773437,-138.49609375,22.876005249023436,1591.0,-335.4,-47.3,-46.526031494140625,0.08597900390625,-1.3177978515625,0.0023954111337661744,-9.344384765625,-1.2962347641587257,37.76014404296875,-1276.7608642578125,-0.21994628906250002,-1298.0
2019-04-21,2019-04-27,-9.1,3.8,-2.583995361328125,1256.6395019531249,-318.2407470703102,-30.57607177734353,29.5959521484375,-5.928013916015582,-159.6,775.1999999999999,74.48,11.475981445312499,23.407990722656248,0.782432861328125,0.24590737324208017,8.143688964843749,0.12055833779275416,-48.959912109375004,217.43964843749998,120.7359521484375,1411.2
2019-04-28,2019-05-04,0.0,-9.1,4.914022216796875,507.402099609375,3147.59790039063,275.23181640625046,12.49595703125,66.61195556640635,2657.2,3913.0,342.16,12.92195556640625,10.73804443359375,43.548322753906255,1.3666817416995765,498.0260314941406,1.6446384487301113,48.6002197265625,127.799560546875,44.368183593750004,3384.0
2019-05-05,2019-05-11,-14.0,0.0,-0.0,-302.400390625,-571.19970703125,-31.415983886718752,-0.24799804687500002,0.0,0.0,-0.0,-0.0,0.0,0.0,-4.920432128906251,4.227103971093893,-89.46240234375,0.693328157812357,8.8,-13.639892578125,-16.632021484375002,96.80000000000001
2019-05-12,2019-05-18,8.320001220703125,-14.0,6.71998291015625,421.04018554687497,-874.0,761.3000000000001,-35.37211669921875,161.0,-1148.0,-1064.0,926.8000000000001,-10.360034179687501,-77.56003417968749,148.05896270751944,-12.390438291113815,-169.97705688476552,-1.6550452247075726,-25.91993408203125,39.9601318359375,-366.74816162109374,-3574.8
