first_day_in_week,last_day_in_week,IGLD_main_symb_weekly_mean_diff,GLTC.TA_weekly_mean_diff_0.44
2019-03-10,2019-03-16,-1334.0,-4.380000305175781
2019-03-17,2019-03-23,-260.0,2.3600006103515625
2019-03-24,2019-03-30,-810.0,-3.6800003051757812
2019-03-31,2019-04-06,516.0,1.6399993896484404
2019-04-07,2019-04-13,-468.0,-1.1799987792968778
2019-04-14,2019-04-20,12.0,0.8
2019-04-21,2019-04-27,-262.0,-0.0600006103515625
2019-04-28,2019-05-04,-76.0,-3.5600006103515627
2019-05-05,2019-05-11,-246.0,1.5
2019-05-12,2019-05-18,-732.0,-1.2199996948242187
2019-05-19,2019-05-25,16.0,-0.8599990844726563
2019-05-26,2019-06-01,-138.0,0.079998779296875
2019-06-02,2019-06-08,186.0,-1.3599990844726577
2019-06-09,2019-06-15,100.0,-0.3800003051757798
2019-06-16,2019-06-22,-38.0,0.7
2019-06-23,2019-06-29,-26.0,-0.4400001525878906
2019-06-30,2019-07-06,56.0,1.320000457763669
2019-07-07,2019-07-13,552.0,0.6800003051757841
2019-07-14,2019-07-20,-514.0,-2.420000457763672
2019-07-21,2019-07-27,144.0,-0.12000045776367188
2019-07-28,2019-08-03,-158.0,-0.21999969482421874
2019-08-04,2019-08-10,-192.0,-0.38000030517578126
2019-08-11,2019-08-17,-504.0,-1.039999389648439
2019-08-18,2019-08-24,288.4,-0.3200004577636705
2019-08-25,2019-08-31,-130.4,0.5400001525878906
2019-09-01,2019-09-07,-134.6,-0.5400001525878906
2019-09-08,2019-09-14,2.25,-0.3599998474121094
2019-09-15,2019-09-21,-114.4,0.3000001907348633
2019-09-22,2019-09-28,-64.0,0.9
2019-09-29,2019-10-05,-162.33333333333334,-0.899999618530277
2019-10-06,2019-10-12,-287.3333333333333,1.2999992370605493
2019-10-13,2019-10-19,-188.66666666666663,-1.6666666666666667
2019-10-20,2019-10-26,-181.6,0.8000005086263021
2019-10-27,2019-11-02,41.6,-1.0800003051757812
2019-11-03,2019-11-09,-106.4,2.2400001525878905
2019-11-10,2019-11-16,-10.0,-0.3599998474121094
2019-11-17,2019-11-23,238.4,1.6400001525878891
2019-11-24,2019-11-30,-177.6,2.139999389648439
2019-12-01,2019-12-07,-134.2,-2.7
2019-12-08,2019-12-14,-29.6,-1.7799995422363282
2019-12-15,2019-12-21,-100.2,2.2599998474121095
2019-12-22,2019-12-28,-51.2,-1.7
2019-12-29,2020-01-04,-103.6,0.14000015258789061
2020-01-05,2020-01-11,-5.2,1.1199996948242188
2020-01-12,2020-01-18,15.4,-1.0199996948242187
2020-01-19,2020-01-25,21.6,0.04000015258788921
2020-01-26,2020-02-01,3.8,-0.8200004577636705
2020-02-02,2020-02-08,-125.2,-0.07999954223632955
2020-02-09,2020-02-15,-38.8,-0.2600006103515611
2020-02-16,2020-02-22,-56.6,0.1
2020-02-23,2020-02-29,45.25,-0.539999389648439
2020-03-01,2020-03-07,-126.75,0.42499923706054865
2020-03-08,2020-03-14,-34.8,-2.424999237060547
2020-03-15,2020-03-21,-13.819995117187524,0.21999969482421874
2020-03-22,2020-03-28,-2.6600097656249546,0.6
2020-03-29,2020-04-04,-3.1666666666666665,0.04000015258789062
2020-04-05,2020-04-11,694.9666748046875,0.6333325703938802
2020-04-12,2020-04-18,127.4,-1.4333330790201824
2020-04-19,2020-04-25,-62.33333333333334,-0.04000015258789062
2020-04-26,2020-05-02,-43.6,0.9333343505859375
2020-05-03,2020-05-09,-22.4,-0.5200004577636719
2020-05-10,2020-05-16,-19.8,-0.059999847412109376
2020-05-17,2020-05-23,-30.25,0.5400001525878906
2020-05-24,2020-05-30,-41.2,0.47499942779541016
2020-05-31,2020-06-06,-52.75,-0.5399993896484375
2020-06-07,2020-06-13,29.4,1.8999996185302734
2020-06-14,2020-06-20,-15.0,-0.04000015258789062
2020-06-21,2020-06-27,46.40001831054688,-1.5799995422363282
2020-06-28,2020-07-04,10.799981689453123,0.4999996185302692
2020-07-05,2020-07-11,-44.8,-0.3399997711181598
2020-07-12,2020-07-18,-39.4,0.37999954223632815
2020-07-19,2020-07-25,-14.25,0.6
2020-07-26,2020-08-01,,5.55000114440918
