first_day_in_week,last_day_in_week,TLRD_main_symb_weekly_mean_diff,MMHD.TA_weekly_mean_diff_0.36,TUZA.TA_weekly_mean_diff_0.36,PCBT.TA_weekly_mean_diff_0.38,KNFM.TA_weekly_mean_diff_0.41
2019-03-10,2019-03-16,0.179998779296875,1.4,0.3599998474121094,1.379998779296875,-12.2
2019-03-17,2019-03-23,-0.9199981689453182,20.4,0.3599998474121094,7.8,-11.0
2019-03-24,2019-03-30,-7.8,-29.4,0.04000015258789062,-0.6599975585937727,-9.2
2019-03-31,2019-04-06,1.9599975585937612,33.8,0.0,1.4799926757812727,16.0
2019-04-07,2019-04-13,-0.17999877929688068,9.6,-0.14000015258789061,3.1800048828125,8.8
2019-04-14,2019-04-20,0.6600006103515625,-12.6,-0.01999969482421875,1.7,-8.0
2019-04-21,2019-04-27,-1.1800018310546818,2.8,-0.4,0.3199951171875,5.2
2019-04-28,2019-05-04,-0.3399993896484432,26.2,-0.3,3.42000732421875,-17.0
2019-05-05,2019-05-11,-2.0199981689453126,15.6,0.0,-0.85999755859375,0.0
2019-05-12,2019-05-18,-1.4800018310546874,68.0,0.3400001525878906,0.4199951171875,-7.4
2019-05-19,2019-05-25,-8.439999389648438,-41.4,-0.020000457763671875,0.9199951171875,2.8
2019-05-26,2019-06-01,-1.3399993896484403,65.4,-0.3,0.72000732421875,2.2
2019-06-02,2019-06-08,-1.1200012207031194,25.6,-0.41999969482421873,-0.85999755859375,18.4
2019-06-09,2019-06-15,0.2,-37.4,0.15999984741210938,-0.52000732421875,3.4
2019-06-16,2019-06-22,0.08000030517577841,36.8,-0.04000015258789062,-0.0199951171875,-9.4
2019-06-23,2019-06-29,-0.8399993896484375,5.2,-0.2799995422363281,-7.52000732421875,-7.2
2019-06-30,2019-07-06,-1.2800003051757811,16.0,0.1,2.060009765625,-4.4
2019-07-07,2019-07-13,0.08000030517578123,-21.4,-0.24000015258789062,0.7,-6.0
2019-07-14,2019-07-20,0.2599990844726591,-7.0,-0.24000015258789062,-3.8400024414062726,3.2
2019-07-21,2019-07-27,0.6200012207031194,14.0,0.5400001525878906,-0.6800048828124545,4.8
2019-07-28,2019-08-03,-0.18000030517577842,42.4,-0.5,-4.419995117187545,5.2
2019-08-04,2019-08-10,-0.4199996948242216,-88.0,1.18000030517578,-4.540002441406227,4.8
2019-08-11,2019-08-17,0.13999938964844033,23.4,-0.020000457763670453,-2.25999755859375,-4.0
2019-08-18,2019-08-24,-0.6600006103515597,-36.0,-0.3,2.0199951171875115,6.2
2019-08-25,2019-08-31,-1.3799987792968806,6.0,-0.059999847412109376,-4.879998779296886,0.0
2019-09-01,2019-09-07,0.4599990844726591,-35.2,-0.8599998474121093,-5.0,13.0
2019-09-08,2019-09-14,0.4750003814697266,61.4,0.45999984741210936,-5.079998779296875,2.4
2019-09-15,2019-09-21,-0.33999938964844034,9.0,-0.05000019073486328,2.6750030517578125,2.5
2019-09-22,2019-09-28,-0.6000022888183523,-15.8,-0.17999954223632814,3.579998779296875,2.2
2019-09-29,2019-10-05,-0.09999847412109847,-7.0,-0.20000076293945312,8.699996948242188,-24.0
2019-10-06,2019-10-12,0.5,53.666666666666664,0.599999745686849,5.466664632161458,53.666666666666664
2019-10-13,2019-10-19,8.199999491373703,132.66666666666666,-0.09999974568684895,0.100006103515625,47.333333333333336
2019-10-20,2019-10-26,-1.0800003051757812,-36.666666666666664,-0.5333328247070312,1.1999918619791856,-1.6666666666666667
2019-10-27,2019-11-02,2.479998779296875,-7.8,-0.020000457763671875,-3.2399963378906365,15.8
2019-11-03,2019-11-09,-0.3199981689453182,-67.2,0.3599998474121094,0.920001220703125,14.0
2019-11-10,2019-11-16,-0.23999938964843184,-50.4,0.0,-2.820001220703125,-9.4
2019-11-17,2019-11-23,0.579998779296875,85.2,-0.4799995422363281,-8.679998779296875,-8.4
2019-11-24,2019-11-30,-2.4399993896484404,-30.2,-0.12000045776367188,-2.620001220703125,-27.0
2019-12-01,2019-12-07,-1.96000061035156,-28.6,0.1,-0.720001220703125,-15.0
2019-12-08,2019-12-14,-2.0,-27.0,0.5,1.3,-30.0
2019-12-15,2019-12-21,-1.1199996948242188,-46.0,-0.2799995422363281,-2.4400024414062385,-3.8
2019-12-22,2019-12-28,6.439999389648437,16.6,-0.28000030517578123,12.5,9.6
2019-12-29,2020-01-04,-1.0199996948242187,68.0,0.14000015258789061,-3.379998779296886,4.0
2020-01-05,2020-01-11,0.7600006103515596,-50.4,0.5199996948242187,-0.32000122070311365,2.6
2020-01-12,2020-01-18,0.3199996948242216,7.4,0.38000030517578126,4.7,6.6
2020-01-19,2020-01-25,-0.8,-25.0,-0.6199996948242188,2.5400024414062385,1.4
2020-01-26,2020-02-01,-0.5400009155273409,-62.6,-0.32000045776367186,-0.979998779296875,0.6
2020-02-02,2020-02-08,-0.8199996948242216,-77.2,-0.5799995422363281,-1.920001220703125,-11.6
2020-02-09,2020-02-15,-0.31999969482421875,28.0,0.1,2.84000244140625,-12.4
2020-02-16,2020-02-22,0.03999938964844034,29.6,-0.3600006103515625,1.079998779296875,-10.2
2020-02-23,2020-02-29,-1.125,-81.6,0.24000015258789062,-6.279998779296875,-28.6
2020-03-01,2020-03-07,-8.899999618530277,-56.25,-1.175000190734865,-13.200004577636719,-60.05000305175781
2020-03-08,2020-03-14,-1.9399993896484404,-204.75,0.10000038146972834,-19.875,-93.34999084472656
2020-03-15,2020-03-21,-2.2999999999999985,-49.4,-0.41999969482421873,-10.879998779296875,-20.32000732421874
2020-03-22,2020-03-28,-0.060000610351561075,79.6,1.1399993896484375,5.6,-4.8
2020-03-29,2020-04-04,1.7000007629394531,122.8,-0.21999969482421874,21.3,11.220001220703114
2020-04-05,2020-04-11,2.4333330790201817,95.0,-0.7666664123535156,2.3333333333333335,15.43333943684892
2020-04-12,2020-04-18,0.9,0.3333333333333333,0.5333328247070312,-0.3333333333333333,36.33333333333337
2020-04-19,2020-04-25,1.8666661580403645,77.8,0.4400001525878906,2.5599975585937615,-16.74000244140625
2020-04-26,2020-05-02,0.6800003051757812,63.333333333333336,0.3333333333333333,1.1000061035156061,39.599995930989586
2020-05-03,2020-05-09,1.6,-49.8,-0.04000015258789062,3.1399963378906364,-15.6199951171875
2020-05-10,2020-05-16,1.0600006103515596,-30.0,1.1599998474121094,1.6800048828124887,-25.68000488281249
2020-05-17,2020-05-23,11.474998474121106,51.4,2.8400001525878906,4.539996337890625,10.480004882812466
2020-05-24,2020-05-30,5.739999389648433,-9.5,-0.25,4.625,6.500000000000028
2020-05-31,2020-06-06,-0.125,-14.0,-0.27999954223632956,-0.32000122070311365,-9.64000244140625
2020-06-07,2020-06-13,-0.4199981689453125,-83.25,0.34999942779541193,1.2000045776367045,-7.724998474121094
2020-06-14,2020-06-20,-5.52000122070312,-43.8,0.04000015258789062,-1.820001220703125,0.43999633789063636
2020-06-21,2020-06-27,1.0200002670288086,-72.6,0.5800003051757798,1.64000244140625,-8.0
2020-06-28,2020-07-04,-1.1399984359741269,72.40000915527344,-0.24000043869018411,-3.0400062561035157,-12.859995651245129
2020-07-05,2020-07-11,0.85999755859375,4.5999908447265625,0.34000043869018415,0.46000137329102697,7.519999313354492
2020-07-12,2020-07-18,-2.119998168945318,42.0,0.23999938964843892,-9.959997558593761,4.5
2020-07-19,2020-07-25,0.299999237060554,21.8,1.7400009155273437,10.120001220703125,1.0
2020-07-26,2020-08-01,,-47.75,0.0,-0.7750015258789062,-2.0500030517578125
