first_day_in_week,last_day_in_week,NVLG_main_symb_weekly_mean_diff,PSTI.TA_weekly_mean_diff_0.4,LUZN.TA_weekly_mean_diff_0.45
2019-03-10,2019-03-16,-1.0200012207031193,-21.6,-0.28000030517578123
2019-03-17,2019-03-23,-0.859999084472659,4.4,0.1
2019-03-24,2019-03-30,5.040000915527344,-1.6,0.24000015258789062
2019-03-31,2019-04-06,0.7399993896484375,-275.0,-0.4400001525878906
2019-04-07,2019-04-13,-0.620001220703125,12.0,-0.14000015258789061
2019-04-14,2019-04-20,-0.8600006103515625,-54.0,-0.21999969482421874
2019-04-21,2019-04-27,0.720001220703125,28.2,0.019999694824217328
2019-04-28,2019-05-04,-0.16000061035155685,56.4,0.38000030517578265
2019-05-05,2019-05-11,1.0200012207031193,16.6,-0.15999984741210938
2019-05-12,2019-05-18,-0.5800018310546875,-20.6,-0.2200004577636733
2019-05-19,2019-05-25,-0.4399993896484318,25.4,0.3200004577636733
2019-05-26,2019-06-01,-1.7399993896484431,-21.2,0.01999969482421875
2019-06-02,2019-06-08,1.379998779296875,-52.8,-0.07999954223632813
2019-06-09,2019-06-15,0.44000244140625,-0.4,-0.14000015258789061
2019-06-16,2019-06-22,0.6,12.0,-0.18000030517577983
2019-06-23,2019-06-29,1.0,14.4,0.09999999999999858
2019-06-30,2019-07-06,0.65999755859375,-29.0,-0.15999984741210938
2019-07-07,2019-07-13,-0.879998779296875,-29.4,-0.1400001525878892
2019-07-14,2019-07-20,0.4600006103515625,74.2,-0.1599998474121108
2019-07-21,2019-07-27,-1.1600006103515623,-84.8,0.1599998474121108
2019-07-28,2019-08-03,0.479998779296875,-8.8,-0.4000000000000007
2019-08-04,2019-08-10,-1.279998779296875,-52.4,-0.7799999237060554
2019-08-11,2019-08-17,0.3600006103515625,-59.8,-0.1
2019-08-18,2019-08-24,3.0199981689453126,17.0,0.6
2019-08-25,2019-08-31,3.14000244140625,-15.6,0.5000003814697266
2019-09-01,2019-09-07,-2.3600006103515625,29.2,-0.48000030517578124
2019-09-08,2019-09-14,-1.5499992370605469,13.0,-0.4200000762939453
2019-09-15,2019-09-21,0.95999755859375,8.25,0.0
2019-09-22,2019-09-28,-4.449996948242188,-20.0,-0.2
2019-09-29,2019-10-05,0.7333323160807291,-55.0,0.5500001907348633
2019-10-06,2019-10-12,0.3000030517578125,-2.0,0.0
2019-10-13,2019-10-19,3.0999959309895835,8.0,-0.09999974568685015
2019-10-20,2019-10-26,0.2600006103515625,-1.6666666666666667,-0.6666666666666666
2019-10-27,2019-11-02,1.720001220703125,-19.8,-0.14000015258788992
2019-11-03,2019-11-09,-0.5800018310546875,-2.0,-0.17999992370605397
2019-11-10,2019-11-16,-1.4,-10.4,0.020000076293943892
2019-11-17,2019-11-23,-0.35999755859375,-2.8,0.11999969482422017
2019-11-24,2019-11-30,-2.54000244140625,9.2,-0.01999969482422017
2019-12-01,2019-12-07,2.0800018310546875,28.6,-0.24000015258788993
2019-12-08,2019-12-14,-0.5600006103515625,-21.0,-0.17999992370605397
2019-12-15,2019-12-21,0.2,31.8,-0.12000007629394602
2019-12-22,2019-12-28,3.579998779296875,2.6,0.9799999237060547
2019-12-29,2020-01-04,0.820001220703125,-3.0,0.34000015258789135
2020-01-05,2020-01-11,6.320001220703119,-0.4,0.4
2020-01-12,2020-01-18,0.6199981689453182,7.4,0.039999771118164065
2020-01-19,2020-01-25,-2.9,-16.8,-0.1599998474121101
2020-01-26,2020-02-01,2.0,-5.6,0.9400001525878906
2020-02-02,2020-02-08,0.9,-4.6,0.1
2020-02-09,2020-02-15,0.220001220703125,13.0,0.07999954223632813
2020-02-16,2020-02-22,-2.4600006103515626,42.2,0.020000457763671875
2020-02-23,2020-02-29,-2.5,-47.6,0.04000015258789062
2020-03-01,2020-03-07,-4.75,-18.5,-0.4500007629394549
2020-03-08,2020-03-14,1.4600006103515626,-13.5,-0.27499961853027166
2020-03-15,2020-03-21,3.8600006103515567,6.2,-0.04000015258788921
2020-03-22,2020-03-28,-2.0,0.4,-0.07999954223632955
2020-03-29,2020-04-04,6.299997965494801,6.4,0.5199996948242187
2020-04-05,2020-04-11,0.0,66.66666666666667,0.16666666666666666
2020-04-12,2020-04-18,7.179998779296881,661.6666666666666,0.8333333333333334
2020-04-19,2020-04-25,3.700002034505199,-12.0,-0.14000015258789061
2020-04-26,2020-05-02,-3.2200012207031192,-9.333333333333334,0.1333338419596354
2020-05-03,2020-05-09,-3.5399993896484436,-58.0,0.15999984741210938
2020-05-10,2020-05-16,10.219998168945313,115.6,0.38000030517578126
2020-05-17,2020-05-23,-4.699996948242188,-110.0,-0.4200004577636719
2020-05-24,2020-05-30,1.2,-54.0,-0.19999980926513672
2020-05-31,2020-06-06,1.625,-7.6,0.5199996948242187
2020-06-07,2020-06-13,-0.4200012207031136,-76.0,0.6000003814697266
2020-06-14,2020-06-20,0.02000122070311363,-4.8,0.9400001525878906
2020-06-21,2020-06-27,2.0999998092651366,119.2,0.6400001525878892
2020-06-28,2020-07-04,2.200000190734863,-2.0,0.13999915122986123
2020-07-05,2020-07-11,0.4,-10.6,-0.6999997615814223
2020-07-12,2020-07-18,3.74000244140625,13.2,0.12000045776367188
2020-07-19,2020-07-25,1.3249969482421875,16.2,-0.0599998474121108
2020-07-26,2020-08-01,,-82.5,0.0
