first_day_in_week,last_day_in_week,PLX_main_symb_weekly_mean_diff,ICL.TA_weekly_mean_diff_0.37,ORL.TA_weekly_mean_diff_0.37,MMHD.TA_weekly_mean_diff_0.38,CEL.TA_weekly_mean_diff_0.41,ASHO.TA_weekly_mean_diff_0.44
2019-03-10,2019-03-16,27.4,3.0,-1.9799987792968807,1.4,6.2,6.0
2019-03-17,2019-03-23,-46.0,-17.0,-0.2,20.4,-51.6,-10.85999755859375
2019-03-24,2019-03-30,-1.8,4.4,-0.3,-29.4,-8.6,-5.5800048828125
2019-03-31,2019-04-06,10.0,-1.2,-0.7399993896484375,33.8,6.2,-0.8799926757812727
2019-04-07,2019-04-13,-24.0,4.6,0.9,9.6,9.8,-5.640002441406227
2019-04-14,2019-04-20,-1.2,12.4,0.3,-12.6,33.0,-9.74000244140625
2019-04-21,2019-04-27,0.8,8.6,-0.220001220703125,2.8,17.2,5.180004882812478
2019-04-28,2019-05-04,-8.8,-32.0,-0.3399993896484375,26.2,-35.2,-6.060009765624978
2019-05-05,2019-05-11,-8.6,19.0,0.1,15.6,18.0,3.8800048828125
2019-05-12,2019-05-18,3.2,-2.8,0.9600006103515625,68.0,15.4,-6.2800048828125
2019-05-19,2019-05-25,-3.2,-5.4,-1.7600006103515624,-41.4,-14.2,1.24000244140625
2019-05-26,2019-06-01,23.8,-14.2,1.0,65.4,-39.0,-1.4
2019-06-02,2019-06-08,-1.8,1.4,-0.3,25.6,-41.4,-0.3
2019-06-09,2019-06-15,7.4,9.0,-0.1399993896484375,-37.4,-2.6,4.25999755859375
2019-06-16,2019-06-22,8.2,7.0,1.5399993896484374,36.8,-15.8,-5.5
2019-06-23,2019-06-29,1.6,-10.2,-0.2,5.2,-9.8,1.02000732421875
2019-06-30,2019-07-06,-14.8,-5.2,-0.4799987792968807,16.0,-6.0,2.24000244140625
2019-07-07,2019-07-13,-26.6,-4.2,-0.12000122070311932,-21.4,13.6,-2.44000244140625
2019-07-14,2019-07-20,-19.2,-4.6,0.2,-7.0,16.6,1.7199951171875
2019-07-21,2019-07-27,-6.8,4.2,1.3200012207031193,14.0,-20.4,-0.34000244140625
2019-07-28,2019-08-03,-60.4,15.8,0.27999877929688066,42.4,-8.4,-2.7199951171875
2019-08-04,2019-08-10,-22.0,-4.8,0.0,-88.0,-19.4,3.0
2019-08-11,2019-08-17,-0.4,-34.6,-2.5,23.4,-15.14000244140625,-2.6199951171875
2019-08-18,2019-08-24,-25.8,-11.0,1.1399993896484375,-36.0,2.32000732421875,2.6199951171875
2019-08-25,2019-08-31,4.6,-10.6,-1.4199981689453125,6.0,-3.6,-5.5800048828125
2019-09-01,2019-09-07,8.0,3.2,0.779998779296875,-35.2,-7.3800048828125,-2.37999267578125
2019-09-08,2019-09-14,-10.5,15.4,-1.4,61.4,-7.25999755859375,6.1199951171875
2019-09-15,2019-09-21,2.0,10.5,2.25,9.0,0.8000030517578125,-5.7249908447265625
2019-09-22,2019-09-28,-12.5,-0.6,0.4600006103515625,-15.8,45.5199951171875,6.65999755859375
2019-09-29,2019-10-05,-10.0,-45.5,0.34999847412109375,-7.0,-20.75,-11.050018310546875
2019-10-06,2019-10-12,-19.0,-8.666666666666666,0.6000010172526041,53.666666666666664,-4.333333333333333,-2.3666585286458335
2019-10-13,2019-10-19,59.66666666666666,15.333333333333334,-0.06666564941407198,132.66666666666666,6.066670735677083,8.166666666666666
2019-10-20,2019-10-26,3.8,-12.0,-0.9333343505859281,-36.666666666666664,-16.633341471354168,3.0333251953125
2019-10-27,2019-11-02,-14.0,-10.8,-0.4,-7.8,1.74000244140625,-0.15999755859375
2019-11-03,2019-11-09,-17.2,9.4,-0.6399993896484375,-67.2,-18.04000244140625,5.64000244140625
