first_day_in_week,last_day_in_week,PZOL_main_symb_weekly_mean_diff,MCRNT.TA_weekly_mean_diff_-0.36,MMHD.TA_weekly_mean_diff_0.37,PHOE.TA_weekly_mean_diff_0.38,MVNE.TA_weekly_mean_diff_0.4,ALHE.TA_weekly_mean_diff_0.42,KTOV.TA_weekly_mean_diff_-0.43
2020-05-10,2020-05-16,264.0,-2.799999237060541,-30.0,-34.2,0.12000732421875,-35.0,1.9600006103515626
2020-05-17,2020-05-23,-377.5,3.0,51.4,16.0,-0.04000244140625,-8.2,9.0
2020-05-24,2020-05-30,238.0,0.4999995231628418,-9.5,7.5,13.75,27.5,-0.15000152587890625
2020-05-31,2020-06-06,-287.5,14.399999618530268,-14.0,-28.0,-7.0,-34.2,-4.239999389648437
2020-06-07,2020-06-13,152.0,9.00000095367433,-83.25,11.25,7.725006103515625,47.75,-2.5999984741210938
2020-06-14,2020-06-20,-464.0,3.2000007629394305,-43.8,12.6,-11.6,-6.8,-0.320001220703125
2020-06-21,2020-06-27,-5464.2,25.199595642089854,-72.6,-44.2,-13.6,-117.8,41.0
2020-06-28,2020-07-04,5106.2,-4.499997329711914,72.40000915527344,3.399999237060547,18.219999694824217,96.40000610351562,-2.4800004959106445
2020-07-05,2020-07-11,800.0,1.240402603149414,4.5999908447265625,-5.599999237060547,-15.280009460449218,-85.60000610351562,-11.44000072479248
2020-07-12,2020-07-18,-46.0,-2.060003662109375,42.0,22.2,2.660009765625,26.6,-6.139996337890625
2020-07-19,2020-07-25,-657.5,7.9,21.8,4.2,-7.5800048828125,-37.6,-0.06000366210936363
2020-07-26,2020-08-01,,-6.6999969482421875,-47.75,5.0,15.300003051757812,63.25,1.025001525878892
