first_day_in_week,last_day_in_week,PZOL_main_symb_weekly_mean_diff,MCRNT.TA_weekly_mean_diff_-0.36,MMHD.TA_weekly_mean_diff_0.37,PHOE.TA_weekly_mean_diff_0.38,MVNE.TA_weekly_mean_diff_0.4,ALHE.TA_weekly_mean_diff_0.42,KTOV.TA_weekly_mean_diff_-0.43
2019-03-10,2019-03-16,-424.0,-15.20000457763673,1.4,3.2739990234375,0.0,5.0,12.6800048828125
2019-03-17,2019-03-23,-106.0,1.0,20.4,4.42998046875,-1.3599975585937727,1.4,-14.220007324218738
2019-03-24,2019-03-30,-754.0,-8.599998474121083,-29.4,-51.233984375,8.6,14.8,-6.219995117187511
2019-03-31,2019-04-06,268.0,4.200004577636719,33.8,26.5800048828125,-3.4,23.2,-0.74000244140625
2019-04-07,2019-04-13,78.0,-2.0,9.6,14.63798828125,4.94000244140625,33.6,-1.379998779296875
2019-04-14,2019-04-20,204.0,5.3999938964843635,-12.6,-5.9699951171875,3.25999755859375,-0.8,-1.3
2019-04-21,2019-04-27,-430.0,2.800003051757824,2.8,7.126000976562454,2.75999755859375,-4.8,-2.179998779296875
2019-04-28,2019-05-04,-80.0,-3.4000015258789062,26.2,-7.319995117187455,-2.97999267578125,-13.4,-2.84000244140625
2019-05-05,2019-05-11,76.0,-6.0,15.6,1.5419921875,3.6,4.2,-0.420001220703125
2019-05-12,2019-05-18,-76.0,1.0,68.0,32.166015625,1.2,19.2,-1.079998779296875
2019-05-19,2019-05-25,-30.0,-3.1999969482421875,-41.4,6.547998046875,2.8199951171875,1.6,-2.379998779296875
2019-05-26,2019-06-01,-222.0,1.0,65.4,-4.430029296875,0.0,44.4,-8.360003662109374
2019-06-02,2019-06-08,22.0,4.1999969482421875,25.6,-16.177978515625,2.0,-34.0,-0.339996337890625
2019-06-09,2019-06-15,326.0,-2.1999969482421875,-37.4,0.77001953125,5.0800048828125,28.0,-0.14000244140625
2019-06-16,2019-06-22,-198.0,0.0,36.8,20.223974609375,5.9199951171875,10.8,0.9
2019-06-23,2019-06-29,-8.0,-3.8000030517578125,5.2,-22.535986328125,-0.6,-3.6,6.1
2019-06-30,2019-07-06,130.0,6.8000030517578125,16.0,8.089990234375,2.15999755859375,-20.2,-2.239996337890625
2019-07-07,2019-07-13,-320.0,-3.2000045776367303,-21.4,-2.69599609375,0.2,14.6,6.279998779296875
2019-07-14,2019-07-20,208.0,-1.79999542236327,-7.0,-1.733984375,3.42000732421875,15.4,-1.54000244140625
2019-07-21,2019-07-27,-46.0,-4.8000030517578125,14.0,0.961962890625,-1.62000732421875,15.2,-9.739996337890625
2019-07-28,2019-08-03,156.0,-3.1999969482421875,42.4,3.08203125,2.25999755859375,15.8,-2.420001220703125
2019-08-04,2019-08-10,-146.0,1.0,-88.0,-20.802001953125,6.1800048828125,44.2,-4.060003662109375
2019-08-11,2019-08-17,30.0,-16.00000000000001,23.4,-5.7780029296875,3.5800048828125,-38.2,-3.1199951171875
2019-08-18,2019-08-24,-652.0,6.399997711181652,-36.0,14.4459716796875,10.2199951171875,49.6,3.7399963378906365
2019-08-25,2019-08-31,178.0,-0.399997711181652,6.0,1.156005859375,-10.2,-5.8,4.479998779296864
2019-09-01,2019-09-07,-138.0,4.199996948242211,-35.2,4.622021484375,-6.6,-34.0,3.9
2019-09-08,2019-09-14,847.5,-11.19999694824221,61.4,5.777978515625,1.45999755859375,-35.6,-3.139996337890625
2019-09-15,2019-09-21,62.0,-1.0000038146972372,9.0,12.52252197265625,4.25,37.25,-4.0
2019-09-22,2019-09-28,75.0,1.6000022888183594,-15.8,8.2,4.15999755859375,41.0,-3.340002441406239
2019-09-29,2019-10-05,-83.33333333333333,0.0,-7.0,-20.5,-0.54998779296875,-53.5,-1.550003051757841
2019-10-06,2019-10-12,266.6666666666667,-5.0,53.666666666666664,0.3333333333333333,1.0,23.666666666666668,0.9333394368489394
2019-10-13,2019-10-19,430.0,2.333329518636068,132.66666666666666,22.333333333333332,10.0,17.0,-1.0
2019-10-20,2019-10-26,240.0,-6.666666666666667,-36.666666666666664,-4.0,-7.0,16.0,-1.0666707356770455
2019-10-27,2019-11-02,-164.0,-4.399997711181646,-7.8,-14.6,-5.7,-12.6,0.47999877929686363
2019-11-03,2019-11-09,-178.0,-1.400001525878912,-67.2,-30.8,3.7800048828125,-21.0,0.22000122070313638
2019-11-10,2019-11-16,10.0,-1.7999992370605469,-50.4,1.2,-1.3800048828125,-24.6,-2.8000000000000056
2019-11-17,2019-11-23,-106.0,-2.799999237060547,85.2,3.6,2.1199951171875,18.4,-1.3599975585937614
2019-11-24,2019-11-30,-34.0,-0.20000076293945312,-30.2,31.0,24.3800048828125,49.4,0.059997558593761366
2019-12-01,2019-12-07,-576.0,-1.2000007629394531,-28.6,-1.4,-0.5199951171875228,-19.2,0.2
2019-12-08,2019-12-14,-90.0,4.600002288818359,-27.0,-9.2,7.259997558593772,51.4,1.3600006103515567
2019-12-15,2019-12-21,130.0,5.199996948242193,-46.0,-13.4,2.85999755859375,-24.0,1.4199981689453125
2019-12-22,2019-12-28,108.0,4.400001525878901,16.6,6.4,-6.4,32.4,-2.0999969482421874
2019-12-29,2020-01-04,-196.0,4.0,68.0,-0.8,1.0,18.2,2.819998168945324
2020-01-05,2020-01-11,-382.0,-2.200000762939453,-50.4,-20.0,2.419995117187523,31.0,3.8799987792968635
2020-01-12,2020-01-18,-40.0,2.600002288818348,7.4,0.2,-6.039990234375045,55.6,-3.0
2020-01-19,2020-01-25,-884.0,2.19999694824221,-25.0,-0.6,7.119995117187523,-22.6,-0.4
2020-01-26,2020-02-01,192.0,-4.799999237060558,-62.6,-16.2,2.74000244140625,-17.8,-0.6199951171875
2020-02-02,2020-02-08,-536.0,-1.5999984741210824,-77.2,-8.4,2.15999755859375,0.0,0.8399963378906363
2020-02-09,2020-02-15,510.0,0.2000007629394304,28.0,15.2,-3.6,25.8,-3.559997558593767
2020-02-16,2020-02-22,-914.0,-1.0,29.6,7.8,8.6,-8.8,-2.780001831054682
2020-02-23,2020-02-29,-552.5,2.5999984741211053,-81.6,-42.6,-4.1,-11.2,-3.3600006103515567
2020-03-01,2020-03-07,-1737.5,-4.000000953674316,-56.25,-60.5,-13.899993896484403,-66.25,-1.6499977111816477
2020-03-08,2020-03-14,-1016.0,-12.99999713897705,-204.75,-72.25,-43.175003051757784,-283.75,-26.075000762939453
2020-03-15,2020-03-21,640.0,-13.000001907348638,-49.4,4.6,-6.0800048828125,-70.0,1.1800003051757812
2020-03-22,2020-03-28,300.0,-12.79999923706055,79.6,54.4,-7.15999755859375,-42.0,0.059999084472659094
2020-03-29,2020-04-04,1013.3333333333335,4.399999618530282,122.8,10.8,5.94000244140625,37.6,4.039999389648434
2020-04-05,2020-04-11,-1086.6666666666667,2.00000127156576,95.0,7.666666666666667,-17.566670735677082,5.666666666666667,-2.2666651407877603
2020-04-12,2020-04-18,104.0,2.99999872843424,0.3333333333333333,11.333333333333334,-7.0,-37.333333333333336,5.699999491373698
2020-04-19,2020-04-25,556.6666666666666,3.6000003814697323,77.8,32.8,4.8,-40.6,-3.679998779296878
2020-04-26,2020-05-02,706.0,1.9999980926513483,63.333333333333336,12.666666666666666,23.633341471354168,179.33333333333334,2.4666646321614727
2020-05-03,2020-05-09,-980.0,2.200000762939459,-49.8,-26.6,-13.260009765625,-24.6,2.160000610351557
