first_day_in_week,last_day_in_week,BRAN_main_symb_weekly_mean_diff,BBYL.TA_weekly_mean_diff_0.41
2019-03-10,2019-03-16,-5.2794067382812715,-0.7
2019-03-17,2019-03-23,-5.568603515625,2.3399993896484377
2019-03-24,2019-03-30,8.170202636718773,-0.2399993896484375
2019-03-31,2019-04-06,-9.5699951171875,0.979998779296875
2019-04-07,2019-04-13,-8.04840087890625,-0.4199981689453125
2019-04-14,2019-04-20,-0.471600341796875,0.3600006103515625
2019-04-21,2019-04-27,5.081597900390625,-0.1
2019-04-28,2019-05-04,-3.5906005859375,-0.3600006103515625
2019-05-05,2019-05-11,1.673602294921875,0.6600006103515625
2019-05-12,2019-05-18,-1.21719970703125,-0.5600006103515625
2019-05-19,2019-05-25,-10.452398681640622,1.1199981689453125
2019-05-26,2019-06-01,-4.610003662109375,-0.45999755859375
2019-06-02,2019-06-08,-3.408001708984375,-0.5
2019-06-09,2019-06-15,2.464801025390625,0.05999755859375
2019-06-16,2019-06-22,1.886602783203125,0.24000244140625
2019-06-23,2019-06-29,4.2447998046875,0.1199981689453125
2019-06-30,2019-07-06,5.355596923828125,0.7399993896484375
2019-07-07,2019-07-13,-2.053997802734364,0.5600006103515625
2019-07-14,2019-07-20,-13.038800048828135,0.7600006103515625
2019-07-21,2019-07-27,7.8961975097656385,-0.8
2019-07-28,2019-08-03,0.3652038574218636,0.4399993896484375
2019-08-04,2019-08-10,-4.853399658203125,0.8399993896484375
2019-08-11,2019-08-17,4.001397705078125,-0.2399993896484375
2019-08-18,2019-08-24,-5.03599853515625,-1.2600006103515624
2019-08-25,2019-08-31,-0.7760009765625,1.0
2019-09-01,2019-09-07,-2.6929992675781143,-1.079998779296875
2019-09-08,2019-09-14,4.051002502441392,-0.0399993896484375
2019-09-15,2019-09-21,1.09539794921875,-0.17499923706054688
2019-09-22,2019-09-28,0.3804931640625,0.1399993896484375
2019-09-29,2019-10-05,4.361338297526061,-2.5
2019-10-06,2019-10-12,0.12699381510414773,0.2999979654947917
2019-10-13,2019-10-19,-2.7893269856770835,1.3000030517578125
2019-10-20,2019-10-26,1.901800537109375,-0.23333740234375
2019-10-27,2019-11-02,-8.1093994140625,-0.4
2019-11-03,2019-11-09,0.59339599609375,-0.6
2019-11-10,2019-11-16,1.202001953125,-0.45999755859375
2019-11-17,2019-11-23,0.790997314453125,-0.120001220703125
2019-11-24,2019-11-30,-0.6845947265625,0.720001220703125
2019-12-01,2019-12-07,-3.271002197265625,-0.1
2019-12-08,2019-12-14,1.429998779296875,0.1399993896484375
2019-12-15,2019-12-21,6.207598876953125,0.2199981689453125
2019-12-22,2019-12-28,8.839599609375,10.820001220703125
2019-12-29,2020-01-04,-9.036199951171863,2.5200012207031195
2020-01-05,2020-01-11,-14.639996337890635,-0.7200012207031193
2020-01-12,2020-01-18,-0.079998779296875,8.35999755859375
2020-01-19,2020-01-25,-0.7800048828125,3.1
2020-01-26,2020-02-01,-3.85999755859375,-3.679998779296864
2020-02-02,2020-02-08,1.979998779296875,1.0200012207031137
2020-02-09,2020-02-15,0.360003662109375,-4.660000610351562
2020-02-16,2020-02-22,-1.260003662109375,2.120001220703125
2020-02-23,2020-02-29,-4.799995422363281,-5.4399993896484435
2020-03-01,2020-03-07,-8.175003051757812,-6.275001525878899
2020-03-08,2020-03-14,-10.760000610351565,-7.450000762939453
2020-03-15,2020-03-21,-1.8600006103515567,-4.839999389648438
2020-03-22,2020-03-28,10.6,1.020001220703125
2020-03-29,2020-04-04,3.700002034505199,3.6
2020-04-05,2020-04-11,1.5,6.166666666666657
2020-04-12,2020-04-18,-1.2200012207031192,-5.100001017252595
2020-04-19,2020-04-25,15.200002034505198,1.7
2020-04-26,2020-05-02,-3.05999755859375,2.733332316080729
2020-05-03,2020-05-09,2.15999755859375,-1.4399993896484375
2020-05-10,2020-05-16,-0.2,-4.8600006103515625
2020-05-17,2020-05-23,1.25,1.420001220703125
2020-05-24,2020-05-30,-4.44000244140625,-0.3500022888183594
2020-05-31,2020-06-06,13.675003051757812,14.260000610351563
2020-06-07,2020-06-13,18.24000244140625,4.25
2020-06-14,2020-06-20,2.35999755859375,8.120001220703125
2020-06-21,2020-06-27,0.9399993896484377,-8.840002441406245
2020-06-28,2020-07-04,1.1199981689453238,1.420000267028803
2020-07-05,2020-07-11,1.2800048828124886,3.0000009536743164
2020-07-12,2020-07-18,1.2199951171875114,-3.3399993896484377
2020-07-19,2020-07-25,10.675003051757797,10.739999389648437
2020-07-26,2020-08-01,,11.75
