first_day_in_week,last_day_in_week,MEAT_main_symb_weekly_mean_diff,SHAN.TA_weekly_mean_diff_0.37,OPK.TA_weekly_mean_diff_-0.38
2019-03-10,2019-03-16,0.3,10.939996337890625,-2.17999267578125
2019-03-17,2019-03-23,0.8599975585937671,-4.139996337890625,-0.9
2019-03-24,2019-03-30,0.4600036621093636,1.279998779296875,-0.4
2019-03-31,2019-04-06,1.0399963378906365,-0.720001220703125,6.2199951171875
2019-04-07,2019-04-13,1.0,3.15999755859375,-3.94000244140625
2019-04-14,2019-04-20,-2.4399963378906357,2.0800048828125,-7.95999755859375
2019-04-21,2019-04-27,-4.120001220703132,-1.7,1.0199951171875
2019-04-28,2019-05-04,7.379998779296881,1.35999755859375,-11.75999755859375
2019-05-05,2019-05-11,-6.579998779296881,1.3,14.05999755859375
2019-05-12,2019-05-18,4.399999999999994,1.420001220703125,-28.37999267578125
2019-05-19,2019-05-25,-1.0400024414062272,1.420001220703125,-5.45999755859375
2019-05-26,2019-06-01,-2.919998168945324,6.4,-5.9800048828125
2019-06-02,2019-06-08,3.360000610351551,1.15999755859375,3.6
2019-06-09,2019-06-15,0.8799987792968864,-0.6,-2.0
2019-06-16,2019-06-22,-11.4,-2.7400024414062387,9.7
2019-06-23,2019-06-29,3.0799987792968806,2.7200012207031135,-0.7
2019-06-30,2019-07-06,-4.579998779296881,6.34000244140625,21.8199951171875
2019-07-07,2019-07-13,-1.9799987792968807,-2.74000244140625,-9.65999755859375
2019-07-14,2019-07-20,-1.6600006103515568,7.7799987792968865,-10.45999755859375
2019-07-21,2019-07-27,-1.5600006103515625,3.7600036621093635,1.14000244140625
2019-07-28,2019-08-03,0.6,-1.020001220703125,1.75999755859375
2019-08-04,2019-08-10,-1.7,-1.4,-13.8800048828125
2019-08-11,2019-08-17,1.0,0.45999755859376135,-5.7199951171875
2019-08-18,2019-08-24,-0.979998779296875,3.9200012207031136,7.7800048828125
2019-08-25,2019-08-31,-1.0800018310546875,-1.939996337890625,-12.04000244140625
2019-09-01,2019-09-07,0.2,-0.860003662109375,2.4
2019-09-08,2019-09-14,-0.7000007629394531,-0.6200012207031136,21.4199951171875
2019-09-15,2019-09-21,6.020001220703125,3.5500030517577983,-7.0
2019-09-22,2019-09-28,20.349998474121094,2.74000244140625,2.04000244140625
2019-09-29,2019-10-05,-2.1000010172525947,-6.200012207031222,1.0
