first_day_in_week,last_day_in_week,AZRM_main_symb_weekly_mean_diff,ALRPR.TA_weekly_mean_diff_0.4
2019-03-10,2019-03-16,5.34000244140625,64.0
2019-03-17,2019-03-23,-1.960003662109364,0.0
2019-03-24,2019-03-30,-2.959997558593761,46.0
2019-03-31,2019-04-06,4.079998779296875,12.0
2019-04-07,2019-04-13,0.44000244140625,-14.0
2019-04-14,2019-04-20,1.05999755859375,90.0
2019-04-21,2019-04-27,-3.65999755859375,14.0
2019-04-28,2019-05-04,-1.3600036621093636,-70.0
2019-05-05,2019-05-11,0.5200012207031136,36.0
2019-05-12,2019-05-18,0.020001220703125,18.0
2019-05-19,2019-05-25,-1.440002441406239,64.0
2019-05-26,2019-06-01,-0.2599975585937614,-164.0
2019-06-02,2019-06-08,0.84000244140625,-30.0
2019-06-09,2019-06-15,-0.2,148.0
2019-06-16,2019-06-22,6.679998779296875,90.0
2019-06-23,2019-06-29,16.479998779296874,-20.0
2019-06-30,2019-07-06,5.6,162.0
2019-07-07,2019-07-13,0.9599975585937728,66.0
2019-07-14,2019-07-20,-1.4599975585937728,-238.0
2019-07-21,2019-07-27,7.95999755859375,-34.0
2019-07-28,2019-08-03,-2.1,76.0
2019-08-04,2019-08-10,0.2,156.0
2019-08-11,2019-08-17,10.2,-114.0
2019-08-18,2019-08-24,-8.4,80.0
2019-08-25,2019-08-31,2.24000244140625,34.0
2019-09-01,2019-09-07,11.65999755859375,0.0
2019-09-08,2019-09-14,-4.8499908447265625,36.0
2019-09-15,2019-09-21,-0.260009765625,95.0
2019-09-22,2019-09-28,-7.899993896484375,-10.0
2019-09-29,2019-10-05,6.066670735677082,-20.0
2019-10-06,2019-10-12,9.400004069010416,250.0
2019-10-13,2019-10-19,-3.4000040690104165,-6.666666666666667
2019-10-20,2019-10-26,-0.3,-90.0
2019-10-27,2019-11-02,-6.7,20.0
2019-11-03,2019-11-09,-3.5199951171875,-102.0
2019-11-10,2019-11-16,3.339990234375,-54.0
2019-11-17,2019-11-23,8.74000244140625,52.0
2019-11-24,2019-11-30,-6.75999755859375,132.0
2019-12-01,2019-12-07,6.1,10.0
2019-12-08,2019-12-14,3.4,20.0
2019-12-15,2019-12-21,6.3199951171875,68.0
2019-12-22,2019-12-28,0.8800048828125,-42.0
2019-12-29,2020-01-04,6.65999755859375,60.0
2020-01-05,2020-01-11,10.14000244140625,44.0
2020-01-12,2020-01-18,7.5,418.0
2020-01-19,2020-01-25,-0.05999755859375,-84.0
2020-01-26,2020-02-01,25.25999755859375,-220.0
2020-02-02,2020-02-08,-8.519995117187523,-62.0
2020-02-09,2020-02-15,4.9399902343750455,-30.0
2020-02-16,2020-02-22,-18.41999511718752,166.0
2020-02-23,2020-02-29,-28.27499389648437,-438.0
2020-03-01,2020-03-07,-70.47500610351562,-890.0
2020-03-08,2020-03-14,-7.540002441406238,-1003.0
2020-03-15,2020-03-21,18.620001220703113,-32.6
2020-03-22,2020-03-28,12.920001220703124,376.8
2020-03-29,2020-04-04,31.66666666666667,184.2
2020-04-05,2020-04-11,-13.0333251953125,-122.66666666666667
2020-04-12,2020-04-18,3.2199951171875,-285.0
2020-04-19,2020-04-25,17.666666666666668,36.2
2020-04-26,2020-05-02,-19.0,324.0
2020-05-03,2020-05-09,-5.1,-190.2
2020-05-10,2020-05-16,11.15999755859375,-251.2
2020-05-17,2020-05-23,-13.149993896484375,81.4
2020-05-24,2020-05-30,-7.84000244140625,0.0
2020-05-31,2020-06-06,20.725006103515625,-16.0
2020-06-07,2020-06-13,9.97999267578125,181.25
2020-06-14,2020-06-20,-15.8,110.4
2020-06-21,2020-06-27,17.540000534057597,-109.4
2020-06-28,2020-07-04,-21.11999320983885,-70.39993286132812
2020-07-05,2020-07-11,24.0199951171875,-21.800067138671874
2020-07-12,2020-07-18,-14.9800048828125,3.2
2020-07-19,2020-07-25,-6.149993896484375,-2.6
2020-07-26,2020-08-01,,-123.0
