,ticker_name,df_reg_time,df_reg_inter_time,train_time,predict_time,full_train_time,save_results_time,years_back,df_raw_shape,df_clean_shape,df_feacheng_shape,df_dailydiff_shape,df_weeklydiff_shape,threshold_days_in_week,df_corr_shape,min_prcnt_data,df_reg_shape,predictors_number,corrs_mean,corr_threshold,corr_inter_threshold,number_of_inter,min_days_in_week_threshold,low_week_samples_dict,test_size,X_train_shape,X_test_shape,rmse_train,rmse_train_full_train,r2_train,r2_train_full_train,rmse_test,r2_test,r2_ad_nps_train,r2_ad_nps_test,alpha,alpha_full_train,given_date,exist_date_reference,last_close_price,predicted_diff,predicted_diff_full_train,next_week_price,next_week_price_full_train_,percentage_change,percentage_change_full_train,lr_class_accuracy_test,next_week_class,next_week_class_fp,next_week_class_tp,next_week_class_full_train,next_week_class_fp_full_train,next_week_class_tp_full_train
89,DLEKG,7.2,0.0,0.7,0.0,0.6,0.00017213821411132812,1,"(240, 7)","(240, 7)","(240, 7)","(240, 1)","(52, 4)",1,"(371, 3)",0.8,"(51, 2)",2,0.36,0.35,0.7,0,1,{},0.15,43,8,1090.2132570491376,1019.333,0.12584401222970132,0.1277,486.81500349107637,0.15591269580671885,0.12584401222970132,0.15591269580671885,0.0001,0.0001,2020-07-11,2020-07-09,6776.0,-330.49278,-346.4618,6445.5072,6429.5382,-0.0488,-0.0511,1.0,False,0.54,0.46,False,0.5,0.5
318,TMRP,6.9,0.0,4.4,0.0,3.9,0.00019812583923339844,1,"(240, 7)","(240, 7)","(240, 7)","(240, 1)","(52, 4)",1,"(371, 3)",0.8,"(51, 8)",8,0.42,0.35,0.7,0,1,{},0.15,43,8,8.392275404634358,8.8054,0.36188778331132165,0.4323,11.59258323954267,0.5091094430696691,0.2728488693547618,0.14094152537192095,0.0001,0.0001,2020-07-11,2020-07-09,193.3999938964844,-7.00999,-9.4739,186.39,183.9261,-0.0362,-0.049,0.38,False,0.51,0.49,False,0.5,0.5
204,MDVI,7.1,0.0,3.9,0.0,3.5,0.0001900196075439453,1,"(240, 7)","(240, 7)","(240, 7)","(240, 1)","(52, 4)",1,"(371, 3)",0.8,"(51, 7)",7,0.39,0.35,0.7,0,1,{},0.15,43,8,16.35636521770721,15.7752,0.30138828048120214,0.3382,12.759981983756303,0.5181214719767104,0.2201543596069233,0.2169473919621545,0.0001,0.0001,2020-07-11,2020-07-09,619.7999877929688,-14.48056,-15.353,605.3194,604.4469,-0.0234,-0.0248,0.75,False,0.5,0.5,False,0.5,0.5
108,ELSPC,7.2,0.0,0.9,0.0,0.6,0.00016307830810546875,1,"(240, 7)","(228, 7)","(228, 7)","(228, 1)","(50, 4)",1,"(374, 3)",0.8,"(49, 2)",2,0.69,0.35,0.7,1,1,{},0.15,42,7,4.253415225861987,4.5918,0.1513294203747968,0.4797,42.4938877482515,-12.205780110078022,0.1513294203747968,-12.205780110078022,0.0001,0.0001,2020-07-11,2020-07-09,416.20001220703125,-8.05225,-1.6477,408.1478,414.5523,-0.0193,-0.004,0.5,False,0.8,0.2,False,0.5,0.5
210,MNRT,10.4,0.0,19.1,0.0,15.7,0.0005838871002197266,1,"(240, 7)","(240, 7)","(240, 7)","(240, 1)","(52, 4)",1,"(371, 3)",0.8,"(51, 51)",51,0.47,0.35,0.7,13,1,{},0.15,43,8,0.0008375622379163407,1.3475,0.9999999164491596,0.7915,2.691551960428746,0.13533230921797057,0.9999998212400625,-5.160757296821959,0.0001,0.0001,2020-07-11,2020-07-09,144.60000610351562,-2.37919,-1.9119,142.2208,142.6881,-0.0165,-0.0132,0.62,False,0.5,0.5,False,0.8,0.2
133,GKL,25.0,1.0,170.9,0.0,19.9,0.0017189979553222656,1,"(240, 7)","(240, 7)","(240, 7)","(240, 1)","(52, 4)",1,"(371, 3)",0.8,"(51, 136)",136,0.65,0.35,0.7,1168,1,{},0.15,43,8,0.0003369200595416634,0.0,0.9999999684187284,1.0,0.5804036238990529,0.8985736438407276,0.9999998700026728,-0.8003178218270854,0.0001,0.0001,2020-07-11,2020-07-09,49.79999923706055,-0.74018,-0.74,49.0598,49.06,-0.0149,-0.0149,0.5,False,0.54,0.46,False,0.82,0.18
319,TNPV,14.5,0.5,93.8,0.0,19.1,0.0023202896118164062,1,"(240, 7)","(231, 7)","(231, 7)","(231, 1)","(51, 4)",1,"(373, 3)",0.8,"(50, 197)",197,0.53,0.35,0.7,694,1,{},0.15,42,8,0.00023588533245231792,0.0,0.999999972001877,1.0,1.0401070114545654,-0.03825796780551882,0.9999998420105914,-25.34579593306504,0.0001,0.0001,2020-07-11,2020-07-09,114.3000030517578,-1.6797,-1.68,112.6203,112.62,-0.0147,-0.0147,0.5,True,0.43,0.57,True,0.44,0.56
343,ZUR,7.8,0.0,12.8,0.0,13.9,0.00028014183044433594,1,"(240, 7)","(240, 7)","(240, 7)","(240, 1)","(52, 4)",1,"(371, 3)",0.8,"(51, 19)",19,0.46,0.35,0.7,3,1,{},0.15,43,8,16.881265160906963,15.8707,0.4859972743042389,0.5599,13.430214104607053,0.591972637321736,0.28278689437800775,-0.2750855083695751,0.0001,0.0001,2020-07-11,2020-07-09,514.9000244140625,-7.45446,-5.6857,507.4456,509.2143,-0.0145,-0.011,0.88,False,0.62,0.38,False,0.57,0.43
340,YHNF,8.5,0.0,9.9,0.0,8.4,0.0002849102020263672,1,"(152, 7)","(152, 7)","(152, 7)","(152, 1)","(33, 4)",1,"(387, 3)",0.8,"(32, 16)",16,0.52,0.35,0.7,9,1,{},0.15,27,5,82.0011177875497,1651.6932,0.7877934628742586,-84.5716,56.68413621857682,0.8887711062738455,0.6777604436238741,0.5773302038406128,0.0001,0.0001,2020-07-11,2020-07-09,13450.0,-183.21042,212.1914,13266.7896,13662.1914,-0.0136,0.0158,0.6,False,0.84,0.16,False,0.53,0.47
66,CNZN,7.8,0.0,3.6,0.0,3.1,0.0002579689025878906,1,"(240, 7)","(240, 7)","(240, 7)","(240, 1)","(52, 4)",1,"(371, 3)",0.8,"(51, 6)",6,0.38,0.35,0.7,0,1,{},0.15,43,8,15.192974496804696,14.4668,0.31020416570717035,0.3057,9.973598639895041,0.17649848374627664,0.24603711135434903,-0.23525227438058494,0.0001,0.0001,2020-07-11,2020-07-09,678.5999755859375,-9.18643,-8.8325,669.4135,669.7675,-0.0135,-0.013,0.75,False,0.5,0.5,False,0.63,0.37
