,open,high,low,close,adjclose,volume,ticker
2018-09-30,180.1999969482422,180.1999969482422,180.1999969482422,180.1999969482422,161.4479217529297,0.0,PEN.TA
2018-10-01,180.1999969482422,180.1999969482422,180.1999969482422,180.1999969482422,161.4479217529297,0.0,PEN.TA
2018-10-02,180.1999969482422,182.5,180.89999389648438,181.1999969482422,162.3438720703125,32552.0,PEN.TA
2018-10-03,181.1999969482422,179.1999969482422,177.10000610351562,178.8000030517578,160.19363403320312,35562.0,PEN.TA
2018-10-04,178.8000030517578,177.0,176.0,177.0,158.58094787597656,39914.0,PEN.TA
2018-10-07,177.0,175.1999969482422,175.1999969482422,175.8000030517578,157.5058135986328,726.0,PEN.TA
2018-10-08,175.8000030517578,175.8000030517578,174.0,174.60000610351562,156.43069458007812,72109.0,PEN.TA
2018-10-09,174.60000610351562,175.0,173.0,174.60000610351562,156.43069458007812,7361.0,PEN.TA
2018-10-10,174.60000610351562,176.0,168.0,170.39999389648438,152.66773986816406,11739.0,PEN.TA
2018-10-11,170.39999389648438,167.60000610351562,166.39999389648438,166.8000030517578,149.44236755371094,20833.0,PEN.TA
2018-10-14,,,,,,,PEN.TA
2018-10-15,167.1999969482422,167.1999969482422,166.3000030517578,166.60000610351562,149.26321411132812,65098.0,PEN.TA
2018-10-16,166.60000610351562,167.8000030517578,166.60000610351562,167.10000610351562,149.71115112304688,10927.0,PEN.TA
2018-10-17,164.0,168.89999389648438,164.0,168.6999969482422,151.14466857910156,13099.0,PEN.TA
2018-10-18,168.6999969482422,173.8000030517578,169.0,172.3000030517578,154.37002563476562,141068.0,PEN.TA
2018-10-21,172.3000030517578,175.0,167.1999969482422,172.0,154.10125732421875,9719.0,PEN.TA
2018-10-22,172.0,170.10000610351562,167.0,169.39999389648438,151.77182006835938,4899.0,PEN.TA
2018-10-23,169.39999389648438,168.89999389648438,167.0,168.0,150.5175018310547,64662.0,PEN.TA
2018-10-24,168.0,170.10000610351562,168.0,169.89999389648438,152.21978759765625,73774.0,PEN.TA
2018-10-25,169.89999389648438,170.0,167.5,167.5,150.0695343017578,77871.0,PEN.TA
2018-10-28,167.5,169.89999389648438,167.89999389648438,168.10000610351562,150.6071014404297,19212.0,PEN.TA
2018-10-29,168.10000610351562,170.1999969482422,167.0,170.1999969482422,152.4885711669922,85350.0,PEN.TA
2018-10-30,170.1999969482422,170.1999969482422,170.1999969482422,170.1999969482422,152.4885711669922,0.0,PEN.TA
2018-10-31,170.1999969482422,174.5,170.0,174.0,155.8931427001953,65542.0,PEN.TA
2018-11-01,174.0,175.0,174.0,174.1999969482422,156.0723114013672,21021.0,PEN.TA
2018-11-04,170.6999969482422,175.0,170.6999969482422,174.6999969482422,156.52027893066406,805.0,PEN.TA
2018-11-05,174.6999969482422,179.8000030517578,174.6999969482422,176.6999969482422,158.3121795654297,103586.0,PEN.TA
2018-11-06,176.6999969482422,177.3000030517578,175.10000610351562,175.89999389648438,157.59539794921875,96777.0,PEN.TA
2018-11-07,175.89999389648438,179.89999389648438,170.39999389648438,176.10000610351562,157.7746124267578,537231.0,PEN.TA
2018-11-08,176.10000610351562,177.1999969482422,176.10000610351562,176.89999389648438,158.49134826660156,32565.0,PEN.TA
2018-11-11,176.89999389648438,178.60000610351562,175.0,178.3000030517578,159.74566650390625,1814.0,PEN.TA
2018-11-12,180.0,180.0,176.6999969482422,178.6999969482422,160.1040496826172,37295.0,PEN.TA
2018-11-13,178.6999969482422,177.89999389648438,175.0,176.8000030517578,158.4017791748047,20706.0,PEN.TA
2018-11-14,180.0,190.0,179.89999389648438,186.8000030517578,167.3611297607422,468312.0,PEN.TA
2018-11-15,189.8000030517578,189.8000030517578,185.0,186.10000610351562,166.73399353027344,17426.0,PEN.TA
2018-11-18,190.0,190.0,186.1999969482422,186.60000610351562,167.18194580078125,6452.0,PEN.TA
2018-11-19,186.60000610351562,185.10000610351562,180.0,184.1999969482422,165.0316925048828,13154.0,PEN.TA
2018-11-20,184.1999969482422,188.0,184.60000610351562,185.3000030517578,166.0172119140625,203481.0,PEN.TA
2018-11-21,185.3000030517578,180.10000610351562,180.10000610351562,180.10000610351562,161.35833740234375,7270.0,PEN.TA
2018-11-22,180.10000610351562,182.5,180.10000610351562,181.10000610351562,162.25430297851562,71428.0,PEN.TA
