Unnamed: 0,open,high,low,close,adjclose,volume,ticker
2018-09-30,781.2000122070312,781.2000122070312,781.2000122070312,781.2000122070312,781.2000122070312,0,EMITF.TA
2018-10-01,781.2000122070312,781.2000122070312,781.2000122070312,781.2000122070312,781.2000122070312,0,EMITF.TA
2018-10-02,781.2000122070312,778.5999755859375,773.0,774.9000244140625,774.9000244140625,3603,EMITF.TA
2018-10-03,774.9000244140625,789.9000244140625,770.0,775.0999755859375,775.0999755859375,5815,EMITF.TA
2018-10-04,775.0999755859375,770.0,752.0,758.5999755859375,758.5999755859375,2499,EMITF.TA
2018-10-07,758.5999755859375,753.2000122070312,722.0,742.0,742.0,5485,EMITF.TA
2018-10-08,742.0,758.0,739.2999877929688,754.5,754.5,7821,EMITF.TA
2018-10-09,754.2000122070312,785.2999877929688,750.7000122070312,782.4000244140625,782.4000244140625,15191,EMITF.TA
2018-10-10,745.0,791.0999755859375,745.0,786.5,786.5,3446,EMITF.TA
2018-10-11,786.5,780.0,757.2000122070312,777.9000244140625,777.9000244140625,3063,EMITF.TA
2018-10-14,777.9000244140625,770.7000122070312,746.0,758.4000244140625,758.4000244140625,580,EMITF.TA
2018-10-15,725.0,784.0,725.0,773.0,773.0,1550,EMITF.TA
2018-10-16,773.0,773.0,750.2999877929688,762.7999877929688,762.7999877929688,1205,EMITF.TA
2018-10-17,762.7999877929688,800.0,740.0,784.9000244140625,784.9000244140625,19198,EMITF.TA
2018-10-18,784.9000244140625,805.0,734.0,804.0999755859375,804.0999755859375,27720,EMITF.TA
2018-10-21,804.0999755859375,800.0,780.0,796.2000122070312,796.2000122070312,209,EMITF.TA
2018-10-22,796.2000122070312,814.0,780.0,795.7999877929688,795.7999877929688,12498,EMITF.TA
2018-10-23,795.7999877929688,812.9000244140625,780.0,787.4000244140625,787.4000244140625,7990,EMITF.TA
2018-10-24,787.4000244140625,787.4000244140625,774.0,782.5999755859375,782.5999755859375,1323,EMITF.TA
2018-10-25,782.5999755859375,800.0,743.5,795.0,795.0,5787,EMITF.TA
2018-10-28,749.5,749.5,730.5999755859375,738.2000122070312,738.2000122070312,26489,EMITF.TA
2018-10-29,740.0,765.5999755859375,740.0,756.7999877929688,756.7999877929688,7389,EMITF.TA
2018-10-30,756.7999877929688,756.7999877929688,756.7999877929688,756.7999877929688,756.7999877929688,0,EMITF.TA
2018-10-31,756.7999877929688,766.5,699.0,723.7000122070312,723.7000122070312,23038,EMITF.TA
2018-11-01,723.7000122070312,732.0,718.5,724.5,724.5,5110,EMITF.TA
2018-11-04,760.2999877929688,760.2999877929688,734.7000122070312,743.7999877929688,743.7999877929688,2585,EMITF.TA
2018-11-05,743.7999877929688,748.9000244140625,718.5,729.2000122070312,729.2000122070312,13795,EMITF.TA
