,date_reference,next_week_price_full_train,predicted_stock_calss,r2_test,r2_train,r2_train_full_train,rmse_train_full_train,False_p,True_p,predicted_diff_full_train
0,2020-05-01,72.2954,False,-0.2632349797957634,0.25645818296040046,0.2436,1.9888,0.5671931506533976,0.4328068493466024,-0.2046
1,2020-05-08,74.8059,False,0.08873271995986365,0.20293388571762894,0.2042,2.0374,0.5,0.5,-0.0941
2,2020-05-15,91.9663,False,0.11460574964586434,0.488561803504146,0.4687,1.6239,0.5657329762529741,0.43426702374702586,-0.1337
3,2020-05-22,98.2901,False,0.5723468755920811,0.9981502503275357,0.9979,0.1019,0.540447503855461,0.45955249614453897,0.49
4,2020-05-29,102.3371,False,0.09704409778932066,0.4213217330178707,0.3753,1.7636,0.54796095878535,0.45203904121465,0.3371
5,2020-06-05,99.9667,False,0.0440656001706321,0.5440248501728112,0.4572,1.6383,0.6004609624258483,0.39953903757415166,-0.0333
6,2020-06-12,104.0529,False,-0.0015098978983720812,0.20076899080981536,0.1926,1.9954,0.5692475326653663,0.4307524673346337,0.0529
7,2020-06-19,85.7313,False,-0.03363484025426189,0.18076371241839595,0.1682,2.029,0.5495650738628515,0.4504349261371485,0.0313
8,2020-06-26,95.4131,False,0.16127113497104695,0.596749730796935,0.6188,1.4094,0.5334033265006518,0.4665966734993482,-0.7869
9,2020-07-03,97.1226,False,0.6246445198212609,0.13507866531275348,0.2694,1.9611,0.5107395602647351,0.48926043973526484,0.4226
10,2020-07-10,92.0514,False,-0.08158770887548994,0.9999984767925288,1.0,0.0034,0.6992097220231774,0.30079027797682256,-4.6486
11,2020-07-17,86.7238,False,0.018172782546864386,0.9967625147773289,0.9885,0.2374,0.6134065146468481,0.3865934853531519,2.7238
12,2020-07-24,86.9502,False,0.4970082820077325,0.9999970932344675,1.0,0.0051,0.5609789048874206,0.43902109511257936,-3.0498
13,2020-07-31,85.9,False,-1.1452826684633641,0.8976451537353017,0.8399,0.8818,0.5356313456783548,0.4643686543216452,-1.3
14,2020-08-07,85.768,False,0.3292154249174277,0.743170166713937,0.715,1.1737,0.5503546084934274,0.4496453915065725,-0.332
15,2020-08-14,83.426,True,0.5908215536185969,0.99998610167498,1.0,0.0082,0.4892738443440281,0.5107261556559719,-1.274
16,2020-08-21,83.6932,False,0.825367058363783,0.9999926247811483,1.0,0.006,0.9453584244202421,0.05464157557975787,-0.3068
17,2020-08-28,87.4781,False,0.45376847298893086,0.9999974778626409,1.0,0.0072,0.7454743021689885,0.2545256978310116,-0.0219
18,2020-09-04,83.5758,False,-0.01700437513077313,0.5205803812804543,0.5186,1.5194,0.5552029094383885,0.44479709056161154,-0.3242
19,2020-09-11,87.5997,True,0.2774092383796045,0.012710883699538877,0.1739,1.9799,0.49999485193318594,0.5000051480668141,0.1997
