,is_low_amount_of_data,df_count,ticker_name,is_nan_non_nan_ratio_problematic,nan_count,nan_non_nan_ratio,is_exist_nan_sequence,nan_sequences_count_and_indexes,number_of_nan_sequences,mean_of_nan_sequences_count,is_decimal_point_changed,number_of_corrupted_decimal_point,decimal_point_changed_indexs,is_ticker_stopped,ticker_stopped_diff,is_ticker_data_not_changed,ticker_data_not_changed_dictionary,is_ticker_data_not_exist
0,0.0,344.0,AURA,0.0,0.0,0.0,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",True,18.0,0.0,"{'value': [], 'count': [], 'indexes': []}",0
1,0.0,344.0,AVGL,0.0,0.0,0.0,0.0,"{'index': [], 'count': []}",0.0,0.0,False,1.0,"DatetimeIndex(['2020-07-19'], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",True,18.0,0.0,"{'value': [], 'count': [], 'indexes': []}",0
2,0.0,344.0,EVGN,0.0,0.0,0.0,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",True,18.0,0.0,"{'value': [], 'count': [], 'indexes': []}",0
3,0.0,279.0,AVLN,0.0,0.0,0.0,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",True,18.0,0.0,"{'value': [], 'count': [], 'indexes': []}",0
4,0.0,344.0,AVIV,0.0,0.0,0.0,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",True,18.0,0.0,"{'value': [], 'count': [], 'indexes': []}",0
5,0.0,344.0,ABIL,0.0,0.0,0.0,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",True,18.0,0.0,"{'value': [], 'count': [], 'indexes': []}",0
6,0.0,344.0,AVER,0.0,0.0,0.0,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",True,18.0,0.0,"{'value': [], 'count': [], 'indexes': []}",0
7,0.0,225.0,AVRT,1.0,77.0,0.342222,1.0,"{'index': [(Timestamp('2020-06-01 00:00:00'), Timestamp('2020-09-10 00:00:00'))], 'count': [70]}",1.0,70.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",True,18.0,0.0,"{'value': [], 'count': [], 'indexes': []}",0
8,0.0,344.0,UNON,0.0,0.0,0.0,0.0,"{'index': [], 'count': []}",0.0,0.0,False,1.0,"DatetimeIndex(['2020-07-19'], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",True,18.0,0.0,"{'value': [], 'count': [], 'indexes': []}",0
9,0.0,344.0,ADGR,0.0,0.0,0.0,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",True,18.0,0.0,"{'value': [], 'count': [], 'indexes': []}",0
