first_day_in_week,last_day_in_week,DSCT_main_symb_weekly_mean_diff,FIBI.TA_weekly_mean_diff_0.4_INT_FIBIH.TA_weekly_mean_diff_0.43_corr_0.92
2019-03-10,2019-03-16,4.2,217.6
2019-03-17,2019-03-23,-6.2,393.59999999999997
2019-03-24,2019-03-30,12.4,1868.4
2019-03-31,2019-04-06,9.2,1608.0
2019-04-07,2019-04-13,-3.8,8543.2
2019-04-14,2019-04-20,5.8,1026.0
2019-04-21,2019-04-27,-0.2,39.6
2019-04-28,2019-05-04,1.2,4276.8
2019-05-05,2019-05-11,3.8,50.400000000000006
2019-05-12,2019-05-18,0.0,410.40000000000003
2019-05-19,2019-05-25,-0.2,33.6
2019-05-26,2019-06-01,-2.8,2228.7999999999997
2019-06-02,2019-06-08,8.2,544.0
2019-06-09,2019-06-15,5.2,-170.79999999999998
2019-06-16,2019-06-22,2.0,499.20000000000005
2019-06-23,2019-06-29,5.4,3174.4
2019-06-30,2019-07-06,-1.6,-147.2
2019-07-07,2019-07-13,-1.4,1769.6000000000001
2019-07-14,2019-07-20,5.0,2640.0
2019-07-21,2019-07-27,6.6,2150.4
2019-07-28,2019-08-03,9.2,4103.2
2019-08-04,2019-08-10,-23.2,-44.0
2019-08-11,2019-08-17,12.2,33.6
2019-08-18,2019-08-24,-9.4,-237.6
2019-08-25,2019-08-31,-6.8,216.0
2019-09-01,2019-09-07,11.2,1020.0
2019-09-08,2019-09-14,3.5,453.59999999999997
2019-09-15,2019-09-21,4.4,1445.0
2019-09-22,2019-09-28,3.0,719.1999999999999
2019-09-29,2019-10-05,7.666666666666668,87.5
2019-10-06,2019-10-12,5.666666666666668,13257.77777777778
2019-10-13,2019-10-19,19.0,0.0
2019-10-20,2019-10-26,-4.4,1540.0
2019-10-27,2019-11-02,-8.0,-154.8
2019-11-03,2019-11-09,3.0,171.2
2019-11-10,2019-11-16,-8.0,3408.0
2019-11-17,2019-11-23,11.0,-100.80000000000001
2019-11-24,2019-11-30,0.0,10065.6
2019-12-01,2019-12-07,-5.0,896.0
2019-12-08,2019-12-14,4.2,572.0
2019-12-15,2019-12-21,-1.2,4032.0
2019-12-22,2019-12-28,4.0,-28.0
2019-12-29,2020-01-04,-8.4,192.0
2020-01-05,2020-01-11,1.2,-28.0
2020-01-12,2020-01-18,2.2,432.0
2020-01-19,2020-01-25,-2.4,-720.0
2020-01-26,2020-02-01,-2.8,1483.2
2020-02-02,2020-02-08,-2.0,4414.400000000001
2020-02-09,2020-02-15,-3.4,7370.4
2020-02-16,2020-02-22,-14.2,896.0
2020-02-23,2020-02-29,-16.5,12432.0
2020-03-01,2020-03-07,-66.5,31928.625
2020-03-08,2020-03-14,-35.75999755859375,175993.75
2020-03-15,2020-03-21,12.75999755859375,38284.0
2020-03-22,2020-03-28,0.8,1160.0
2020-03-29,2020-04-04,7.333333333333332,-386.08
2020-04-05,2020-04-11,-13.833333333333336,5248.444444444443
2020-04-12,2020-04-18,15.3,24341.777777777777
2020-04-19,2020-04-25,20.666666666666668,6820.080000000001
2020-04-26,2020-05-02,3.0,14917.777777777777
2020-05-03,2020-05-09,-23.4,3248.7999999999997
2020-05-10,2020-05-16,1.6,18495.96
2020-05-17,2020-05-23,17.0,2504.0
2020-05-24,2020-05-30,-4.6,245.0
2020-05-31,2020-06-06,25.75,2629.4399999999996
2020-06-07,2020-06-13,-6.4,-112.5
2020-06-14,2020-06-20,-10.0,-34.56
2020-06-21,2020-06-27,7.1999961853026875,2748.48
2020-06-28,2020-07-04,-5.799996185302688,6773.760677490011
2020-07-05,2020-07-11,-5.2,13300.839986572042
2020-07-12,2020-07-18,-5.6,-378.28000000000003
2020-07-19,2020-07-25,-7.25,2768.32
