first_day_in_week,last_day_in_week,HAML_main_symb_weekly_mean_diff,PIU.TA_weekly_mean_diff_0.46,MTRX.TA_weekly_mean_diff_0.47
2019-03-10,2019-03-16,-97.0,5.1199951171875,3.8
2019-03-17,2019-03-23,-15.2,3.4,-16.4
2019-03-24,2019-03-30,98.8,0.75999755859375,10.8
2019-03-31,2019-04-06,139.8,15.64000244140625,43.2
2019-04-07,2019-04-13,-112.0,-13.0,60.0
2019-04-14,2019-04-20,24.8,7.7,-24.0
2019-04-21,2019-04-27,-54.6,2.680004882812477,-1.0
2019-04-28,2019-05-04,-11.6,-10.2,-46.0
2019-05-05,2019-05-11,-76.4,1.7599975585937728,14.6
2019-05-12,2019-05-18,45.2,-6.84000244140625,24.4
2019-05-19,2019-05-25,-129.4,-8.2800048828125,48.0
2019-05-26,2019-06-01,3.0,-2.35999755859375,38.6
2019-06-02,2019-06-08,-49.0,-12.7199951171875,-24.6
2019-06-09,2019-06-15,15.8,2.5,-7.0
2019-06-16,2019-06-22,-72.2,0.7,-27.8
2019-06-23,2019-06-29,52.4,0.27999267578125,15.8
2019-06-30,2019-07-06,27.2,9.22000732421875,92.6
2019-07-07,2019-07-13,-43.4,-0.34000244140625,-2.6
2019-07-14,2019-07-20,83.8,1.95999755859375,-30.4
2019-07-21,2019-07-27,-7.2,5.1800048828125,7.4
2019-07-28,2019-08-03,-91.4,-5.82000732421875,15.0
2019-08-04,2019-08-10,-71.0,-3.47999267578125,-14.0
2019-08-11,2019-08-17,-89.6,4.07999267578125,-12.0
2019-08-18,2019-08-24,67.2,32.3800048828125,57.2
2019-08-25,2019-08-31,26.6,-5.8,-25.0
2019-09-01,2019-09-07,-68.2,-2.7,-8.8
2019-09-08,2019-09-14,-84.0,6.5,-31.6
2019-09-15,2019-09-21,138.0,28.0,66.5
2019-09-22,2019-09-28,-137.5,-8.6,56.4
2019-09-29,2019-10-05,61.0,-5.5,23.0
2019-10-06,2019-10-12,219.0,25.333333333333332,34.666666666666664
2019-10-13,2019-10-19,1.0,2.6666666666666665,32.666666666666664
2019-10-20,2019-10-26,21.2,6.0,58.0
2019-10-27,2019-11-02,4.4,1.4,26.2
2019-11-03,2019-11-09,-50.6,15.2,-77.8
2019-11-10,2019-11-16,23.0,12.4,117.6
2019-11-17,2019-11-23,-108.2,-8.6,45.2
2019-11-24,2019-11-30,-64.2,10.2,-104.2
2019-12-01,2019-12-07,72.6,-13.6,43.8
2019-12-08,2019-12-14,70.0,6.8,49.4
2019-12-15,2019-12-21,-3.0,-19.0,-26.0
2019-12-22,2019-12-28,18.0,5.0,29.0
2019-12-29,2020-01-04,76.4,10.8,77.2
2020-01-05,2020-01-11,3.0,3.4,-11.0
2020-01-12,2020-01-18,-51.6,2.6,106.6
2020-01-19,2020-01-25,-117.4,-0.2,3.4
2020-01-26,2020-02-01,-3.4,-16.6,-101.2
2020-02-02,2020-02-08,145.8,-17.6,-70.4
2020-02-09,2020-02-15,-56.8,13.6,-1.0
2020-02-16,2020-02-22,-113.8,-6.0,18.4
2020-02-23,2020-02-29,-24.75,-14.8,-108.0
2020-03-01,2020-03-07,-480.0,-33.8999938964844,-163.25
2020-03-08,2020-03-14,-232.4,-71.30000305175778,-328.0
2020-03-15,2020-03-21,305.8,-6.85999755859375,127.0
2020-03-22,2020-03-28,120.6,11.039990234375,95.6
2020-03-29,2020-04-04,2.333333333333333,37.32000732421875,77.4
2020-04-05,2020-04-11,-18.33333333333333,4.666666666666667,93.0
2020-04-12,2020-04-18,192.2,25.466654459635453,2.6666666666666665
2020-04-19,2020-04-25,43.33333333333334,3.3,86.8
2020-04-26,2020-05-02,-52.8,16.46667480468746,33.0
2020-05-03,2020-05-09,-73.4,4.2,-77.0
2020-05-10,2020-05-16,9.4,-10.6,-20.2
2020-05-17,2020-05-23,56.25,3.8,128.2
2020-05-24,2020-05-30,43.0,-19.875,208.5
2020-05-31,2020-06-06,-129.0,-6.080004882812477,-36.8
2020-06-07,2020-06-13,57.4,7.725006103515597,59.5
2020-06-14,2020-06-20,-26.2,12.0,50.0
2020-06-21,2020-06-27,39.199969482421885,-7.2,-103.0
2020-06-28,2020-07-04,-72.99996948242188,-0.9000022888183594,-2.6
2020-07-05,2020-07-11,26.2,-4.399997711181641,20.0
2020-07-12,2020-07-18,10.6,6.14000244140625,42.0
2020-07-19,2020-07-25,11.5,-1.4,58.0
