first_day_in_week,last_day_in_week,PLCR_main_symb_weekly_mean_diff,PLCR.TA_weekly_mean_diff_-0.4_INT_JBNK.TA_weekly_mean_diff_-0.45_corr_0.9,PLCR.TA_weekly_mean_diff_-0.4_INT_PZOL.TA_weekly_mean_diff_-0.39_corr_0.89,PZOL.TA_weekly_mean_diff_-0.39_INT_BCNV.TA_weekly_mean_diff_-0.36_corr_0.87,ENRG.TA_weekly_mean_diff_-0.41_INT_PLCR.TA_weekly_mean_diff_-0.4_corr_0.92,JBNK.TA_weekly_mean_diff_-0.45_INT_CAMT.TA_weekly_mean_diff_-0.41_corr_0.93,ENRG.TA_weekly_mean_diff_-0.41_INT_JBNK.TA_weekly_mean_diff_-0.45_corr_0.95
2019-03-10,2019-03-16,-2.22919921875,-4.560904987305403,-477.4287475585938,30788.0,-13.042604939453303,34.883950195312494,33.447548071295024
2019-03-17,2019-03-23,-0.81619873046875,-3.4775725507736204,945.1804687499999,-100064.0,-13.330622212886809,29.640185546875,9.328866015672684
2019-03-24,2019-03-30,-9.2989990234375,2.7261057524383068,86.5170654296875,-9540.0,1.8935870327055455,76.82005615234375,7.748830126971006
2019-03-31,2019-04-06,-0.720001220703125,-32.17451391845941,7011.445263671874,-111592.0,-9.113064448237418,266.41981201171876,3.390814501941204
2019-04-07,2019-04-13,-0.320001220703125,-0.7631995361298323,-192.9603271484375,53600.0,-1.5983991943299771,26.07593994140625,2.353189404308796
2019-04-14,2019-04-20,-0.679998779296875,-3.4624155517667528,-24.960095214843747,-28860.0,0.006398461908102036,119.02008056640625,-0.21634731441736224
2019-04-21,2019-04-27,-0.54000244140625,-2.0535929931700228,-138.7197509765625,-8568.0,-4.1887908203154804,59.191904296875,18.603162548840043
2019-04-28,2019-05-04,-0.4,0.766800830066204,232.2010498046875,125560.0,0.637205517590046,53.39181640625,1.6756011718511583
2019-05-05,2019-05-11,-0.479998779296875,-0.24799804687500002,32.0,-320.0,-1.512001953125,-2.7279785156250003,2.343584570288658
2019-05-12,2019-05-18,1.720001220703125,-0.3552002685517073,-36.4799072265625,6232.0,-2.659194409176707,-48.98816162109375,4.09961533203721
2019-05-19,2019-05-25,-1.079998779296875,3.6463941894471645,-130.7200927734375,-3648.0,-0.4816087402403355,-117.87172851562501,-0.5936089843511582
2019-05-26,2019-06-01,1.179998779296875,10.79998779296875,32.39996337890625,3900.0,0.5183915039151907,-16.0,4.7999267578125
2019-06-02,2019-06-08,-3.620001220703125,-11.563988037109375,-261.9597290039062,110112.0,4.955994873046875,-5.88,-41.160000000000004
2019-06-09,2019-06-15,-1.639996337890625,-0.0724265380948782,-79.64002685546875,-8668.0,2.099618383795023,-0.3121142578125,-0.011604345738887786
2019-06-16,2019-06-22,-1.9200012207031365,-14.005552709996701,-534.6388061523438,-101060.0,-8.65918867185712,365.51158203125,45.091190136671074
2019-06-23,2019-06-29,-1.0799987792968635,-5.875222485363517,380.160241699221,-88308.0,-7.526395410150333,-53.24416992187499,11.995223339796064
2019-06-30,2019-07-06,-6.020001220703131,-2.5055918945371847,8.63999023437491,-864.0,-4.298400415033057,6.031987304687501,9.23359189450741
2019-07-07,2019-07-13,0.059997558593761366,14.207188183590784,-782.600158691407,2340.0,-0.0,72.21592529296875,-0.0
2019-07-14,2019-07-20,10.460003662109367,0.14759384766223843,-19.199218750003638,75520.0,-0.3179870605469352,24.5999755859375,-13.037987060546874
2019-07-21,2019-07-27,-4.64000244140625,-94.76760764159256,2175.6807617187487,-56160.0,13.179579077139488,-831.7077758789062,-11.41557480469346
2019-07-28,2019-08-03,-1.3399993896484377,-15.219174023419619,213.44011230468752,-19872.0,19.209621435552837,63.63185791015625,-13.579177685528995
2019-08-04,2019-08-10,-3.320001220703125,-0.026809802241623402,-209.03990478515624,15912.0,-20.34119727782905,-1.52455810546875,0.3037112793326378
2019-08-11,2019-08-17,-3.6600006103515565,-14.143197094723583,484.7201782226563,84972.0,35.25843728028238,-159.32390869140625,-45.241205273419624
2019-08-18,2019-08-24,-2.039999389648443,-10.833592871092243,-109.8000183105467,11880.0,-79.20242214355605,146.22387939453125,64.05435439452529
2019-08-25,2019-08-31,4.6,15.340785449221773,1330.079602050785,-11736.0,-0.0,-37.5999755859375,-0.0
2019-09-01,2019-09-07,1.6,14.44401123046875,818.8,15308.0,17.3880224609375,0.0,11.869224560558797
2019-09-08,2019-09-14,2.875,-0.16000000000000003,-220.8,48852.0,-31.648007812499998,-5.0200000000000005,1.9780004882812499
2019-09-15,2019-09-21,-2.2600006103515566,10.278116226196289,2436.5625,205518.75,32.99064254760742,25.024978637695312,41.023111801128834
2019-09-22,2019-09-28,0.9500045776367044,-9.040002441406227,-140.12003784179652,83080.0,-20.83719459228212,70.4,36.87998046875
2019-09-29,2019-10-05,4.199996948242197,-4.037519454955994,71.25034332275284,-70875.0,-3.657523422269096,546.125,16.362525939941406
2019-10-06,2019-10-12,8.799997965494782,21.980001118965497,-349.99974568684974,-72222.22222222222,58.240008951785796,404.71142578125,72.56900919601321
2019-10-13,2019-10-19,5.400004069010418,24.639886881535226,2346.666124131942,172444.44444444444,-17.306734280039848,3.7333170572916665,-5.506665445864201
2019-10-20,2019-10-26,-0.95999755859375,-0.17995619028806686,2322.0017496744795,-107500.0,42.479988064203,-1.932861328125,-0.26215793192386627
2019-10-27,2019-11-02,-1.960003662109364,4.550390771478415,-230.3994140625,-83040.0,-3.974392236322165,-39.8160205078125,-19.62362167969346
