first_day_in_week,last_day_in_week,GAON_main_symb_weekly_mean_diff,CEL.TA_weekly_mean_diff_0.35,EVGN.TA_weekly_mean_diff_0.35,BIOV.TA_weekly_mean_diff_0.36,HARL.TA_weekly_mean_diff_0.36,PTNR.TA_weekly_mean_diff_0.36,ALHE.TA_weekly_mean_diff_0.37,LEVI.TA_weekly_mean_diff_0.37,PHOE.TA_weekly_mean_diff_0.37,AMOT.TA_weekly_mean_diff_0.38,CMER.TA_weekly_mean_diff_0.4,EQTL.TA_weekly_mean_diff_0.42,MLD.TA_weekly_mean_diff_-0.49,ARPT.TA_weekly_mean_diff_0.53,CANF.TA_weekly_mean_diff_-0.56,GAON.TA_weekly_mean_diff_0.59
2019-03-31,2019-04-06,242.0,6.2,28.4199951171875,0.6,30.6,18.8,23.2,262.0,26.5800048828125,15.0,23.4,202.0,-4.3,60.8,-7.619999694824219,165.0
2019-04-07,2019-04-13,102.0,9.8,0.7800048828125,0.879998779296875,41.4,20.6,33.6,-14.0,14.63798828125,1.0,-12.0,38.0,0.1599998474121101,48.2,-1.2,242.0
2019-04-14,2019-04-20,64.0,33.0,-0.42000732421875,-0.479998779296875,-6.8,0.4,-0.8,56.0,-5.9699951171875,3.4,-1.04000244140625,-54.0,0.3400001525878899,43.6,-2.8199996948242188,102.0
2019-04-21,2019-04-27,18.0,17.2,-1.87999267578125,-0.320001220703125,4.6,17.0,-4.8,-14.0,7.126000976562454,0.4,-0.6,-32.0,0.38000030517578126,9.2,0.36000061035155967,64.0
2019-04-28,2019-05-04,15.0,-35.2,-22.2800048828125,1.4,-19.4,-11.6,-13.4,-96.0,-7.319995117187455,-1.2,-5.25999755859375,-108.0,0.1,-35.2,-2.1600006103515597,18.0
2019-05-05,2019-05-11,-46.0,18.0,-1.15999755859375,-0.25999755859375,-9.6,19.2,4.2,-24.0,1.5419921875,-3.6,-0.1,14.0,0.1399993896484375,-32.8,-1.3199996948242188,15.0
2019-05-26,2019-06-01,0.0,-39.0,-12.680004882812478,-0.879998779296875,7.4,-20.2,44.4,86.0,-4.430029296875,14.0,-1.6800048828124772,164.0,-0.9,86.0,-0.9599998474121094,-46.0
2019-06-16,2019-06-22,-22.0,-15.8,0.1800048828125,-1.7,4.2,-16.2,10.8,42.0,20.223974609375,19.6,-19.65999755859375,-48.0,-0.12000007629394531,25.0,0.6,0.0
2019-06-23,2019-06-29,-72.5,-9.8,3.439990234375,2.920001220703125,-13.4,-4.4,-3.6,48.0,-22.535986328125,4.2,-11.15999755859375,10.0,2.8800003051757805,34.6,-0.3600006103515625,-22.0
2019-06-30,2019-07-06,-213.33333333333331,-6.0,-0.3799926757812727,-3.420001220703125,4.8,1.0,-20.2,-44.0,8.089990234375,-14.4,-5.6,-68.0,0.4999999999999993,-73.2,0.1600006103515625,-72.5
