first_day_in_week,last_day_in_week,SANO1_main_symb_weekly_mean_diff,ASHO.TA_weekly_mean_diff_0.41
2019-03-10,2019-03-16,-6.0,6.0
2019-03-17,2019-03-23,-2.0,-10.85999755859375
2019-03-24,2019-03-30,-102.0,-5.5800048828125
2019-03-31,2019-04-06,-16.0,-0.8799926757812727
2019-04-07,2019-04-13,-32.0,-5.640002441406227
2019-04-14,2019-04-20,106.0,-9.74000244140625
2019-04-21,2019-04-27,16.0,5.180004882812478
2019-04-28,2019-05-04,-8.0,-6.060009765624978
2019-05-05,2019-05-11,-52.0,3.8800048828125
2019-05-12,2019-05-18,72.0,-6.2800048828125
2019-05-19,2019-05-25,106.0,1.24000244140625
2019-05-26,2019-06-01,26.0,-1.4
2019-06-02,2019-06-08,40.0,-0.3
2019-06-09,2019-06-15,92.0,4.25999755859375
2019-06-16,2019-06-22,-24.0,-5.5
2019-06-23,2019-06-29,30.0,1.02000732421875
2019-06-30,2019-07-06,18.0,2.24000244140625
2019-07-07,2019-07-13,36.0,-2.44000244140625
2019-07-14,2019-07-20,18.0,1.7199951171875
2019-07-21,2019-07-27,-12.0,-0.34000244140625
2019-07-28,2019-08-03,28.0,-2.7199951171875
2019-08-04,2019-08-10,68.0,3.0
2019-08-11,2019-08-17,4.0,-2.6199951171875
2019-08-18,2019-08-24,-22.0,2.6199951171875
2019-08-25,2019-08-31,6.0,-5.5800048828125
2019-09-01,2019-09-07,-42.0,-2.37999267578125
2019-09-08,2019-09-14,-22.5,6.1199951171875
2019-09-15,2019-09-21,20.0,-5.7249908447265625
2019-09-22,2019-09-28,185.0,6.65999755859375
2019-09-29,2019-10-05,196.66666666666663,-11.050018310546875
2019-10-06,2019-10-12,110.0,-2.3666585286458335
2019-10-13,2019-10-19,63.33333333333334,8.166666666666666
2019-10-20,2019-10-26,-20.0,3.0333251953125
2019-10-27,2019-11-02,-98.0,-0.15999755859375
2019-11-03,2019-11-09,80.0,5.64000244140625
2019-11-10,2019-11-16,30.0,-5.2199951171875
2019-11-17,2019-11-23,170.0,-3.8800048828125
2019-11-24,2019-11-30,112.0,6.0800048828125
2019-12-01,2019-12-07,-100.0,-6.0800048828125
2019-12-08,2019-12-14,-174.0,-1.54000244140625
2019-12-15,2019-12-21,-86.0,1.0800048828125
2019-12-22,2019-12-28,80.0,2.8
2019-12-29,2020-01-04,130.0,-0.82000732421875
2020-01-05,2020-01-11,-12.0,1.74000244140625
2020-01-12,2020-01-18,56.0,-1.17999267578125
2020-01-19,2020-01-25,-144.0,1.6199951171875
2020-01-26,2020-02-01,-78.0,-3.6800048828125
2020-02-02,2020-02-08,-30.0,-1.5199951171875
2020-02-09,2020-02-15,180.0,-0.15999755859375
2020-02-16,2020-02-22,-360.0,-2.85999755859375
2020-02-23,2020-02-29,102.5,-12.52000732421875
2020-03-01,2020-03-07,-690.0,-8.324996948242188
2020-03-08,2020-03-14,40.0,-36.42500305175781
2020-03-15,2020-03-21,214.0,-20.45999755859375
2020-03-22,2020-03-28,236.0,7.540002441406227
2020-03-29,2020-04-04,176.66666666666663,25.759997558593774
2020-04-05,2020-04-11,643.3333333333334,53.633341471354164
2020-04-12,2020-04-18,446.0,60.366658528645836
2020-04-19,2020-04-25,-26.66666666666667,36.9
2020-04-26,2020-05-02,-294.0,-22.333333333333332
2020-05-03,2020-05-09,-78.0,0.2
2020-05-10,2020-05-16,270.0,-7.6
2020-05-17,2020-05-23,-5.0,15.6
2020-05-24,2020-05-30,-12.0,-5.5
2020-05-31,2020-06-06,5.0,-6.0
2020-06-07,2020-06-13,-8.0,-4.0
2020-06-14,2020-06-20,-270.0,16.6
2020-06-21,2020-06-27,-63.999877929688225,-13.6
2020-06-28,2020-07-04,97.99987792968822,0.20000457763671875
2020-07-05,2020-07-11,-56.0,18.599995422363282
2020-07-12,2020-07-18,22.0,-5.4
2020-07-19,2020-07-25,-22.5,-6.6
