first_day_in_week,last_day_in_week,SNEL_main_symb_weekly_mean_diff,KNFM.TA_weekly_mean_diff_0.47
2019-03-10,2019-03-16,6.0,-12.2
2019-03-17,2019-03-23,-11.6,-11.0
2019-03-24,2019-03-30,20.2,-9.2
2019-03-31,2019-04-06,-27.4,16.0
2019-04-07,2019-04-13,-17.6,8.8
2019-04-14,2019-04-20,16.4,-8.0
2019-04-21,2019-04-27,-2.0,5.2
2019-04-28,2019-05-04,4.0,-17.0
2019-05-05,2019-05-11,17.0,0.0
2019-05-12,2019-05-18,17.0,-7.4
2019-05-19,2019-05-25,10.6,2.8
2019-05-26,2019-06-01,-2.8,2.2
2019-06-02,2019-06-08,13.6,18.4
2019-06-09,2019-06-15,11.4,3.4
2019-06-16,2019-06-22,-3.0,-9.4
2019-06-23,2019-06-29,11.6,-7.2
2019-06-30,2019-07-06,-43.4,-4.4
2019-07-07,2019-07-13,0.2,-6.0
2019-07-14,2019-07-20,5.8,3.2
2019-07-21,2019-07-27,11.4,4.8
2019-07-28,2019-08-03,20.8,5.2
2019-08-04,2019-08-10,-5.2,4.8
2019-08-11,2019-08-17,28.2,-4.0
2019-08-18,2019-08-24,-16.0,6.2
2019-08-25,2019-08-31,12.8,0.0
2019-09-01,2019-09-07,4.0,13.0
2019-09-08,2019-09-14,22.0,2.4
2019-09-15,2019-09-21,-4.2,2.5
2019-09-22,2019-09-28,-21.0,2.2
2019-09-29,2019-10-05,16.666666666666668,-24.0
2019-10-06,2019-10-12,119.66666666666669,53.666666666666664
2019-10-13,2019-10-19,86.33333333333331,47.333333333333336
2019-10-20,2019-10-26,25.2,-1.6666666666666667
2019-10-27,2019-11-02,66.2,15.8
2019-11-03,2019-11-09,-54.4,14.0
2019-11-10,2019-11-16,33.2,-9.4
2019-11-17,2019-11-23,-70.0,-8.4
2019-11-24,2019-11-30,-71.4,-27.0
2019-12-01,2019-12-07,1.0,-15.0
2019-12-08,2019-12-14,-9.4,-30.0
2019-12-15,2019-12-21,4.2,-3.8
2019-12-22,2019-12-28,0.4,9.6
2019-12-29,2020-01-04,-9.6,4.0
2020-01-05,2020-01-11,21.4,2.6
2020-01-12,2020-01-18,30.6,6.6
2020-01-19,2020-01-25,-35.0,1.4
2020-01-26,2020-02-01,-26.0,0.6
2020-02-02,2020-02-08,3.4,-11.6
2020-02-09,2020-02-15,13.8,-12.4
2020-02-16,2020-02-22,-44.6,-10.2
2020-02-23,2020-02-29,-81.0,-28.6
2020-03-01,2020-03-07,-248.0,-60.05000305175781
2020-03-08,2020-03-14,-45.0,-93.34999084472656
2020-03-15,2020-03-21,53.8,-20.32000732421874
2020-03-22,2020-03-28,54.2,-4.8
2020-03-29,2020-04-04,42.66666666666666,11.220001220703114
2020-04-05,2020-04-11,82.0,15.43333943684892
2020-04-12,2020-04-18,-16.8,36.33333333333337
2020-04-19,2020-04-25,-6.666666666666668,-16.74000244140625
2020-04-26,2020-05-02,-62.4,39.599995930989586
2020-05-03,2020-05-09,41.2,-15.6199951171875
2020-05-10,2020-05-16,25.8,-25.68000488281249
2020-05-17,2020-05-23,-15.5,10.480004882812466
2020-05-24,2020-05-30,16.4,6.500000000000028
2020-05-31,2020-06-06,5.0,-9.64000244140625
2020-06-07,2020-06-13,-33.6,-7.724998474121094
2020-06-14,2020-06-20,-16.8,0.43999633789063636
2020-06-21,2020-06-27,-20.2,-8.0
2020-06-28,2020-07-04,-17.4,-12.859995651245129
2020-07-05,2020-07-11,13.2,7.519999313354492
2020-07-12,2020-07-18,1.4,4.5
2020-07-19,2020-07-25,17.0,1.0
