first_day_in_week,last_day_in_week,BLSR_main_symb_weekly_mean_diff,OPAL.TA_weekly_mean_diff_0.46_INT_ALRPR.TA_weekly_mean_diff_0.6_corr_0.72
2019-03-10,2019-03-16,54.0,84.48007812500073
2019-03-17,2019-03-23,72.0,0.0
2019-03-24,2019-03-30,-106.0,-11.959887695312501
2019-03-31,2019-04-06,124.0,93.3599853515625
2019-04-07,2019-04-13,66.0,-37.24005126953125
2019-04-14,2019-04-20,16.0,-30.600219726562504
2019-04-21,2019-04-27,-198.0,23.8
2019-04-28,2019-05-04,-44.0,250.59991455078125
2019-05-05,2019-05-11,66.0,-22.320043945312502
2019-05-12,2019-05-18,84.0,-0.36002197265624997
2019-05-19,2019-05-25,144.0,57.6
2019-05-26,2019-06-01,18.0,82.0
2019-06-02,2019-06-08,60.0,-54.0
2019-06-09,2019-06-15,32.0,-148.0
2019-06-16,2019-06-22,-18.0,-183.59967041015628
2019-06-23,2019-06-29,-104.0,-36.0
2019-06-30,2019-07-06,-58.0,706.3196044921875
2019-07-07,2019-07-13,-88.0,159.72008056640627
2019-07-14,2019-07-20,142.0,90.43970947265625
2019-07-21,2019-07-27,132.0,-42.159875488281244
2019-07-28,2019-08-03,110.0,94.240185546875
2019-08-04,2019-08-10,-108.0,-127.9201904296875
2019-08-11,2019-08-17,120.0,11.4
2019-08-18,2019-08-24,-62.0,-520.0
2019-08-25,2019-08-31,106.0,-102.0
2019-09-01,2019-09-07,-10.0,0.0
2019-09-08,2019-09-14,-5.0,46.0799560546875
2019-09-15,2019-09-21,30.0,38.000144958496094
2019-09-22,2019-09-28,5.0,18.0
2019-09-29,2019-10-05,143.33333333333334,26.00006103515625
2019-10-06,2019-10-12,203.33333333333331,175.0005086263021
2019-10-13,2019-10-19,93.33333333333331,-5.555555555555556
2019-10-20,2019-10-26,18.0,-240.0
2019-10-27,2019-11-02,10.0,31.5999755859375
2019-11-03,2019-11-09,-106.0,-73.44012451171875
2019-11-10,2019-11-16,140.0,-49.68006591796875
2019-11-17,2019-11-23,92.0,134.1599365234375
2019-11-24,2019-11-30,244.0,68.64016113281251
2019-12-01,2019-12-07,186.0,11.399963378906364
2019-12-08,2019-12-14,56.0,-40.39990234375023
2019-12-15,2019-12-21,718.0,227.1197509765625
2019-12-22,2019-12-28,90.0,-63.84005126953125
2019-12-29,2020-01-04,218.0,294.0
2020-01-05,2020-01-11,-166.0,396.0
2020-01-12,2020-01-18,22.0,-392.9210205078078
2020-01-19,2020-01-25,-178.0,20.159692382813457
2020-01-26,2020-02-01,-160.0,752.4002685546875
2020-02-02,2020-02-08,248.0,132.6801513671868
2020-02-09,2020-02-15,194.0,-73.20007324218716
2020-02-16,2020-02-22,-422.0,893.0797973632812
2020-02-23,2020-02-29,-552.5,1226.3999999999999
2020-03-01,2020-03-07,-2045.0,18912.5
2020-03-08,2020-03-14,-652.0,30591.499999999993
2020-03-15,2020-03-21,526.0,452.4879602050783
2020-03-22,2020-03-28,524.0,4129.728229980468
2020-03-29,2020-04-04,766.6666666666665,1127.3036627197287
2020-04-05,2020-04-11,-660.0,-278.0451931423588
2020-04-12,2020-04-18,-344.0,76.00173950194772
2020-04-19,2020-04-25,650.0,60.09213256835897
2020-04-26,2020-05-02,412.0,1965.5980224609375
2020-05-03,2020-05-09,-350.0,-1023.2757678222655
2020-05-10,2020-05-16,104.0,1939.2627734374998
2020-05-17,2020-05-23,137.5,-16.28
2020-05-24,2020-05-30,-448.0,-0.0
2020-05-31,2020-06-06,-212.5,-7.3599609375
2020-06-07,2020-06-13,-214.0,240.15569686889648
2020-06-14,2020-06-20,-332.0,-569.66373046875
2020-06-21,2020-06-27,641.9999389648438,385.0881335449213
2020-06-28,2020-07-04,-149.99993896484375,288.6397381591669
2020-07-05,2020-07-11,154.0,34.44407530965878
2020-07-12,2020-07-18,-238.0,3.7759960937500185
2020-07-19,2020-07-25,-262.5,-5.096001586914048
