first_day_in_week,last_day_in_week,ALBA_main_symb_weekly_mean_diff,FOX.TA_weekly_mean_diff_0.35,RLCO.TA_weekly_mean_diff_0.36,TUZA.TA_weekly_mean_diff_0.36,NVMI.TA_weekly_mean_diff_0.44
2019-03-10,2019-03-16,12.8,90.0,-1.0,0.3599998474121094,17.0
2019-03-17,2019-03-23,-60.2,300.0,-3.2,0.3599998474121094,11.2
2019-03-24,2019-03-30,-5.4,-104.0,1.2,0.04000015258789062,-16.0
2019-03-31,2019-04-06,-2.2,-70.0,27.6,0.0,142.8
2019-04-07,2019-04-13,-10.8,-72.0,27.2,-0.14000015258789061,100.2
2019-04-14,2019-04-20,-14.6,16.0,-33.4,-0.01999969482421875,78.0
2019-04-21,2019-04-27,-24.8,-10.0,-23.4,-0.4,-18.0
2019-04-28,2019-05-04,-4.2,-144.0,22.6,-0.3,-89.0
2019-05-05,2019-05-11,14.6,1.8,-9.2,0.0,-3.4
2019-05-12,2019-05-18,-57.4,2.0,10.0,0.3400001525878906,-85.6
2019-05-19,2019-05-25,-30.6,-40.4,0.0,-0.020000457763671875,-68.8
2019-05-26,2019-06-01,55.4,-10.4,9.8,-0.3,38.2
2019-06-02,2019-06-08,-45.6,3.0,-9.8,-0.41999969482421873,-11.6
2019-06-09,2019-06-15,-21.0,9.0,-2.0,0.15999984741210938,44.6
2019-06-16,2019-06-22,-14.2,32.2,-0.8,-0.04000015258789062,-54.4
2019-06-23,2019-06-29,59.0,104.8,4.2,-0.2799995422363281,-64.0
2019-06-30,2019-07-06,-16.8,-10.0,7.0,0.1,75.6
2019-07-07,2019-07-13,-43.8,48.0,-32.2,-0.24000015258789062,-54.0
2019-07-14,2019-07-20,-6.4,6.0,-2.4,-0.24000015258789062,19.2
2019-07-21,2019-07-27,15.4,-6.0,29.8,0.5400001525878906,181.2
2019-07-28,2019-08-03,-20.6,56.0,-3.0,-0.5,48.0
2019-08-04,2019-08-10,-63.8,10.0,-8.0,1.18000030517578,-67.8
2019-08-11,2019-08-17,-11.0,38.0,10.2,-0.020000457763670453,-41.6
2019-08-18,2019-08-24,30.6,-10.0,2.8,-0.3,85.4
2019-08-25,2019-08-31,2.4,-34.0,11.8,-0.059999847412109376,-82.0
2019-09-01,2019-09-07,28.6,-46.0,-23.2,-0.8599998474121093,104.0
2019-09-08,2019-09-14,-14.25,46.0,-2.0,0.45999984741210936,192.0
2019-09-15,2019-09-21,-11.4,190.0,21.5,-0.05000019073486328,-15.0
2019-09-22,2019-09-28,2.0,192.0,-1.0,-0.17999954223632814,20.0
2019-09-29,2019-10-05,-3.0,-190.0,-33.5,-0.20000076293945312,-275.0
2019-10-06,2019-10-12,78.33333333333333,116.66666666666667,24.666666666666668,0.599999745686849,220.0
2019-10-13,2019-10-19,83.0,326.6666666666667,0.3333333333333333,-0.09999974568684895,83.33333333333333
2019-10-20,2019-10-26,-12.8,-23.333333333333332,-32.333333333333336,-0.5333328247070312,126.66666666666667
