first_day_in_week,last_day_in_week,AUGN_main_symb_weekly_mean_diff,HAIN.TA_weekly_mean_diff_0.38
2019-03-10,2019-03-16,-70.8,0.9599975585937613
2019-03-17,2019-03-23,21.6,0.22000122070311362
2019-03-24,2019-03-30,-1.8,-0.85999755859375
2019-03-31,2019-04-06,0.0,-5.079998779296875
2019-04-07,2019-04-13,502.6,0.779998779296875
2019-04-14,2019-04-20,-128.66666666666666,1.9399963378906364
2019-04-21,2019-04-27,-431.8,0.18000488281248864
2019-05-05,2019-05-11,-68.0,-1.2
2019-05-12,2019-05-18,232.0,1.0400024414062385
2019-05-19,2019-05-25,114.4,-0.420001220703125
2019-05-26,2019-06-01,-1.8,0.24000244140625
2019-06-02,2019-06-08,35.6,2.679998779296875
2019-06-09,2019-06-15,-30.0,-0.24000244140623864
2019-06-16,2019-06-22,23.2,-2.0
2019-06-23,2019-06-29,19.4,2.4400024414062385
2019-06-30,2019-07-06,16.4,4.659997558593761
2019-07-07,2019-07-13,0.0,3.2
2019-07-28,2019-08-03,69.5,4.080004882812455
2019-09-08,2019-09-14,-19.5,-0.3
2019-10-06,2019-10-12,-102.8,-0.5999959309896212
2019-10-27,2019-11-02,-100.0,-1.7800048828125
2019-11-03,2019-11-09,-154.4,-8.279998779296875
2019-11-10,2019-11-16,-126.01999511718752,0.879998779296875
2019-11-17,2019-11-23,-9.780004882812475,1.5
2019-11-24,2019-11-30,4.2,-1.979998779296875
2019-12-01,2019-12-07,1.9800048828124768,-10.14000244140625
2019-12-08,2019-12-14,-5.2,-5.2
2019-12-15,2019-12-21,0.0,-5.15999755859375
2019-12-22,2019-12-28,-9.580004882812476,20.379998779296876
2019-12-29,2020-01-04,2.3,-1.05999755859375
2020-01-05,2020-01-11,-3.5,-5.8800048828124885
2020-01-12,2020-01-18,1.4800048828124772,-1.1399963378906364
2020-01-19,2020-01-25,-5.320007324218727,-1.3
2020-01-26,2020-02-01,17.84000244140625,-2.5
2020-02-02,2020-02-08,42.0,2.579998779296875
2020-02-09,2020-02-15,278.0,5.4
2020-02-23,2020-02-29,214.75,-4.94000244140625
2020-03-01,2020-03-07,-148.0,-6.224998474121094
2020-03-08,2020-03-14,-27.4,-14.650001525878906
2020-03-15,2020-03-21,17.2,-12.779998779296875
2020-03-22,2020-03-28,109.6,0.020001220703125
2020-03-29,2020-04-04,100.33333333333331,-3.060003662109375
2020-04-05,2020-04-11,-108.0,2.0333353678385415
2020-04-12,2020-04-18,74.4,-3.2999979654947915
2020-04-19,2020-04-25,324.3333333333333,0.820001220703125
2020-04-26,2020-05-02,-34.4,0.23332722981770834
2020-05-03,2020-05-09,138.8,-2.15999755859375
2020-05-10,2020-05-16,-88.4,-0.920001220703125
2020-05-17,2020-05-23,21.75,1.7
2020-05-24,2020-05-30,35.4,1.6999969482421875
2020-05-31,2020-06-06,140.75,-2.8799987792968635
2020-06-07,2020-06-13,264.0,0.8000030517577983
2020-06-14,2020-06-20,604.4,-0.9000000000000113
2020-06-21,2020-06-27,-248.1999389648437,-0.9
2020-06-28,2020-07-04,53.19993896484375,1.0199996948242187
2020-07-05,2020-07-11,210.8,-0.11999969482421875
2020-07-12,2020-07-18,145.6,3.3399963378906365
2020-07-19,2020-07-25,553.0,56.22000732421875
