first_day_in_week,last_day_in_week,NXGN-M_main_symb_weekly_mean_diff,BLRX.TA_weekly_mean_diff_0.37,RMLI.TA_weekly_mean_diff_-0.37,NXGN-M.TA_weekly_mean_diff_-0.4,PLX.TA_weekly_mean_diff_0.4,VILR.TA_weekly_mean_diff_0.41,GOLF.TA_weekly_mean_diff_0.45,VCTR.TA_weekly_mean_diff_-0.45,PSTI.TA_weekly_mean_diff_0.51,PTX.TA_weekly_mean_diff_-0.57
2019-03-10,2019-03-16,0.22000014781951904,-0.3600006103515625,60.0,0.2999997138977051,5.0,38.0,-1.45999755859375,4.8,-21.6,-0.5799995422363281
2019-03-17,2019-03-23,0.7599997520446777,0.6800018310546875,-114.0,0.22000014781951904,27.4,-24.0,-1.54000244140625,-23.8,4.4,0.0
2019-03-24,2019-03-30,0.3000003099441543,-0.8,-18.0,0.7599997520446777,-46.0,22.0,-0.84000244140625,5.6,-1.6,-0.6599998474121094
2019-03-31,2019-04-06,0.2399998903274522,-0.620001220703125,62.0,0.3000003099441543,-1.8,-24.0,-4.3199951171875,11.6,-275.0,-1.0200004577636705
2019-04-07,2019-04-13,0.13999998569488384,-0.3,66.0,0.2399998903274522,10.0,42.0,2.9199951171875,60.2,12.0,0.22000045776367044
2019-04-14,2019-04-20,0.13999993801117086,-1.3600006103515625,94.0,0.13999998569488384,-24.0,12.0,1.3800048828125,6.2,-54.0,-0.04000015258789062
2019-04-21,2019-04-27,4.76837158203125e-08,-0.7,-20.0,0.13999993801117086,-1.2,44.0,0.25999755859375,-27.2,28.2,-0.24000015258789062
2019-04-28,2019-05-04,-1.1800003528594971,1.020001220703125,-142.0,4.76837158203125e-08,0.8,-80.0,-2.220001220703125,-15.2,56.4,-0.21999969482421874
2019-05-05,2019-05-11,0.3500000238418597,1.6199981689453125,40.0,-1.1800003528594971,-8.8,6.0,-0.5,25.0,16.6,0.11999969482421875
2019-05-12,2019-05-18,-1.0499998927116394,-4.439999389648432,-8.0,0.3500000238418597,-8.6,60.0,-4.079998779296875,4.6,-20.6,-0.08000030517578267
2019-06-02,2019-06-08,-1.8999999761581436,-0.5600006103515682,-104.0,-1.0499998927116394,23.8,-62.0,3.3600006103515625,-16.4,-52.8,-0.7599998474121101
2019-06-09,2019-06-15,1.0800004005432131,-0.8999999999999971,-6.0,-1.8999999761581434,-1.8,36.0,-0.6,-4.8,-0.4,0.0799999237060561
2019-06-16,2019-06-22,-0.16000032424926686,0.4399993896484403,100.0,1.080000400543213,7.4,172.0,-1.720001220703125,66.2,12.0,-0.24000015258789134
2019-06-23,2019-06-29,0.0,0.620001220703125,16.0,-0.16000032424926686,8.2,-36.0,-1.979998779296875,-2.2,14.4,0.16000022888183524
2019-06-30,2019-07-06,-0.3799998760223396,-1.7400009155273437,78.0,0.0,1.6,-20.0,6.160000610351557,-37.8,-29.0,0.3199996948242202
2019-07-07,2019-07-13,-0.6599998474121094,-2.240000915527341,-26.0,-0.3799998760223396,-14.8,8.0,-0.3200012207031193,10.4,-29.4,-0.41999969482422017
2019-07-14,2019-07-20,0.0,-2.159999084472659,-134.0,-0.6599998474121094,-26.6,-34.0,1.2799987792968808,9.8,74.2,0.03999977111816477
2019-07-21,2019-07-27,1.1799997091293348,-1.5400009155273409,50.0,0.0,-19.2,140.0,-1.4599975585937615,21.0,-84.8,-0.5399997711181648
2019-07-28,2019-08-03,-0.8999995887279528,0.08000030517577841,12.0,1.1799997091293348,-6.8,-30.0,-0.6200012207031194,-35.2,-8.8,0.01999969482422017
2019-08-25,2019-08-31,-0.040000081062316895,-0.9599990844726591,52.0,-0.8999995887279528,-25.8,-84.0,2.2399993896484376,-89.6,-15.6,-0.1799999237060547
2019-09-01,2019-09-07,0.0,-1.119999694824216,74.0,-0.040000081062316895,4.6,-40.0,1.5200012207031193,-47.2,29.2,0.059999847412109376
2019-09-08,2019-09-14,-0.4749998450279227,0.879998779296875,80.0,0.0,8.0,74.0,1.6,11.8,13.0,-0.039999771118164065
2019-09-15,2019-09-21,0.399999618530272,0.02500152587890625,97.5,-0.4749998450279227,-10.5,-92.5,0.8249969482422017,19.25,8.25,-0.5750002861022949
2019-09-22,2019-09-28,0.0,-0.8,8.0,0.399999618530272,2.0,98.0,5.120001220703119,5.0,-20.0,-0.07999992370605469
2019-09-29,2019-10-05,-0.33333301544189337,-0.6000022888183594,-50.0,0.0,-12.5,5.0,2.0,-61.5,-55.0,-0.19999980926513672
2019-10-06,2019-10-12,-0.7333338260650623,0.9000015258789062,133.33333333333334,-0.33333301544189337,-10.0,196.66666666666666,0.7000020345052084,65.66666666666667,-2.0,0.2999998728434245
2019-10-13,2019-10-19,1.0666668415069556,0.3333333333333333,-160.0,-0.7333338260650623,-19.0,130.0,-0.7999979654947916,38.0,8.0,0.09999974568684895
2019-10-20,2019-10-26,-0.2399998903274529,-0.5666681925455682,76.66666666666667,1.0666668415069556,59.666666666666664,-106.66666666666667,-3.6666666666666665,57.333333333333336,-1.6666666666666667,-0.2666664123535156
2019-10-27,2019-11-02,0.6333331267038981,-0.5000000000000029,-6.0,-0.2399998903274529,3.8,68.0,-0.4,47.0,-19.8,0.07999992370605469
2019-11-10,2019-11-16,-0.5399996042251579,0.17999954223632955,-76.0,0.6333331267038981,-17.2,-230.0,-2.0,-5.6,-10.4,-0.3
2019-11-17,2019-11-23,-0.2000004053115852,0.28000030517578123,186.0,-0.539999604225158,20.0,-96.0,1.7200012207031137,105.4,-2.8,-0.03999977111816477
2019-11-24,2019-11-30,-0.41999995708465576,-0.1,-90.0,-0.2000004053115852,44.4,114.0,-5.399999999999994,18.6,9.2,-0.14000015258788992
2019-12-01,2019-12-07,0.040000081062316895,-1.1599998474121107,-12.0,-0.41999995708465576,8.2,120.0,-2.8,-14.6,28.6,-0.3
2019-12-08,2019-12-14,0.4799997806549072,0.7799995422363295,14.0,0.040000081062316895,0.6,-46.0,-1.8400024414062386,69.0,-21.0,-0.3
2019-12-15,2019-12-21,-0.2500005066394815,-2.3,-24.0,0.4799997806549072,-30.2,-20.0,-0.7599975585937614,24.4,31.8,0.12000007629394531
2020-01-12,2020-01-18,0.6000000238418572,-0.08000030517578124,-76.0,-0.2500005066394815,-48.4,138.0,-1.0199951171875,-6.2,7.4,0.2799999237060547
2020-01-19,2020-01-25,-0.199999809265136,0.3200004577636705,-4.0,0.6000000238418572,10.2,96.0,0.6199951171875,15.8,-16.8,0.12000007629394531
2020-01-26,2020-02-01,-0.7400000095367438,-0.3800003051757798,-44.0,-0.199999809265136,-24.0,-60.0,0.7800048828125,-6.6,-5.6,0.1799999237060547
2020-02-02,2020-02-08,-0.06000012159347464,-1.1599998474121094,0.0,-0.7400000095367438,10.4,-50.0,-2.2200012207031365,-30.4,-4.6,0.0
2020-02-09,2020-02-15,-0.2799999713897705,-0.6,-18.0,-0.060000121593474634,-16.4,-16.0,-0.7200012207031137,2.8,13.0,0.2799999237060554
2020-02-16,2020-02-22,1.0800000786781312,-0.020000457763671875,154.0,-0.2799999713897705,41.8,144.0,-0.22000122070311362,52.6,42.2,0.0
2020-02-23,2020-02-29,-0.125,-0.9399993896484375,-224.0,1.0800000786781312,-46.0,-246.0,-1.6799987792968865,-93.8,-47.6,-0.3599998474121101
2020-03-01,2020-03-07,0.3749997913837424,0.09999942779541016,160.0,-0.125,-9.5,-82.5,-4.549999237060547,53.5,-18.5,-0.4250001907348633
2020-03-08,2020-03-14,1.2000000476837165,-1.5,-532.5,0.3749997913837424,-43.0,-482.5,-11.075000762939453,-79.75,-13.5,-1.5999999046325684
2020-03-15,2020-03-21,-1.3599997758865356,-1.3199996948242194,412.0,1.2000000476837165,-28.55999755859375,-307.4,-10.639999389648443,36.2,6.2,-0.4
2020-03-22,2020-03-28,0.5199998617172241,0.1799999237060561,-14.0,-1.3599997758865356,13.75999755859375,227.4,0.3399993896484432,141.2,0.4,-0.13999996185302735
2020-03-29,2020-04-04,0.0,0.15999984741210865,0.0,0.5199998617172241,-19.6,222.0,1.179998779296875,105.8,6.4,0.33999996185302733
2020-04-05,2020-04-11,4.7333329916000375,1.2999998728434246,350.0,0.0,31.900004069010418,93.33333333333333,7.2666676839192705,14.333333333333334,66.66666666666667,0.16666666666666666
2020-04-12,2020-04-18,7.799999713897702,3.6333338419596353,-160.0,4.733332991600037,129.0999959309896,330.0,5.366668701171875,-231.33333333333334,661.6666666666666,-0.4333330790201823
2020-04-19,2020-04-25,-9.866664807001746,-1.1599998474121094,528.0,7.799999713897702,0.8,-166.0,-9.700000000000006,108.2,-12.0,18.779999923706054
2020-04-26,2020-05-02,4.119999408721924,0.3333333333333333,-153.33333333333334,-9.866664807001746,38.0,183.33333333333334,5.399998982747405,4.0,-9.333333333333334,1.6666666666666667
2020-05-03,2020-05-09,-0.9200000762939482,-0.3600006103515625,-198.0,4.119999408721924,-55.6,-128.0,-1.8,44.6,-58.0,1.0800003051757812
2020-05-10,2020-05-16,-0.09999990463256553,0.04000015258789062,-22.0,-0.9200000762939482,-19.4,44.0,-0.620001220703125,-29.6,115.6,1.1399993896484375
2020-05-17,2020-05-23,-2.4499997496604915,1.5400001525878906,88.0,-0.09999990463256551,2.2,-52.0,2.020001220703125,79.2,-110.0,-5.289959716796875
2020-05-24,2020-05-30,-0.10000169277191162,-2.2749996185302734,-47.5,-2.449999749660492,32.5,85.0,6.674999237060547,66.25,-54.0,-2.597475051879883
