first_day_in_week,last_day_in_week,SPEN_main_symb_weekly_mean_diff,BIOV.TA_weekly_mean_diff_0.37,SHGR.TA_weekly_mean_diff_0.41,ALRPR.TA_weekly_mean_diff_0.43
2019-03-10,2019-03-16,-3.2,1.839996337890625,4.6,64.0
2019-03-17,2019-03-23,0.2,0.820001220703125,27.8,0.0
2019-03-24,2019-03-30,3.4,1.64000244140625,-8.6,46.0
2019-03-31,2019-04-06,15.0,0.6,15.2,12.0
2019-04-07,2019-04-13,-5.0,0.879998779296875,1.0,-14.0
2019-04-14,2019-04-20,5.0,-0.479998779296875,-1.0,90.0
2019-04-21,2019-04-27,-8.0,-0.320001220703125,4.4,14.0
2019-04-28,2019-05-04,2.8,1.4,-14.4,-70.0
2019-05-05,2019-05-11,2.8,-0.25999755859375,3.4,36.0
2019-05-12,2019-05-18,-4.2,-1.160003662109375,-3.2,18.0
2019-05-19,2019-05-25,4.2,0.779998779296875,-17.8,64.0
2019-05-26,2019-06-01,3.0,-0.879998779296875,6.8,-164.0
2019-06-02,2019-06-08,4.4,0.379998779296875,3.6,-30.0
2019-06-09,2019-06-15,-3.4,-2.1,8.0,148.0
2019-06-16,2019-06-22,-5.8,-1.7,3.4,90.0
2019-06-23,2019-06-29,2.4,2.920001220703125,-2.2,-20.0
2019-06-30,2019-07-06,1.6,-3.420001220703125,-6.0,162.0
2019-07-07,2019-07-13,-6.4,-2.3,-5.2,66.0
2019-07-14,2019-07-20,4.6,-4.139996337890636,4.0,-238.0
2019-07-21,2019-07-27,2.0,1.4599975585937728,-14.8,-34.0
2019-07-28,2019-08-03,51.4,2.9400024414062385,-10.6,76.0
2019-08-04,2019-08-10,-1.0,-3.560003662109375,-0.2,156.0
2019-08-11,2019-08-17,-17.4,-0.05999755859375,-3.4,-114.0
2019-08-18,2019-08-24,3.6,-0.9,17.4,80.0
2019-08-25,2019-08-31,15.4,1.9200012207031136,11.2,34.0
2019-09-01,2019-09-07,-14.0,-0.32000122070311365,-12.6,0.0
2019-09-08,2019-09-14,37.0,0.4799987792968864,8.4,36.0
2019-09-15,2019-09-21,14.2,0.125,-4.5,95.0
2019-09-22,2019-09-28,16.5,-1.5200012207031364,5.2,-10.0
2019-09-29,2019-10-05,23.0,-3.149993896484375,-6.0,-20.0
2019-10-06,2019-10-12,17.333333333333332,3.6666666666666665,8.333333333333334,250.0
2019-10-13,2019-10-19,-10.0,3.466664632161477,17.333333333333332,-6.666666666666667
2019-10-20,2019-10-26,-22.8,-2.466664632161477,-7.666666666666667,-90.0
2019-10-27,2019-11-02,-1.8,-1.25999755859375,-5.6,20.0
2019-11-03,2019-11-09,9.8,-1.74000244140625,-1.8,-102.0
2019-11-10,2019-11-16,27.2,-1.2399993896484376,-6.2,-54.0
2019-11-17,2019-11-23,43.6,2.0800018310546875,2.2,52.0
2019-11-24,2019-11-30,-2.4,6.439996337890625,-21.6,132.0
2019-12-01,2019-12-07,3.8,-1.279998779296875,-1.0,10.0
2019-12-08,2019-12-14,-10.8,1.04000244140625,-0.4,20.0
2019-12-15,2019-12-21,-10.8,1.239996337890625,13.0,68.0
2019-12-22,2019-12-28,28.4,1.660003662109375,-1.4,-42.0
2019-12-29,2020-01-04,16.2,-1.8800048828125,5.0,60.0
2020-01-05,2020-01-11,0.4,0.64000244140625,7.8,44.0
2020-01-12,2020-01-18,65.4,1.3,-4.2,418.0
2020-01-19,2020-01-25,-26.4,-1.3,2.4,-84.0
2020-01-26,2020-02-01,51.0,-1.75999755859375,-9.8,-220.0
2020-02-02,2020-02-08,-18.2,-1.820001220703125,-17.2,-62.0
2020-02-09,2020-02-15,-6.2,-0.34000244140623864,14.8,-30.0
2020-02-16,2020-02-22,-29.6,0.4999999999999886,-8.8,166.0
2020-02-23,2020-02-29,-21.75,0.560003662109375,-20.0,-438.0
2020-03-01,2020-03-07,-121.75,-8.925003051757812,-31.074996948242188,-890.0
2020-03-08,2020-03-14,3.8,-16.549999237060547,-38.67500305175781,-1003.0
2020-03-15,2020-03-21,47.4,-4.380001831054687,17.15999755859375,-32.6
2020-03-22,2020-03-28,38.6,5.0800018310546875,35.84000244140625,376.8
2020-03-29,2020-04-04,58.66666666666666,11.539999389648438,3.4,184.2
2020-04-05,2020-04-11,-72.0,-4.799997965494801,-7.666666666666667,-122.66666666666667
2020-04-12,2020-04-18,-6.0,4.266662597656269,8.0,-285.0
2020-04-19,2020-04-25,64.66666666666667,-1.9199981689453183,19.8,36.2
2020-04-26,2020-05-02,-11.8,3.899998982747396,12.333333333333334,324.0
2020-05-03,2020-05-09,-4.6,-2.2,-10.2,-190.2
2020-05-10,2020-05-16,-17.8,-0.6799987792968807,-15.8,-251.2
2020-05-17,2020-05-23,-4.5,0.019998168945318185,14.0,81.4
2020-05-24,2020-05-30,-12.2,-2.424999237060547,-11.5,0.0
2020-05-31,2020-06-06,28.75,0.4399993896484375,2.2,-16.0
2020-06-07,2020-06-13,-0.4,1.4500007629394531,-11.75,181.25
2020-06-14,2020-06-20,-20.4,-1.1399993896484375,-22.6,110.4
2020-06-21,2020-06-27,-16.60001373291025,2.079998779296875,9.2,-109.4
2020-06-28,2020-07-04,7.600013732910247,-0.2200000762939453,3.400002288818359,-70.39993286132812
2020-07-05,2020-07-11,12.4,0.02000007629394531,-3.2000022888183595,-21.800067138671874
2020-07-12,2020-07-18,60.4,7.060000610351563,45.0,3.2
2020-07-19,2020-07-25,1.5,2.120001220703114,16.8,-2.6
