first_day_in_week,last_day_in_week,CMCTP_main_symb_weekly_mean_diff,SHOM.TA_weekly_mean_diff_0.42_INT_ALRPR.TA_weekly_mean_diff_0.5_corr_0.73,CLIS.TA_weekly_mean_diff_0.39_INT_PHOE.TA_weekly_mean_diff_0.4_corr_0.73,SHOM.TA_weekly_mean_diff_0.42_INT_OPAL.TA_weekly_mean_diff_0.37_corr_0.78
2019-03-10,2019-03-16,35.75,-38.4,132.92436035156248,-0.7920007324218818
2019-03-17,2019-03-23,50.0,0.0,-207.3230859375,3.052798144519329
2019-03-31,2019-04-06,-15.0,60.719970703125,898.4041650390624,39.36677482910454
2019-04-07,2019-04-13,10.2,-88.76003417968751,884.1344921875,16.864429711923005
2019-04-14,2019-04-20,-5.2,223.19989013671878,244.7697998046875,-0.8432056396454574
2019-04-21,2019-04-27,0.0,27.71998291015625,-112.59081542968678,3.365997924804687
2019-04-28,2019-05-04,3.5,350.0,-688.0795410156207,17.899993896484375
2019-05-05,2019-05-11,82.0,166.3200439453125,239.0087890625,-2.8644063964858653
2019-05-19,2019-05-25,-24.6,559.36015625,-311.68470703125,7.866002197265626
2019-05-26,2019-06-01,7.5,1072.5604003906249,223.2734765625,3.270001220703125
2019-06-16,2019-06-22,-35.8,-57.59967041015626,1257.931220703125,1.3055901855602863
2019-06-30,2019-07-06,11.8,171.71960449218935,80.89990234375,4.621586767584135
2019-07-07,2019-07-13,0.0,-33.0,-8.6271875,-1.2100006103515626
2019-07-14,2019-07-20,0.0,152.31912841797146,97.10312499999999,0.24319782715291216
2019-07-21,2019-07-27,-28.0,-202.63991699218752,23.279501953125,7.390375146493316
2019-07-28,2019-08-03,-8.0,147.440185546875,-112.80234375,2.4056077636778355
2019-08-04,2019-08-10,52.0,-705.1201904296875,1139.94970703125,3.7064065185561774
2019-08-11,2019-08-17,23.8,-129.96027832031248,323.5681640625,-0.114000244140625
2019-08-18,2019-08-24,18.2,489.5996093750018,14.4459716796875,-39.7799682617189
2019-08-25,2019-08-31,15.2,87.72016601562345,30.749755859375,-7.740014648437363
2019-09-01,2019-09-07,14.8,0.0,-36.976171875,18.479992675781318
2019-09-08,2019-09-14,-38.5,149.759912109375,90.13646484374999,5.32479179687798
2019-09-15,2019-09-21,10.8,-61.749420166015625,-56.351348876953125,-0.25999855040572584
2019-09-22,2019-09-28,-88.5,19.4000244140625,-29.52,3.49200439453125
2019-09-29,2019-10-05,26.0,-95.999755859375,902.0,-6.239998779259622
2019-10-06,2019-10-12,66.33333333333333,1725.0010172526042,-2.333333333333333,4.830016886401508
2019-10-13,2019-10-19,148.66666666666666,-14.666748046875,1481.4444444444443,1.833343505859375
2019-10-20,2019-10-26,-29.2,-371.9989013671875,-77.33333333333333,11.022189670138888
2019-10-27,2019-11-02,33.333333333333336,161.199951171875,-93.44,12.734786303713918
2019-11-03,2019-11-09,12.6,-681.360498046875,665.2800000000001,4.809611669927835
2019-11-17,2019-11-23,-52.6,248.56025390625,69.12,12.332406762689352
2019-11-24,2019-11-30,-17.0,-792.0,2201.0,-3.1200073242187503
2019-12-01,2019-12-07,0.0,-57.800048828125,113.39999999999999,-6.589184399396247
2019-12-15,2019-12-21,13.6,900.3201660156251,661.96,44.22155966795981
2019-12-22,2019-12-28,-104.0,-154.560205078125,5.120000000000001,5.59361191406846
2019-12-29,2020-01-04,48.6,724.799560546875,-12.0,59.19196411132813
2020-01-05,2020-01-11,0.2,1012.0000000000009,1672.0,207.0000000000002
2020-01-12,2020-01-18,15.2,-4489.31591796876,-7.4,10.095617040991684
2020-01-19,2020-01-25,-23.0,70.56020507812501,-20.16,0.20159750975669385
2020-01-26,2020-02-01,7.2,743.60107421875,1192.32,11.559620825201273
2020-02-02,2020-02-08,15.8,-951.0801513671876,443.52,-32.82764267578704
2020-02-09,2020-02-15,-29.8,195.599853515625,-413.44,-15.908804003894256
2020-02-16,2020-02-22,-20.2,3200.478784179688,355.68,103.72633706055582
2020-02-23,2020-02-29,-37.5,8935.199999999999,4762.68,57.11999999999999
2020-03-01,2020-03-07,-374.0,36000.49728393555,9906.875,859.5624351501465
2020-03-08,2020-03-14,-64.0,62461.82653045654,19814.5625,1899.3875465393062
2020-03-15,2020-03-21,105.33333333333331,71.06796020507812,195.95999999999998,30.258380395509313
2020-04-12,2020-04-18,16.0,-3562.5,7.555555555555555,-3.333409627278409
2020-04-19,2020-04-25,106.66666666666669,380.82426513671874,610.08,17.46325068362045
2020-04-26,2020-05-02,0.0,8791.196044921875,1435.5555555555554,164.60864922424986
2020-05-03,2020-05-09,50.0,1753.6430712890624,-37.24,-49.60356247559189
2020-05-10,2020-05-16,9.25,5847.9372265625,2366.6400000000003,179.72152402341365
2020-05-24,2020-05-30,1.0,-0.0,-153.75,18.393722534179688
2020-05-31,2020-06-06,-113.0,-17.919921875,700.0,0.5151950195431709
2020-06-14,2020-06-20,-25.8,-79.48880859375001,960.12,3.7152360351383686
2020-06-21,2020-06-27,-16.8,608.2637329101562,3765.84,19.571198193356363
2020-06-28,2020-07-04,5.0,-809.5993084716029,55.079935760510004,-47.150006885528775
2020-07-05,2020-07-11,-0.2,292.9929805147671,248.63988067628168,21.23518669585683
2020-07-12,2020-07-18,-0.4,4.2240234375000005,-13.319999999999999,1.5576070312410668
2020-07-19,2020-07-25,9.5,-22.463974609375,-16.8,16.93438613280649
