first_day_in_week,last_day_in_week,MNIN_main_symb_weekly_mean_diff,CLBV.TA_weekly_mean_diff_0.38,CEL.TA_weekly_mean_diff_0.42,FIBIH.TA_weekly_mean_diff_0.42
2019-03-10,2019-03-16,2.139990234375,-1.2,6.2,32.0
2019-03-17,2019-03-23,-13.77999267578125,-30.2,-51.6,24.0
2019-03-24,2019-03-30,6.45999755859375,-10.2,-8.6,-54.0
2019-03-31,2019-04-06,6.64000244140625,-8.6,6.2,24.0
2019-04-07,2019-04-13,-2.45999755859375,7.2,9.8,118.0
2019-04-14,2019-04-20,-4.0,24.4,33.0,-38.0
2019-04-21,2019-04-27,-4.7,22.6,17.2,22.0
2019-04-28,2019-05-04,6.47999267578125,7.8,-35.2,-88.0
2019-05-05,2019-05-11,-6.4,-14.2,18.0,6.0
2019-05-12,2019-05-18,-2.15999755859375,-42.6,15.4,38.0
2019-05-19,2019-05-25,-2.6199951171875,-22.8,-14.2,-14.0
2019-05-26,2019-06-01,-1.8800048828125,-47.6,-39.0,-56.0
2019-06-02,2019-06-08,-1.1199951171875,-3.4,-41.4,16.0
2019-06-09,2019-06-15,-0.4800048828125,24.0,-2.6,14.0
2019-06-16,2019-06-22,4.7,6.8,-15.8,-24.0
2019-06-23,2019-06-29,2.6800048828125,7.6,-9.8,62.0
2019-06-30,2019-07-06,-7.6,17.2,-6.0,32.0
2019-07-07,2019-07-13,-3.62000732421875,-20.2,13.6,-56.0
2019-07-14,2019-07-20,4.75999755859375,-2.6,16.6,-66.0
2019-07-21,2019-07-27,-4.2199951171875,17.8,-20.4,32.0
2019-07-28,2019-08-03,11.45999755859375,0.0,-8.4,92.0
2019-08-04,2019-08-10,-25.25999755859375,-14.4,-19.4,-20.0
2019-08-11,2019-08-17,-2.55999755859375,-15.6,-15.14000244140625,-14.0
2019-08-18,2019-08-24,-5.85999755859375,26.8,2.32000732421875,66.0
2019-08-25,2019-08-31,11.4199951171875,-0.6,-3.6,-36.0
2019-09-01,2019-09-07,2.4199951171875,-2.2,-7.3800048828125,-34.0
2019-09-08,2019-09-14,-2.649993896484375,-21.0,-7.25999755859375,36.0
2019-09-15,2019-09-21,3.0800048828125,27.5,0.8000030517578125,42.5
2019-09-22,2019-09-28,36.54998779296875,11.0,45.5199951171875,62.0
2019-09-29,2019-10-05,-5.666666666666668,-20.0,-20.75,-25.0
2019-10-06,2019-10-12,3.6666666666666665,-12.333333333333334,-4.333333333333333,126.66666666666667
2019-10-13,2019-10-19,-7.333333333333332,16.0,6.066670735677083,0.0
2019-10-20,2019-10-26,-9.74000244140625,-32.333333333333336,-16.633341471354168,20.0
2019-10-27,2019-11-02,-7.85999755859375,-10.8,1.74000244140625,6.0
2019-11-03,2019-11-09,2.44000244140625,-18.0,-18.04000244140625,8.0
2019-11-10,2019-11-16,3.05999755859375,16.6,10.9,80.0
2019-11-17,2019-11-23,-4.7800048828125,-1.4,26.9,12.0
2019-11-24,2019-11-30,-12.2,-24.4,-2.05999755859375,72.0
2019-12-01,2019-12-07,5.9800048828125,-15.8,-6.819995117187522,-28.0
2019-12-08,2019-12-14,-0.5199951171875,12.2,19.319995117187524,-26.0
2019-12-15,2019-12-21,-8.520007324218728,-8.2,-19.8,-56.0
2019-12-22,2019-12-28,3.6,1.8,17.2,-2.0
2019-12-29,2020-01-04,11.740002441406226,12.2,2.4,-16.0
2020-01-05,2020-01-11,12.0199951171875,-12.0,-10.64000244140625,-14.0
2020-01-12,2020-01-18,3.7800048828125,15.4,20.64000244140625,-8.0
2020-01-19,2020-01-25,-1.1,-19.4,13.0,-30.0
2020-01-26,2020-02-01,-9.5,18.2,18.0,-36.0
2020-02-02,2020-02-08,17.3199951171875,4.6,23.4,124.0
2020-02-09,2020-02-15,-10.339990234375,-38.4,9.6,-166.0
2020-02-16,2020-02-22,-4.22000732421875,-16.0,-1.4,28.0
2020-02-23,2020-02-29,-8.199996948242188,-35.0,-28.0,-140.0
2020-03-01,2020-03-07,-30.525001525878906,-23.5,-46.75,-210.75
2020-03-08,2020-03-14,-18.279998779296875,-183.5,-73.75,-485.5
2020-03-15,2020-03-21,25.54000244140623,18.4,22.0,225.2
2020-03-22,2020-03-28,3.959997558593773,16.4,6.24000244140625,116.0
2020-03-29,2020-04-04,0.16666666666666666,-24.0,26.15999755859375,50.8
2020-04-05,2020-04-11,5.366658528645833,67.33333333333333,82.33333333333333,65.33333333333333
2020-04-12,2020-04-18,-0.239990234375,45.0,-46.333333333333336,-190.66666666666666
2020-04-19,2020-04-25,10.333333333333334,76.8,5.4,94.2
2020-04-26,2020-05-02,-1.82000732421875,56.0,30.0,163.33333333333334
2020-05-03,2020-05-09,-1.45999755859375,-9.4,-14.2,-104.8
2020-05-10,2020-05-16,-2.0,-45.0,-5.4,-135.8
2020-05-17,2020-05-23,5.0,8.6,-10.6,62.6
2020-05-24,2020-05-30,-1.0,-21.25,-9.75,-17.5
2020-05-31,2020-06-06,-0.899993896484375,-7.8,5.2,-49.8
2020-06-07,2020-06-13,1.8,-4.75,32.0,-4.5
2020-06-14,2020-06-20,-1.02000732421875,37.6,13.6,-10.8
2020-06-21,2020-06-27,7.100006103515625,-14.2,8.0,-81.8
2020-06-28,2020-07-04,-1.800006103515625,-36.199972534179686,6.400001525878906,76.80001831054688
2020-07-05,2020-07-11,11.64000244140625,19.599972534179688,-15.000001525878906,-141.80001831054688
2020-07-12,2020-07-18,2.6199951171875,30.2,19.6,38.6
2020-07-19,2020-07-25,-16.54998779296875,-16.0,-18.8,-65.6
