first_day_in_week,last_day_in_week,LPSN_main_symb_weekly_mean_diff,KEN.TA_weekly_mean_diff_0.42
2019-03-10,2019-03-16,16.0,10.8
2019-03-17,2019-03-23,10.0,47.2
2019-03-24,2019-03-30,-24.0,-52.0
2019-03-31,2019-04-06,32.0,-27.6
2019-04-07,2019-04-13,-78.0,55.0
2019-04-14,2019-04-20,54.0,3.4
2019-04-21,2019-04-27,76.0,13.2
2019-04-28,2019-05-04,-90.0,-50.6
2019-05-05,2019-05-11,34.0,35.6
2019-05-12,2019-05-18,-16.0,39.8
2019-05-19,2019-05-25,-34.0,21.6
2019-05-26,2019-06-01,-54.0,-95.0
2019-06-02,2019-06-08,-52.6,-2.0
2019-06-09,2019-06-15,140.6,73.4
2019-06-16,2019-06-22,-133.0,29.6
2019-06-23,2019-06-29,107.0,29.0
2019-06-30,2019-07-06,42.0,-40.0
2019-07-07,2019-07-13,140.0,-5.8
2019-07-14,2019-07-20,44.0,-24.0
2019-07-21,2019-07-27,120.0,-7.8
2019-07-28,2019-08-03,230.0,46.6
2019-08-04,2019-08-10,-12.0,-5.4
2019-08-11,2019-08-17,200.0,-16.8
2019-08-18,2019-08-24,-24.0,23.2
2019-08-25,2019-08-31,-30.0,15.2
2019-09-01,2019-09-07,-98.0,-43.2
2019-09-08,2019-09-14,67.5,-39.4
2019-09-15,2019-09-21,-160.0,19.25
2019-09-22,2019-09-28,-245.0,-44.8
2019-09-29,2019-10-05,266.6666666666667,12.0
2019-10-06,2019-10-12,296.6666666666667,116.66666666666667
2019-10-13,2019-10-19,-86.66666666666669,120.0
2019-10-20,2019-10-26,154.0,18.333333333333332
2019-10-27,2019-11-02,42.0,1.0
2019-11-03,2019-11-09,-446.0,-38.0
2019-11-10,2019-11-16,94.0,24.0
2019-11-17,2019-11-23,174.0,-29.8
2019-11-24,2019-11-30,-126.0,-50.2
2019-12-01,2019-12-07,-48.0,-32.2
2019-12-08,2019-12-14,138.0,31.0
2019-12-15,2019-12-21,-60.0,41.0
2019-12-22,2019-12-28,-100.0,-19.6
2019-12-29,2020-01-04,134.0,29.6
2020-01-05,2020-01-11,134.0,-25.8
2020-01-12,2020-01-18,144.0,46.0
2020-01-19,2020-01-25,-30.0,-10.0
2020-01-26,2020-02-01,22.0,-83.6
2020-02-02,2020-02-08,68.0,-86.2
2020-02-09,2020-02-15,-772.0,-64.0
2020-02-16,2020-02-22,-383.2,8.2
2020-02-23,2020-02-29,-299.5,-132.4
2020-03-01,2020-03-07,-299.0,-52.0
2020-03-08,2020-03-14,-228.0,-283.75
2020-03-15,2020-03-21,502.0,39.6
2020-03-22,2020-03-28,-132.0,214.4
2020-03-29,2020-04-04,101.0,-109.0
2020-04-05,2020-04-11,-87.66666666666669,184.33333333333334
2020-04-12,2020-04-18,45.2,-31.666666666666668
2020-04-19,2020-04-25,118.66666666666669,43.8
2020-04-26,2020-05-02,643.6,422.0
2020-05-03,2020-05-09,224.0,36.8
2020-05-10,2020-05-16,38.0,-52.8
2020-05-17,2020-05-23,-42.5,100.4
2020-05-24,2020-05-30,-174.0,-76.75
2020-05-31,2020-06-06,30.0,93.0
2020-06-07,2020-06-13,158.0,-123.0
2020-06-14,2020-06-20,98.0,65.4
2020-06-21,2020-06-27,406.00006103515625,-110.4
2020-06-28,2020-07-04,43.99993896484375,68.40003051757813
2020-07-05,2020-07-11,-472.0,-218.00003051757812
2020-07-12,2020-07-18,188.0,174.2
2020-07-19,2020-07-25,-40.0,-22.4
