first_day_in_week,last_day_in_week,DANE_main_symb_weekly_mean_diff,SANO1.TA_weekly_mean_diff_0.39
2019-03-10,2019-03-16,176.0,18.0
2019-03-17,2019-03-23,-178.0,-6.0
2019-03-24,2019-03-30,148.0,-2.0
2019-03-31,2019-04-06,-2.0,-102.0
2019-04-07,2019-04-13,66.0,-16.0
2019-04-14,2019-04-20,148.0,-32.0
2019-04-21,2019-04-27,-44.0,106.0
2019-04-28,2019-05-04,22.0,16.0
2019-05-05,2019-05-11,-46.0,-8.0
2019-05-12,2019-05-18,128.0,-52.0
2019-05-19,2019-05-25,92.0,72.0
2019-05-26,2019-06-01,18.0,106.0
2019-06-02,2019-06-08,-194.0,26.0
2019-06-09,2019-06-15,442.0,40.0
2019-06-16,2019-06-22,-18.0,92.0
2019-06-23,2019-06-29,-26.0,-24.0
2019-06-30,2019-07-06,66.0,30.0
2019-07-07,2019-07-13,50.0,18.0
2019-07-14,2019-07-20,158.0,36.0
2019-07-21,2019-07-27,-48.0,18.0
2019-07-28,2019-08-03,-102.0,-12.0
2019-08-04,2019-08-10,-20.0,28.0
2019-08-11,2019-08-17,212.0,68.0
2019-08-18,2019-08-24,-58.0,4.0
2019-08-25,2019-08-31,-136.0,-22.0
2019-09-01,2019-09-07,182.0,6.0
2019-09-08,2019-09-14,-217.5,-42.0
2019-09-15,2019-09-21,-20.0,-22.5
2019-09-22,2019-09-28,225.0,20.0
2019-09-29,2019-10-05,776.6666666666665,185.0
2019-10-06,2019-10-12,-70.0,196.66666666666666
2019-10-13,2019-10-19,-50.0,110.0
2019-10-20,2019-10-26,-64.0,63.333333333333336
2019-10-27,2019-11-02,80.0,-20.0
2019-11-03,2019-11-09,94.0,-98.0
2019-11-10,2019-11-16,236.0,80.0
2019-11-17,2019-11-23,780.0,30.0
2019-11-24,2019-11-30,-164.0,170.0
2019-12-01,2019-12-07,390.0,112.0
2019-12-08,2019-12-14,96.0,-100.0
2019-12-15,2019-12-21,176.0,-174.0
2019-12-22,2019-12-28,-314.0,-86.0
2019-12-29,2020-01-04,-28.0,80.0
2020-01-05,2020-01-11,-92.0,130.0
2020-01-12,2020-01-18,-34.0,-12.0
2020-01-19,2020-01-25,134.0,56.0
2020-01-26,2020-02-01,232.0,-144.0
2020-02-02,2020-02-08,-160.0,-78.0
2020-02-09,2020-02-15,58.0,-30.0
2020-02-16,2020-02-22,-460.0,180.0
2020-02-23,2020-02-29,-502.5,-360.0
2020-03-01,2020-03-07,-1150.0,102.5
2020-03-08,2020-03-14,-392.0,-690.0
2020-03-15,2020-03-21,396.0,40.0
2020-03-22,2020-03-28,-100.0,214.0
2020-03-29,2020-04-04,143.33333333333334,236.0
2020-04-05,2020-04-11,653.3333333333334,176.66666666666666
2020-04-12,2020-04-18,606.0,643.3333333333334
2020-04-19,2020-04-25,796.6666666666665,446.0
2020-04-26,2020-05-02,178.0,-26.666666666666668
2020-05-03,2020-05-09,-648.0,-294.0
2020-05-10,2020-05-16,846.0,-78.0
2020-05-17,2020-05-23,550.0,270.0
2020-05-24,2020-05-30,80.0,-5.0
2020-05-31,2020-06-06,185.0,-12.0
2020-06-07,2020-06-13,-126.0,5.0
2020-06-14,2020-06-20,-620.0,-8.0
2020-06-21,2020-06-27,-220.0,-270.0
2020-06-28,2020-07-04,352.0,-63.999877929688225
2020-07-05,2020-07-11,-12.0,97.99987792968822
2020-07-12,2020-07-18,190.0,-56.0
2020-07-19,2020-07-25,115.0,22.0
