first_day_in_week,last_day_in_week,DCMA_main_symb_weekly_mean_diff,GKL.TA_weekly_mean_diff_0.35
2019-03-24,2019-03-30,-0.7199996948242188,-1.4600006103515626
2019-03-31,2019-04-06,1.2,-0.7600006103515625
2019-04-07,2019-04-13,1.1399993896484375,1.5
2019-04-14,2019-04-20,1.5800003051757812,0.2
2019-04-21,2019-04-27,0.5,-0.5600006103515625
2019-04-28,2019-05-04,-1.2600006103515595,-0.4199981689453125
2019-05-05,2019-05-11,-2.0799987792968784,0.079998779296875
2019-05-12,2019-05-18,1.959999084472656,0.5399993896484375
2019-05-19,2019-05-25,0.0,0.6
2019-05-26,2019-06-01,-1.6,-0.079998779296875
2019-06-02,2019-06-08,-0.21999969482421874,2.9
2019-06-09,2019-06-15,-1.1399993896484375,1.2
2019-06-16,2019-06-22,1.2,-0.3800018310546818
2019-06-23,2019-06-29,-0.28000030517578123,-1.5799987792968806
2019-06-30,2019-07-06,-1.0199996948242187,-0.279998779296875
2019-07-07,2019-07-13,0.279998779296875,-0.4800018310546875
2019-07-14,2019-07-20,0.1600006103515625,-0.379998779296875
2019-07-21,2019-07-27,-1.1,0.4
2019-07-28,2019-08-03,-1.6,-0.9600006103515625
2019-08-04,2019-08-10,-0.01999969482421875,1.4600006103515626
2019-08-11,2019-08-17,2.2199996948242187,0.6
2019-08-18,2019-08-24,-0.7399993896484375,0.36000061035155684
2019-08-25,2019-08-31,-0.08000030517578123,0.4
2019-09-01,2019-09-07,0.5399993896484375,-0.04000244140623863
2019-09-08,2019-09-14,0.8000011444091797,-0.019998168945318185
2019-09-15,2019-09-21,-2.120001220703125,-0.22500228881835227
2019-09-22,2019-09-28,-2.6999969482421875,-0.1399993896484432
2019-09-29,2019-10-05,-4.666667938232422,-4.150001525878906
2019-10-06,2019-10-12,0.4666671752929688,-0.8666636149088541
2019-10-13,2019-10-19,0.733333587646482,1.1000010172526042
2019-10-20,2019-10-26,0.6799995422363295,1.633331298828125
2019-10-27,2019-11-02,0.040000152587890615,-0.7600006103515625
2019-11-03,2019-11-09,0.2,0.3600006103515625
2019-11-10,2019-11-16,0.01999969482421875,0.2600006103515625
2019-11-17,2019-11-23,-0.21999969482421874,-2.6399993896484375
2019-11-24,2019-11-30,0.15999984741210938,0.2199981689453125
2019-12-01,2019-12-07,-0.5400001525878906,-1.0
2019-12-08,2019-12-14,-0.2799995422363281,-1.6
2019-12-15,2019-12-21,-0.040000152587890615,-1.8199981689453124
2019-12-22,2019-12-28,0.4599998474121094,0.479998779296875
2019-12-29,2020-01-04,0.059999847412109376,-0.3600006103515625
2020-01-05,2020-01-11,-0.21999969482421874,-0.6199981689453125
2020-01-12,2020-01-18,0.7400001525878906,2.979998779296875
2020-01-19,2020-01-25,-0.040000152587890615,-1.3
2020-01-26,2020-02-01,-0.5,-0.120001220703125
2020-02-02,2020-02-08,-0.1,-1.2199981689453125
2020-02-09,2020-02-15,0.1,-0.620001220703125
2020-02-16,2020-02-22,-0.3,0.6800018310546875
2020-02-23,2020-02-29,-0.625,0.5399993896484375
2020-03-01,2020-03-07,-0.7749996185302752,-0.8500022888183594
2020-03-08,2020-03-14,-0.5800003051757798,-6.44999885559082
2020-03-15,2020-03-21,-1.4400001525878907,-8.4
2020-03-22,2020-03-28,0.4400001525878906,-0.01999969482421875
2020-03-29,2020-04-04,1.0,1.9399993896484375
2020-04-05,2020-04-11,0.8333333333333334,0.40000152587890625
2020-04-12,2020-04-18,0.5,2.0333328247070312
2020-04-19,2020-04-25,-0.4000002543131511,-3.4
2020-04-26,2020-05-02,0.4,1.3999989827473958
2020-05-03,2020-05-09,-0.3599998474121094,-0.6399993896484375
2020-05-10,2020-05-16,-0.15999984741210938,-0.8199996948242188
2020-05-17,2020-05-23,-0.3000001907348633,-0.4
2020-05-24,2020-05-30,-0.28000030517578123,-0.05000114440917969
2020-05-31,2020-06-06,0.05000019073486328,0.5400009155273438
2020-06-07,2020-06-13,-0.8599998474121093,-0.5750007629394531
2020-06-14,2020-06-20,-0.8400001525878906,-0.6399993896484404
2020-06-21,2020-06-27,1.4400000333785996,-1.8400001525878877
2020-06-28,2020-07-04,0.5599999666214004,-1.4399996280670166
2020-07-05,2020-07-11,0.1,-0.7400006771087646
2020-07-12,2020-07-18,-0.3400001525878906,1.6800003051757812
2020-07-19,2020-07-25,0.7750005722045898,0.15999984741210938
