first_day_in_week,last_day_in_week,SEFA_main_symb_weekly_mean_diff,PTX.TA_weekly_mean_diff_0.46
2019-03-10,2019-03-16,54.19999694824219,-0.5799995422363281
2019-03-17,2019-03-23,-21.199996948242188,0.0
2019-03-24,2019-03-30,-7.599998474121094,-0.6599998474121094
2019-03-31,2019-04-06,-1.8000030517578125,-1.0200004577636705
2019-04-07,2019-04-13,-14.799995422363294,0.22000045776367044
2019-04-14,2019-04-20,-11.600006103515625,-0.04000015258789062
2019-04-21,2019-04-27,-8.399993896484363,-0.24000015258789062
2019-04-28,2019-05-04,2.3999938964843635,-0.21999969482421874
2019-05-05,2019-05-11,12.400001525878913,0.11999969482421875
2019-05-12,2019-05-18,-6.0,-0.08000030517578267
2019-05-19,2019-05-25,1.8000030517578125,0.04000015258789347
2019-05-26,2019-06-01,4.599998474121094,0.1400001525878892
2019-06-02,2019-06-08,-2.8000030517578245,-0.7599998474121101
2019-06-09,2019-06-15,-9.399993896484363,0.0799999237060561
2019-06-16,2019-06-22,9.199996948242188,-0.24000015258789134
2019-06-23,2019-06-29,-6.0,0.16000022888183524
2019-06-30,2019-07-06,-7.400001525878906,0.3199996948242202
2019-07-07,2019-07-13,4.200004577636719,-0.41999969482422017
2019-07-14,2019-07-20,-8.0,0.03999977111816477
2019-07-21,2019-07-27,5.599998474121094,-0.5399997711181648
2019-07-28,2019-08-03,0.7999954223632699,0.01999969482422017
2019-08-04,2019-08-10,0.20000457763673013,-1.0199996948242194
2019-08-11,2019-08-17,-1.2000045776367299,-0.2
2019-08-18,2019-08-24,-0.5999984741210824,0.3599998474121094
2019-08-25,2019-08-31,-0.5999984741210938,-0.1799999237060547
2019-09-01,2019-09-07,-1.5999984741210938,0.059999847412109376
2019-09-08,2019-09-14,5.0,-0.039999771118164065
2019-09-15,2019-09-21,-6.200004577636719,-0.5750002861022949
2019-09-22,2019-09-28,9.999999999999973,-0.07999992370605469
2019-09-29,2019-10-05,-2.9999923706054497,-0.19999980926513672
2019-10-06,2019-10-12,0.0,0.2999998728434245
2019-10-13,2019-10-19,-9.00000254313151,0.09999974568684895
2019-10-20,2019-10-26,-3.0,-0.2666664123535156
2019-10-27,2019-11-02,-1.2000007629394531,0.07999992370605469
2019-11-03,2019-11-09,-5.200000762939442,1.0
2019-11-10,2019-11-16,1.80000305175779,-0.3
2019-11-17,2019-11-23,1.19999694824221,-0.03999977111816477
2019-11-24,2019-11-30,4.400001525878895,-0.14000015258788992
2019-12-01,2019-12-07,-0.4000015258788949,-0.3
2019-12-08,2019-12-14,-8.599998474121103,-0.3
2019-12-15,2019-12-21,1.0,0.12000007629394531
2019-12-22,2019-12-28,3.799999237060547,-0.04000015258789062
2019-12-29,2020-01-04,3.3999977111816286,0.04000015258789062
2020-01-05,2020-01-11,-2.999996185302712,-0.12000007629394531
2020-01-12,2020-01-18,-5.799999237060571,0.2799999237060547
2020-01-19,2020-01-25,0.5999984741211051,0.12000007629394531
2020-01-26,2020-02-01,0.7999992370605469,0.1799999237060547
2020-02-02,2020-02-08,-1.0,0.0
2020-02-09,2020-02-15,-4.200000762939442,0.2799999237060554
2020-02-16,2020-02-22,1.80000305175779,0.0
2020-02-23,2020-02-29,1.749997138977065,-0.3599998474121101
2020-03-01,2020-03-07,-5.0,-0.4250001907348633
2020-03-08,2020-03-14,-3.3999977111816464,-1.5999999046325684
2020-03-15,2020-03-21,1.1999969482421988,-0.4
2020-03-22,2020-03-28,-2.3999977111816406,-0.13999996185302735
2020-03-29,2020-04-04,-3.666667938232431,0.33999996185302733
2020-04-05,2020-04-11,0.9999974568684992,0.16666666666666666
2020-04-12,2020-04-18,-1.0000000000000058,-0.4333330790201823
2020-04-19,2020-04-25,53.16599782307944,18.779999923706054
2020-04-26,2020-05-02,0.6,1.6666666666666667
2020-05-03,2020-05-09,-1.1395996093749887,1.0800003051757812
2020-05-10,2020-05-16,2.5200012207031137,1.1399993896484375
2020-05-17,2020-05-23,-6.424995422363281,-5.289959716796875
2020-05-24,2020-05-30,2.6199951171875115,-2.597475051879883
2020-05-31,2020-06-06,-10.699996948242203,-4.152059936523438
2020-06-07,2020-06-13,-9.6,0.350000381469723
2020-06-14,2020-06-20,-2.0200012207031137,-0.9400001525878878
2020-06-21,2020-06-27,-13.780000686645517,0.15999984741210938
2020-06-28,2020-07-04,2.4000019073486327,0.04000015258789062
2020-07-05,2020-07-11,-3.2200012207031192,0.3
2020-07-12,2020-07-18,50.32000122070313,-0.8599998474121108
2020-07-19,2020-07-25,-15.599998474121096,-0.22000045776367044
