first_day_in_week,last_day_in_week,TLSY_main_symb_weekly_mean_diff,SHGR.TA_weekly_mean_diff_0.36
2019-03-10,2019-03-16,-6.0,4.6
2019-03-17,2019-03-23,70.0,27.8
2019-03-24,2019-03-30,83.2,-8.6
2019-03-31,2019-04-06,12.2,15.2
2019-04-07,2019-04-13,-49.0,1.0
2019-04-14,2019-04-20,14.2,-1.0
2019-04-21,2019-04-27,-48.6,4.4
2019-04-28,2019-05-04,-0.6,-14.4
2019-05-05,2019-05-11,68.8,3.4
2019-05-12,2019-05-18,-13.8,-3.2
2019-05-19,2019-05-25,-20.4,-17.8
2019-05-26,2019-06-01,35.0,6.8
2019-06-02,2019-06-08,-67.2,3.6
2019-06-09,2019-06-15,27.2,8.0
2019-06-16,2019-06-22,13.2,3.4
2019-06-23,2019-06-29,-3.8,-2.2
2019-06-30,2019-07-06,10.8,-6.0
2019-07-07,2019-07-13,5.8,-5.2
2019-07-14,2019-07-20,74.4,4.0
2019-07-21,2019-07-27,-9.4,-14.8
2019-07-28,2019-08-03,36.4,-10.6
2019-08-04,2019-08-10,-20.2,-0.2
2019-08-11,2019-08-17,44.6,-3.4
2019-08-18,2019-08-24,102.0,17.4
2019-08-25,2019-08-31,104.0,11.2
2019-09-01,2019-09-07,129.8,-12.6
2019-09-08,2019-09-14,3.0,8.4
2019-09-15,2019-09-21,-46.2,-4.5
2019-09-22,2019-09-28,-298.5,5.2
2019-09-29,2019-10-05,-24.0,-6.0
2019-10-06,2019-10-12,169.0,8.333333333333334
2019-10-13,2019-10-19,34.666666666666664,17.333333333333332
2019-10-20,2019-10-26,-2.2,-7.666666666666667
2019-10-27,2019-11-02,81.4,-5.6
2019-11-03,2019-11-09,2.2,-1.8
2019-11-10,2019-11-16,-15.0,-6.2
2019-11-17,2019-11-23,-27.0,2.2
2019-11-24,2019-11-30,-96.6,-21.6
2019-12-01,2019-12-07,85.0,-1.0
2019-12-08,2019-12-14,-7.8,-0.4
2019-12-15,2019-12-21,65.4,13.0
2019-12-22,2019-12-28,220.4,-1.4
2019-12-29,2020-01-04,62.0,5.0
2020-01-05,2020-01-11,-34.2,7.8
2020-01-12,2020-01-18,-120.4,-4.2
2020-01-19,2020-01-25,-25.8,2.4
2020-01-26,2020-02-01,-11.6,-9.8
2020-02-02,2020-02-08,-70.6,-17.2
2020-02-09,2020-02-15,-8.2,14.8
2020-02-16,2020-02-22,-164.8,-8.8
2020-02-23,2020-02-29,-52.0,-20.0
2020-03-01,2020-03-07,-349.5,-31.074996948242188
2020-03-08,2020-03-14,45.2,-38.67500305175781
2020-03-15,2020-03-21,129.2,17.15999755859375
2020-03-22,2020-03-28,-2.4,35.84000244140625
2020-03-29,2020-04-04,66.66666666666667,3.4
2020-04-05,2020-04-11,34.333333333333336,-7.666666666666667
2020-04-12,2020-04-18,-34.0,8.0
2020-04-19,2020-04-25,149.66666666666666,19.8
2020-04-26,2020-05-02,68.4,12.333333333333334
2020-05-03,2020-05-09,-21.0,-10.2
2020-05-10,2020-05-16,34.8,-15.8
2020-05-17,2020-05-23,-7.25,14.0
2020-05-24,2020-05-30,92.0,-11.5
2020-05-31,2020-06-06,198.5,2.2
2020-06-07,2020-06-13,-87.6,-11.75
2020-06-14,2020-06-20,-137.6,-22.6
2020-06-21,2020-06-27,26.4,9.2
2020-06-28,2020-07-04,-22.0,3.400002288818359
2020-07-05,2020-07-11,42.0,-3.2000022888183595
2020-07-12,2020-07-18,102.2,45.0
2020-07-19,2020-07-25,-18.0,16.8
