first_day_in_week,last_day_in_week,EXEN_main_symb_weekly_mean_diff,MISH.TA_weekly_mean_diff_0.37,PLTF.TA_weekly_mean_diff_0.44
2019-03-03,2019-03-09,1.8,27.6,-2.3400009155273436
2019-03-10,2019-03-16,-2.5199951171875,134.8,0.18000030517578125
2019-03-17,2019-03-23,-7.6,-6.8,2.1399993896484375
2019-03-24,2019-03-30,-11.2800048828125,-34.0,-2.3399993896484377
2019-03-31,2019-04-06,-5.05999755859375,-21.8,5.239999389648441
2019-04-07,2019-04-13,-2.74000244140625,-19.8,1.3
2019-04-14,2019-04-20,-4.54000244140625,-40.6,-2.2
2019-04-21,2019-04-27,-3.9199951171875,20.8,0.3400009155273409
2019-04-28,2019-05-04,5.2,-33.0,-3.8
2019-05-05,2019-05-11,-3.0,-34.8,0.45999908447265625
2019-05-12,2019-05-18,1.9199951171875,-53.6,-2.9399993896484373
2019-05-19,2019-05-25,-6.55999755859375,34.6,-1.2599998474121095
2019-05-26,2019-06-01,-7.640002441406227,-5.0,0.2799995422363281
2019-06-02,2019-06-08,-1.0400024414062727,-31.2,-0.7199996948242188
2019-06-09,2019-06-15,-2.2199951171875,-4.4,-1.5400001525878906
2019-06-16,2019-06-22,-8.75999755859375,6.0,0.059999847412109376
2019-06-23,2019-06-29,-5.34000244140625,8.6,1.1
2019-06-30,2019-07-06,11.6,198.4,0.3400001525878906
2019-07-07,2019-07-13,19.64000244140625,16.4,0.4400001525878906
2019-07-14,2019-07-20,-13.05999755859375,-39.0,0.04000015258789062
2019-07-21,2019-07-27,-6.860003662109375,30.2,-1.8599998474121109
2019-07-28,2019-08-03,7.160003662109375,6.6,0.21999969482422016
2019-08-04,2019-08-10,4.0199951171875,-22.4,-2.4
2019-08-11,2019-08-17,-29.0,-52.6,-0.18000030517578125
2019-08-18,2019-08-24,-9.879998779296878,74.0,-0.37999954223632815
2019-08-25,2019-08-31,-2.360003662109375,-19.8,-0.020000457763671875
2019-09-01,2019-09-07,-3.3,-11.2,0.04000015258789062
2019-09-08,2019-09-14,-5.774993896484375,21.8,-0.9799995422363281
2019-09-15,2019-09-21,-5.64000244140625,-27.75,-0.17500019073486506
2019-09-22,2019-09-28,-10.5,-8.6,0.0599998474121108
2019-09-29,2019-10-05,-7.7666676839192705,-64.0,-0.3500003814697248
2019-10-06,2019-10-12,-3.5,19.333333333333332,-0.133333206176759
2019-10-13,2019-10-19,3.733332316080739,25.0,0.6333332061767601
2019-10-20,2019-10-26,-5.459997558593762,-8.666666666666666,-0.8333333333333345
2019-10-27,2019-11-02,10.299999999999994,25.2,0.1200000762939446
2019-11-03,2019-11-09,-5.140002441406233,-80.0,0.1
2019-11-10,2019-11-16,1.9600036621093693,-20.0,0.6000003814697266
2019-11-17,2019-11-23,-1.4600036621093693,43.6,-0.6400001525878913
2019-11-24,2019-11-30,-4.119998168945319,19.4,0.059999847412110084
2019-12-01,2019-12-07,0.2600006103515568,-60.2,1.6199996948242188
2019-12-08,2019-12-14,3.8,-12.8,-0.8799995422363281
2019-12-15,2019-12-21,3.5200012207031306,51.4,-0.1
2019-12-22,2019-12-28,5.579998779296875,-10.4,-0.24000015258789062
2019-12-29,2020-01-04,-4.000000000000012,4.2,0.1400001525878892
2020-01-05,2020-01-11,2.1200012207031365,-63.8,-0.32000045776367186
2020-01-12,2020-01-18,15.0,-9.8,0.04000015258789347
2020-01-19,2020-01-25,-3.94000244140625,140.8,0.2400001525878892
2020-01-26,2020-02-01,-5.9,-15.8,-0.11999969482421875
2020-02-02,2020-02-08,9.1,-16.4,5.459999847412109
2020-02-09,2020-02-15,45.54000244140625,214.4,11.199999237060549
2020-02-16,2020-02-22,-0.22000732421875,-1.8,-2.5399993896484405
2020-02-23,2020-02-29,0.0250091552734375,-128.8,-5.239999389648437
2020-03-01,2020-03-07,-5.475006103515597,-121.5,0.27499961853027344
2020-03-08,2020-03-14,-4.619995117187544,-319.75,-4.40000057220459
2020-03-15,2020-03-21,-0.6400024414062273,10.2,-2.4400001525878907
2020-03-22,2020-03-28,3.3199951171875,42.4,0.4600006103515611
2020-03-29,2020-04-04,8.633341471354166,109.6,-1.6200004577636704
2020-04-05,2020-04-11,0.8333333333333334,-29.0,1.0333340962727842
2020-04-12,2020-04-18,2.0199951171875,-130.33333333333334,1.5
2020-04-19,2020-04-25,2.0333455403645835,-42.6,0.23999938964843892
2020-04-26,2020-05-02,0.0,191.66666666666666,1.7000007629394531
