first_day_in_week,last_day_in_week,YAAC_main_symb_weekly_mean_diff,SRFT.TA_weekly_mean_diff_0.37,CAST.TA_weekly_mean_diff_0.42,KARE.TA_weekly_mean_diff_0.42
2019-03-10,2019-03-16,-0.25999908447265624,10.380004882812477,31.4,-0.020001220703125
2019-03-17,2019-03-23,-0.5,0.4399902343750455,11.0,1.1800018310546818
2019-03-24,2019-03-30,-1.120001220703125,0.8,-158.2,-0.4600006103515568
2019-03-31,2019-04-06,0.220001220703125,-11.539990234375045,65.6,0.1399993896484375
2019-04-07,2019-04-13,0.379998779296875,18.11999511718752,24.6,-0.6200012207031194
2019-04-14,2019-04-20,0.1600006103515625,14.0,-73.6,-3.6799987792968807
2019-04-21,2019-04-27,0.4199996948242187,0.0,3.8,0.079998779296875
2019-04-28,2019-05-04,0.0,-1.4,5.4,1.320001220703125
2019-05-05,2019-05-11,0.24000091552734376,-2.6,-6.2,-0.5399993896484375
2019-05-12,2019-05-18,1.0999999999999972,-1.2,-3.0,-0.720001220703125
2019-05-19,2019-05-25,-0.1400009155273409,5.2,-47.8,0.9399993896484432
2019-05-26,2019-06-01,-0.5800003051757813,5.8,-149.6,-0.7399993896484431
2019-06-02,2019-06-08,-0.05999908447265625,-1.8,-32.6,0.5600006103515625
2019-06-09,2019-06-15,-0.28000030517578123,-1.4,-22.0,1.0
2019-06-16,2019-06-22,-0.3399993896484375,2.6,31.2,1.7799987792968808
2019-06-23,2019-06-29,-0.44000091552734377,1.8,-19.4,-2.159997558593761
2019-06-30,2019-07-06,-1.0399993896484374,1.0,1.0,1.719998168945318
2019-07-07,2019-07-13,-1.2400009155273437,2.8,14.6,-0.8600006103515568
2019-07-14,2019-07-20,1.220001220703125,33.0,17.6,1.3400024414062386
2019-07-21,2019-07-27,-0.4800003051757813,17.8,-20.8,0.9
2019-07-28,2019-08-03,0.28000030517578123,4.2,-54.4,-1.780001831054682
2019-08-04,2019-08-10,-0.14000091552734376,-15.4,-29.6,-0.0399993896484375
2019-08-11,2019-08-17,0.14000091552734376,16.4,-16.4,0.8600006103515625
2019-08-18,2019-08-24,0.4599990844726562,37.2,62.2,2.679998779296875
2019-08-25,2019-08-31,0.9600006103515624,-12.6,15.0,1.1399993896484433
2019-09-01,2019-09-07,-0.5400009155273438,4.2,-55.8,3.340002441406239
2019-09-08,2019-09-14,0.0,14.2,-16.0,-1.5200012207031193
2019-09-15,2019-09-21,0.0,13.5,18.5,-2.025001525878899
2019-09-22,2019-09-28,-2.3499984741210938,0.6,-14.0,0.2
2019-09-29,2019-10-05,0.5,11.5,-64.5,1.5500030517577983
2019-10-06,2019-10-12,0.2333323160807292,11.666666666666666,31.666666666666668,0.6666666666666666
2019-10-13,2019-10-19,-0.1999994913736979,7.666666666666667,-1.6666666666666667,1.4333343505859375
2019-10-20,2019-10-26,0.4199996948242187,6.333333333333333,139.66666666666666,-0.3333333333333333
