first_day_in_week,last_day_in_week,YAAC_main_symb_weekly_mean_diff,SRFT.TA_weekly_mean_diff_0.37,CAST.TA_weekly_mean_diff_0.42,KARE.TA_weekly_mean_diff_0.42
2019-10-27,2019-11-02,0.5,-6.2,7.8,-1.1399993896484433
2019-11-03,2019-11-09,-1.1399993896484375,-4.6,11.2,-1.1600006103515568
2019-11-10,2019-11-16,0.01999969482421875,-23.6,-44.4,0.9399993896484375
2019-11-17,2019-11-23,-0.8599990844726563,16.0,-10.2,0.5399993896484375
2019-11-24,2019-11-30,-1.6400009155273407,21.8,-87.2,-0.179998779296875
2019-12-01,2019-12-07,-1.3199996948242216,-25.0,-132.8,-3.280001831054682
2019-12-08,2019-12-14,-1.91999969482422,-25.6,-32.0,2.4200012207031194
2019-12-15,2019-12-21,-0.8600006103515611,1.2,-14.4,-0.6399993896484375
2019-12-22,2019-12-28,-0.5599998474121094,-9.2,-49.8,3.460000610351557
2019-12-29,2020-01-04,0.2,21.8,61.0,6.179998779296881
2020-01-05,2020-01-11,1.2,8.4,-10.6,2.620001220703114
2020-01-12,2020-01-18,-0.1400001525878906,30.6,1.8,3.2200012207031365
2020-01-19,2020-01-25,-0.8,6.0,-10.0,2.15999755859375
2020-01-26,2020-02-01,-0.7799995422363282,-28.8,-22.2,-3.85999755859375
2020-02-02,2020-02-08,-0.28000030517578123,-17.4,-34.2,-0.54000244140625
2020-02-09,2020-02-15,-0.5599998474121094,14.4,0.4,0.0
2020-02-16,2020-02-22,0.2,20.6,-34.8,-1.1200012207031136
2020-02-23,2020-02-29,-0.3000001907348633,-17.4,-22.8,-4.839999389648449
2020-03-01,2020-03-07,-2.049999713897704,-45.25,-76.75,-6.875
2020-03-08,2020-03-14,-0.32000007629394606,-91.75,-179.0,-12.25
2020-03-15,2020-03-21,-0.5,-22.0,-12.4,-6.119998168945313
2020-03-22,2020-03-28,0.32000007629394606,-9.6,127.8,6.319998168945313
2020-03-29,2020-04-04,0.5,16.4,28.4,-1.5399993896484374
2020-04-05,2020-04-11,2.4999993642171194,65.33333333333333,144.33333333333334,11.799997965494802
2020-04-12,2020-04-18,-0.21999969482421733,32.666666666666664,42.333333333333336,1.3333333333333333
2020-04-19,2020-04-25,0.7666664123535156,0.2,-47.0,0.8800018310546818
2020-04-26,2020-05-02,2.5800003051757807,1.6666666666666667,20.0,5.833333333333333
2020-05-03,2020-05-09,-1.4,-61.2,-45.4,-6.8600006103515625
2020-05-10,2020-05-16,-0.3599998474121094,4.8,-96.4,1.3399993896484375
2020-05-17,2020-05-23,-0.6750001907348633,-1.6,14.2,0.5800018310546818
2020-05-24,2020-05-30,0.8799995422363281,6.5,-21.75,-0.40000152587889914
2020-05-31,2020-06-06,-1.599999427795412,15.6,-9.2,-3.2799987792968808
2020-06-07,2020-06-13,-0.18000030517577842,11.0,-9.75,5.824996948242202
2020-06-14,2020-06-20,0.18000030517577842,-2.6,3.6,-1.3199981689453182
2020-06-21,2020-06-27,0.15999963283539104,17.8,-9.8,-1.5800018310546817
2020-06-28,2020-07-04,-0.23999993801116945,10.400007629394532,-22.999989318847746,0.040001201629632985
2020-07-05,2020-07-11,0.35999984741210794,-31.00000762939453,-27.400010681152253,-2.9199999809265136
2020-07-12,2020-07-18,0.5400001525878906,25.6,-16.2,6.120001220703119
2020-07-19,2020-07-25,-0.4499998092651367,-7.8,-19.6,0.8
