first_day_in_week,last_day_in_week,MCTC_main_symb_weekly_mean_diff,BRAM.TA_weekly_mean_diff_0.4,SEFA.TA_weekly_mean_diff_0.48,BCOM.TA_weekly_mean_diff_-0.49
2019-03-10,2019-03-16,-1.1999969482421875,0.920001220703125,4.800003051757824,-34.8
2019-03-17,2019-03-23,101.5999984741211,5.25999755859375,54.19999694824219,-149.6
2019-03-24,2019-03-30,7.199996948242188,1.160003662109375,-21.199996948242188,-4.3
2019-03-31,2019-04-06,9.800003051757812,-0.360003662109375,-7.599998474121094,-24.5
2019-04-07,2019-04-13,1.1999969482421875,-1.35999755859375,-1.8000030517578125,15.24000244140625
2019-04-14,2019-04-20,-7.0,2.55999755859375,-14.799995422363292,-9.82000732421875
2019-04-21,2019-04-27,-34.39999389648437,4.060003662109375,-11.600006103515625,9.360009765625
2019-04-28,2019-05-04,6.199996948242188,-2.920001220703125,-8.399993896484364,-8.2800048828125
2019-05-05,2019-05-11,-39.80000305175781,-3.2,2.3999938964843635,0.5800048828125
2019-05-12,2019-05-18,13.199996948242188,-5.0,12.400001525878917,-11.5
2019-05-19,2019-05-25,-15.0,0.15999755859375,-6.0,-13.1800048828125
2019-05-26,2019-06-01,-6.0,-0.739996337890625,1.8000030517578125,-19.540002441406237
2019-06-02,2019-06-08,-3.0,-0.74000244140625,4.599998474121094,3.2
2019-06-09,2019-06-15,-5.999992370605469,-0.720001220703125,-2.800003051757824,23.899999999999988
2019-06-16,2019-06-22,12.400001525878904,-0.1,-9.399993896484364,15.3
2019-06-23,2019-06-29,-11.000000000000023,1.460003662109375,9.199996948242188,-9.25999755859375
2019-06-30,2019-07-06,-10.600006103515623,0.039996337890625,-6.0,-18.959997558593773
2019-07-07,2019-07-13,0.600006103515625,-0.2,-7.400001525878906,4.840002441406273
2019-07-14,2019-07-20,-5.0,-0.079998779296875,4.200004577636719,6.1199951171875
2019-07-21,2019-07-27,-11.400001525878885,-4.9,-8.0,-6.759997558593772
2019-07-28,2019-08-03,2.7999954223632586,0.55999755859375,5.599998474121094,-12.040002441406227
2019-08-04,2019-08-10,-6.9999999999999885,-2.0799987792968637,0.7999954223632699,-4.420001220703125
2019-08-11,2019-08-17,-9.0,-5.119998168945324,0.20000457763673013,-9.339996337890625
2019-08-18,2019-08-24,-2.7999954223632697,0.1399993896484375,-1.20000457763673,10.919995117187511
2019-08-25,2019-08-31,-2.5999984741210938,-1.4,-0.5999984741210824,-10.439996337890637
2019-09-01,2019-09-07,-6.200004577636719,2.120001220703119,-0.5999984741210938,-2.74000244140625
2019-09-08,2019-09-14,2.2500038146972656,8.77999877929688,-1.5999984741210938,3.960003662109375
2019-09-15,2019-09-21,13.799995422363269,-2.8000030517578125,5.0,-1.2250061035156108
2019-09-22,2019-09-28,9.000015258789062,4.1800048828125,-6.200004577636719,4.6600036621093635
2019-09-29,2019-10-05,3.333333333333333,-2.3000030517578125,9.999999999999972,-3.400009155273409
2019-10-06,2019-10-12,-16.66666666666665,-2.100006103515625,-2.9999923706054497,-3.399993896484394
2019-10-13,2019-10-19,-9.00000254313151,2.4666748046875,0.0,5.866668701171875
2019-10-20,2019-10-26,9.0,-0.100006103515625,-9.00000254313151,-5.200002034505208
2019-10-27,2019-11-02,-6.400001525878906,-0.639996337890625,-3.0,-4.1
2019-11-03,2019-11-09,1.8000030517578125,-2.7800048828125,-1.2000007629394531,30.260003662109376
2019-11-10,2019-11-16,1.5999984741210938,1.260003662109375,-5.200000762939442,12.3
2019-11-17,2019-11-23,-1.0,1.85999755859375,1.8000030517577899,-9.82000732421875
2019-11-24,2019-11-30,-5.0,0.5,1.1999969482422101,4.6800048828125
2019-12-01,2019-12-07,7.599998474121094,-0.479998779296875,4.400001525878895,10.0199951171875
2019-12-08,2019-12-14,-2.1999969482421875,1.4,-0.40000152587889487,-2.87999267578125
2019-12-15,2019-12-21,3.1999969482421875,-0.2,-8.599998474121104,-12.3800048828125
2019-12-22,2019-12-28,-2.4000015258789062,0.220001220703125,1.0,14.2800048828125
2019-12-29,2020-01-04,7.400001525878906,3.639996337890625,3.799999237060547,-5.9800048828125
2020-01-05,2020-01-11,-3.800003051757824,0.920001220703125,3.399997711181629,-5.9
2020-01-12,2020-01-18,6.600006103515625,1.260003662109375,-2.9999961853027117,-5.2800048828125
2020-01-19,2020-01-25,-5.600006103515625,1.5199951171875,-5.79999923706057,4.8800048828125
2020-01-26,2020-02-01,-0.7999954223632699,-0.85999755859375,0.5999984741211051,-8.6199951171875
2020-02-02,2020-02-08,-10.200004577636731,-5.620001220703125,0.7999992370605469,-10.220007324218738
2020-02-09,2020-02-15,-5.79999542236327,-1.45999755859375,-1.0,6.100000000000011
2020-02-16,2020-02-22,-5.599998474121094,-0.54000244140625,-4.200000762939442,-3.9399963378906477
2020-02-23,2020-02-29,-5.500001907348646,-3.9999999999999885,1.8000030517577899,-10.860003662109364
2020-03-01,2020-03-07,-26.000003814697248,-9.099998474121108,1.749997138977065,-15.449996948242202
2020-03-08,2020-03-14,-0.5999984741210994,-6.025001525878899,-5.0,-19.675003051757812
2020-03-15,2020-03-21,7.0,-0.7799987792968807,-3.3999977111816464,-2.05999755859375
2020-03-22,2020-03-28,79.2,8.22000122070312,1.1999969482421988,4.5
2020-03-29,2020-04-04,-11.333333333333336,1.3799987792968806,-2.3999977111816406,-3.820001220703125
2020-04-05,2020-04-11,-16.800008138020832,1.2999979654948106,-3.666667938232431,8.700002034505209
2020-04-12,2020-04-18,-13.8199951171875,-7.466664632161478,0.9999974568684991,2.133331298828125
2020-04-19,2020-04-25,-2.533335367838541,-2.379998779296881,-1.0000000000000058,5.44000244140625
2020-04-26,2020-05-02,-2.639996337890625,-1.6333363850911364,53.16599782307943,13.233327229817727
2020-05-03,2020-05-09,2.739996337890625,-0.1399993896484375,0.6,16.040002441406237
2020-05-10,2020-05-16,2.820001220703125,0.2,-1.1395996093749887,3.320001220703125
2020-05-17,2020-05-23,7.425003051757784,2.0799987792968806,2.5200012207031137,7.679998779296875
2020-05-24,2020-05-30,-9.260003662109352,0.825000762939446,-6.424995422363281,0.07499694824221592
2020-05-31,2020-06-06,0.9000015258789062,-0.5,2.6199951171875115,28.899999999999977
2020-06-07,2020-06-13,-2.65999755859375,10.575000762939453,-10.699996948242202,-6.8499908447265625
2020-06-14,2020-06-20,0.1,4.979998779296875,-9.6,50.07999267578125
2020-06-21,2020-06-27,-13.480000305175814,-2.6,-2.0200012207031137,-21.24000244140625
2020-06-28,2020-07-04,-4.400004577636674,1.6999988555908316,-13.780000686645518,9.560001373291016
2020-07-05,2020-07-11,1.940002441406239,-1.6599964141845818,2.4000019073486327,-13.039994049072266
2020-07-12,2020-07-18,-0.820001220703125,4.439996337890625,-3.2200012207031192,0.94000244140625
2020-07-19,2020-07-25,36.95000457763668,5.420001220703125,50.320001220703126,-15.3800048828125
