first_day_in_week,last_day_in_week,OVRS_main_symb_weekly_mean_diff,DLEKG.TA_weekly_mean_diff_0.41
2019-03-10,2019-03-16,3.3599975585937614,-10.0
2019-03-17,2019-03-23,2.0200012207031137,-50.0
2019-03-24,2019-03-30,3.020001220703125,-352.0
2019-03-31,2019-04-06,0.1,256.0
2019-04-07,2019-04-13,-3.640002441406239,686.0
2019-04-14,2019-04-20,-3.619995117187512,-202.0
2019-04-21,2019-04-27,-5.9,448.0
2019-04-28,2019-05-04,-1.120001220703125,64.0
2019-05-05,2019-05-11,-1.579998779296875,-398.0
2019-05-12,2019-05-18,-4.24000244140625,-1128.0
2019-05-19,2019-05-25,-5.7400024414062365,620.0
2019-05-26,2019-06-01,5.7400024414062365,-14.0
2019-06-02,2019-06-08,-3.140002441406238,-400.0
2019-06-09,2019-06-15,2.9400024414062385,-152.0
2019-06-16,2019-06-22,-7.95999755859375,12.0
2019-06-23,2019-06-29,4.039996337890625,-92.0
2019-06-30,2019-07-06,-2.0,0.0
2019-07-07,2019-07-13,-2.079998779296875,-248.0
2019-07-14,2019-07-20,-1.979998779296875,-1640.0
2019-07-21,2019-07-27,-4.420001220703125,552.0
2019-07-28,2019-08-03,2.25999755859375,-190.0
2019-08-04,2019-08-10,-1.7199951171875,-822.0
2019-08-11,2019-08-17,3.05999755859375,-660.0
2019-08-18,2019-08-24,-1.379998779296875,168.0
2019-08-25,2019-08-31,4.379998779296875,512.0
2019-09-01,2019-09-07,0.059997558593761366,-536.0
2019-09-08,2019-09-14,-3.099998474121108,-334.0
2019-09-15,2019-09-21,0.760003662109375,300.0
2019-09-22,2019-09-28,6.649993896484375,-1176.0
2019-09-29,2019-10-05,0.0,1250.0
2019-10-06,2019-10-12,3.6666666666666665,-140.0
2019-10-13,2019-10-19,-4.733337402343731,803.3333333333334
2019-10-20,2019-10-26,-3.5199951171875115,-10.0
2019-10-27,2019-11-02,-2.44000244140625,-206.0
2019-11-03,2019-11-09,-0.55999755859375,1128.0
2019-11-10,2019-11-16,-1.920001220703125,52.0
2019-11-17,2019-11-23,-2.820001220703125,-134.0
2019-11-24,2019-11-30,-1.120001220703125,-28.0
2019-12-01,2019-12-07,2.960003662109375,-560.0
2019-12-08,2019-12-14,-4.34000244140625,182.0
2019-12-15,2019-12-21,1.4,300.0
2019-12-22,2019-12-28,8.04000244140625,-200.0
2019-12-29,2020-01-04,7.919995117187512,1900.0
2020-01-05,2020-01-11,-3.2599975585937613,-262.0
2020-01-12,2020-01-18,0.8599975585937614,-440.0
2020-01-19,2020-01-25,-0.3199951171875114,-228.0
2020-01-26,2020-02-01,-6.84000244140625,-1572.0
2020-02-02,2020-02-08,-0.4,60.0
2020-02-09,2020-02-15,-0.7,-288.0
2020-02-16,2020-02-22,-7.079998779296875,-142.0
2020-02-23,2020-02-29,-7.150001525878906,-1732.0
2020-03-01,2020-03-07,-13.325000762939453,-1590.0
2020-03-08,2020-03-14,-8.779998779296875,-5595.0
2020-03-15,2020-03-21,16.0,2190.0
2020-03-22,2020-03-28,-3.4600006103515626,-1332.6
2020-03-29,2020-04-04,4.066665649414063,256.6
2020-04-05,2020-04-11,1.3333333333333333,1833.3333333333333
2020-04-12,2020-04-18,1.220001220703125,63.333333333333336
2020-04-19,2020-04-25,3.833328247070313,-106.0
2020-04-26,2020-05-02,-6.279998779296871,-56.666666666666664
2020-05-03,2020-05-09,2.5800018310546817,-512.0
2020-05-10,2020-05-16,5.039999389648439,-786.0
2020-05-17,2020-05-23,-5.974998474121102,28.0
2020-05-24,2020-05-30,1.0799987792968806,-37.5
2020-05-31,2020-06-06,-0.22499847412110088,1.0
2020-06-07,2020-06-13,1.5799987792968806,91.25
2020-06-14,2020-06-20,-1.8600006103515625,176.0
2020-06-21,2020-06-27,-4.279999160766602,-468.0
2020-06-28,2020-07-04,1.5000003814697265,-122.39993286132812
2020-07-05,2020-07-11,-0.08000183105468181,-204.4000671386719
2020-07-12,2020-07-18,-1.2599975585937613,52.0
2020-07-19,2020-07-25,2.4749984741211013,148.2
