first_day_in_week,last_day_in_week,DELT_main_symb_weekly_mean_diff,ALRPR.TA_weekly_mean_diff_0.45_INT_OPAL.TA_weekly_mean_diff_0.48_corr_0.74,SHOM.TA_weekly_mean_diff_0.52
2019-03-10,2019-03-16,-68.00003051757811,84.48007812500073,-0.6
2019-03-17,2019-03-23,-13.999938964844114,0.0,1.44000244140625
2019-03-24,2019-03-30,-32.00012207031177,-11.959887695312501,3.3
2019-03-31,2019-04-06,86.00006103515587,93.3599853515625,5.05999755859375
2019-04-07,2019-04-13,-20.0,-37.24005126953125,6.34000244140625
2019-04-14,2019-04-20,-28.0,-30.600219726562504,2.479998779296875
2019-04-21,2019-04-27,-18.000061035155888,23.8,1.979998779296875
2019-04-28,2019-05-04,-27.99993896484411,250.59991455078125,-5.0
2019-05-05,2019-05-11,-177.99996948242188,-22.320043945312502,4.620001220703125
2019-05-12,2019-05-18,101.99996948242188,-0.36002197265624997,-1.620001220703125
2019-05-19,2019-05-25,-13.999938964844114,57.6,8.74000244140625
2019-05-26,2019-06-01,-70.0,82.0,-6.54000244140625
2019-06-02,2019-06-08,67.99987792968821,-54.0,4.8
2019-06-09,2019-06-15,-15.99990844726599,-148.0,-3.820001220703125
2019-06-16,2019-06-22,21.999969482421875,-183.59967041015628,-0.639996337890625
2019-06-23,2019-06-29,18.000030517578125,-36.0,3.35999755859375
2019-06-30,2019-07-06,20.0,706.3196044921875,1.0599975585937613
2019-07-07,2019-07-13,-66.00006103515625,159.72008056640627,-0.5
2019-07-14,2019-07-20,-33.99993896484375,90.43970947265625,-0.6399963378906364
2019-07-21,2019-07-27,-1.9999694824222387,-42.159875488281244,5.95999755859375
2019-07-28,2019-08-03,-114.80010986328051,94.240185546875,1.94000244140625
2019-08-04,2019-08-10,-110.59997558593788,-127.9201904296875,-4.520001220703125
2019-08-11,2019-08-17,36.199951171875,11.4,1.14000244140625
2019-08-18,2019-08-24,0.0,-520.0,6.119995117187523
2019-08-25,2019-08-31,-118.19992065429688,-102.0,2.5800048828124544
2019-09-01,2019-09-07,56.7999267578125,0.0,6.159997558593773
2019-09-08,2019-09-14,23.250007629394986,46.0799560546875,4.15999755859375
2019-09-15,2019-09-21,-69.1999816894535,38.000144958496094,-0.649993896484375
2019-09-22,2019-09-28,-141.99981689453125,18.0,-1.94000244140625
2019-09-29,2019-10-05,89.66649373372394,26.00006103515625,4.79998779296875
2019-10-06,2019-10-12,108.00018310546876,175.0005086263021,6.900004069010417
2019-10-13,2019-10-19,-48.66663614908853,-5.555555555555556,2.20001220703125
2019-10-20,2019-10-26,18.600006103515625,-240.0,4.133321126302083
2019-10-27,2019-11-02,-6.800079345703125,31.5999755859375,8.05999755859375
2019-11-03,2019-11-09,47.59994506835938,-73.44012451171875,6.6800048828125
2019-11-10,2019-11-16,107.60009765625,-49.68006591796875,5.4199951171875
2019-11-17,2019-11-23,81.60003662109338,134.1599365234375,4.7800048828125
2019-11-24,2019-11-30,-70.40008544921838,68.64016113281251,-6.0
2019-12-01,2019-12-07,3.3999633789066137,11.399963378906364,-5.7800048828125
2019-12-08,2019-12-14,-88.19992065429724,-40.39990234375023,-5.1
2019-12-15,2019-12-21,-1.8000793457027613,227.1197509765625,13.24000244140625
2019-12-22,2019-12-28,57.00012207031178,-63.84005126953125,3.6800048828125
2019-12-29,2020-01-04,-28.200073242187138,294.0,12.07999267578125
2020-01-05,2020-01-11,30.599975585937862,396.0,23.00000000000002
2020-01-12,2020-01-18,24.600067138671516,-392.9210205078078,-10.739990234375023
2020-01-19,2020-01-25,-129.1999816894535,20.159692382813457,-0.84000244140625
2020-01-26,2020-02-01,-37.600097656249645,752.4002685546875,-3.3800048828125
2020-02-02,2020-02-08,8.600006103515625,132.6801513671868,15.34000244140625
2020-02-09,2020-02-15,-41.399993896484375,-73.20007324218716,-6.5199951171875
2020-02-16,2020-02-22,-290.19996337890626,893.0797973632812,19.27999267578125
2020-02-23,2020-02-29,-116.5,1226.3999999999999,-20.4
2020-03-01,2020-03-07,-532.4999809265139,18912.5,-40.44999694824219
2020-03-08,2020-03-14,-159.19998168945298,30591.499999999993,-62.275001525878906
2020-03-15,2020-03-21,17.199935913085845,452.4879602050783,-2.179998779296875
2020-03-22,2020-03-28,283.6000061035159,4129.728229980468,37.6
2020-03-29,2020-04-04,-2.6666005452480017,1127.3036627197287,-6.44000244140625
2020-04-05,2020-04-11,-9.333419799804382,-278.0451931423588,11.599995930989584
2020-04-12,2020-04-18,53.800048828125,76.00173950194772,12.5
2020-04-19,2020-04-25,200.99995930989587,60.09213256835897,10.52000732421875
2020-04-26,2020-05-02,-127.9999542236328,1965.5980224609375,27.133321126302082
2020-05-03,2020-05-09,-49.000015258789254,-1023.2757678222655,-9.2199951171875
2020-05-10,2020-05-16,-115.60005187988264,1939.2627734374998,-23.2800048828125
2020-05-17,2020-05-23,92.25006103515602,-16.28,13.8
2020-05-24,2020-05-30,-240.50006866455035,-0.0,-8.17498779296875
