first_day_in_week,last_day_in_week,SHNP_main_symb_weekly_mean_diff,ECP.TA_weekly_mean_diff_0.36
2019-03-03,2019-03-09,-13.2,-0.8
2019-03-10,2019-03-16,16.0,23.2
2019-03-17,2019-03-23,-3.4,-25.0
2019-03-24,2019-03-30,-8.8,15.0
2019-03-31,2019-04-06,5.2,-6.8
2019-04-07,2019-04-13,-9.6,91.8
2019-04-14,2019-04-20,9.0,21.8
2019-04-21,2019-04-27,-10.0,2.8
2019-04-28,2019-05-04,-1.8,-16.4
2019-05-05,2019-05-11,2.2,-14.0
2019-05-12,2019-05-18,-4.4,27.6
2019-05-19,2019-05-25,-30.8,6.0
2019-05-26,2019-06-01,-17.4,-43.8
2019-06-02,2019-06-08,-5.0,-16.2
2019-06-09,2019-06-15,-0.4,6.2
2019-06-16,2019-06-22,-5.4,-12.8
2019-06-23,2019-06-29,-16.2,-18.4
2019-06-30,2019-07-06,-11.2,59.0
2019-07-07,2019-07-13,-6.6,-52.0
2019-07-14,2019-07-20,-7.8,32.6
2019-07-21,2019-07-27,-7.6,21.2
2019-07-28,2019-08-03,5.4,79.4
2019-08-04,2019-08-10,-7.8,40.6
2019-08-11,2019-08-17,14.4,47.4
2019-08-18,2019-08-24,-13.8,12.8
2019-08-25,2019-08-31,-10.719995117187525,-41.0
2019-09-01,2019-09-07,7.719995117187523,87.0
2019-09-08,2019-09-14,5.5,-21.2
2019-09-15,2019-09-21,-1.4,-69.0
2019-09-22,2019-09-28,-24.5,92.4
2019-09-29,2019-10-05,11.333333333333336,-44.5
2019-10-06,2019-10-12,11.0,-10.333333333333334
2019-10-13,2019-10-19,31.0,95.33333333333333
2019-10-20,2019-10-26,8.6,-83.33333333333333
2019-10-27,2019-11-02,1.2,30.6
2019-11-03,2019-11-09,-19.6,-28.6
2019-11-10,2019-11-16,-1.4,20.8
2019-11-17,2019-11-23,19.2,86.2
2019-11-24,2019-11-30,-6.0,8.0
2019-12-01,2019-12-07,2.0,-27.2
2019-12-08,2019-12-14,-20.8,-25.4
2019-12-15,2019-12-21,6.2,22.6
2019-12-22,2019-12-28,11.6,10.0
2019-12-29,2020-01-04,-1.6,-2.0
2020-01-05,2020-01-11,-3.2,69.2
2020-01-12,2020-01-18,2.4,-68.4
2020-01-19,2020-01-25,-4.6,5.4
2020-01-26,2020-02-01,-0.8,107.6
2020-02-02,2020-02-08,4.4,32.8
2020-02-09,2020-02-15,-4.0,45.8
2020-02-16,2020-02-22,-19.0,-69.8
2020-02-23,2020-02-29,-17.25,-86.6
2020-03-01,2020-03-07,-56.69999694824219,-112.5
2020-03-08,2020-03-14,-13.44000244140625,-242.75
2020-03-15,2020-03-21,19.54000244140625,48.2
2020-03-22,2020-03-28,5.45999755859375,215.4
2020-03-29,2020-04-04,-21.900004069010414,-131.6
2020-04-05,2020-04-11,13.566670735677086,170.33333333333334
2020-04-12,2020-04-18,21.1800048828125,-13.333333333333334
2020-04-19,2020-04-25,32.933329264322914,66.0
2020-04-26,2020-05-02,-8.4,68.33333333333333
2020-05-03,2020-05-09,-2.54000244140625,-25.0
2020-05-10,2020-05-16,9.6,2.2
2020-05-17,2020-05-23,-17.600006103515625,75.4
2020-05-24,2020-05-30,14.2800048828125,260.5
2020-05-31,2020-06-06,-7.7250061035155975,4.2
2020-06-07,2020-06-13,-5.779992675781273,-35.25
2020-06-14,2020-06-20,-3.44000244140625,78.0
2020-06-21,2020-06-27,9.399991607666015,-26.0
2020-06-28,2020-07-04,-4.759989166259767,25.99993896484375
2020-07-05,2020-07-11,-0.45999755859375,-122.39993896484376
2020-07-12,2020-07-18,1.4199951171875,282.6
