first_day_in_week,last_day_in_week,CRMT_main_symb_weekly_mean_diff,ARYT.TA_weekly_mean_diff_0.41,AURA.TA_weekly_mean_diff_0.41,MNRV.TA_weekly_mean_diff_0.41,ROTS.TA_weekly_mean_diff_0.43,ORIN.TA_weekly_mean_diff_0.44
2020-02-23,2020-02-29,-33.0,-1.0399993896484374,-5.14000244140625,-555.999755859375,-62.4,-46.0
2020-03-01,2020-03-07,-46.5,-2.750000000000007,-3.474998474121101,-1602.4993896484375,-117.0,-7.25
2020-03-08,2020-03-14,-27.0,-6.800001144409173,-17.325000762939446,-3685.0006103515625,-134.25,-81.0
2020-03-15,2020-03-21,-32.2,-0.25999908447265907,-6.700000000000003,-1423.9996337890625,-28.0,-27.4
2020-03-22,2020-03-28,32.8,0.6799987792968807,1.2799987792968808,1955.999755859375,62.0,15.4
2020-03-29,2020-04-04,-6.666666666666668,1.3,-0.4799987792968807,244.000244140625,23.6,29.4
2020-04-05,2020-04-11,34.0,5.533335367838528,5.566665649414067,1466.6666666666667,58.333333333333336,38.333333333333336
2020-04-12,2020-04-18,-0.2,-0.8000030517578031,-1.5333353678385417,646.6664632161459,40.666666666666664,2.3333333333333335
2020-04-19,2020-04-25,1.0,-1.6599990844726562,-2.299998474121094,458.0,15.2,3.2
2020-04-26,2020-05-02,0.4,2.6999994913737075,1.0333328247070312,210.0,63.0,13.333333333333334
2020-05-03,2020-05-09,-5.4,0.060000610351556814,-1.0,-196.0,-54.8,-8.4
2020-05-10,2020-05-16,0.4,-0.16000061035155683,-1.7,-648.0,-7.2,9.2
2020-05-17,2020-05-23,-0.75,-0.37999877929688636,-0.31999969482421875,580.0,-44.0,16.4
2020-05-24,2020-05-30,1.8,-0.6000022888183523,0.2759990692138672,-432.5,-20.75,-6.75
2020-05-31,2020-06-06,6.75,0.2800018310546818,0.7660003662109375,-184.0,4.4,13.0
2020-06-07,2020-06-13,-9.6,-0.15000152587889204,0.4664993286132848,10.0,2.5,-12.5
2020-06-14,2020-06-20,-7.4,-1.439999389648443,-0.5599990844726591,-62.0,28.0,15.4
2020-06-21,2020-06-27,14.999995422363329,1.779998779296875,-1.5400009155273409,-38.0,19.0,0.6
2020-06-28,2020-07-04,-0.7999954223633268,0.660001277923584,1.1000002861022922,49.9998779296875,-17.799984741210938,-2.3999908447265623
2020-07-05,2020-07-11,0.0,-0.5799994468689021,-1.400000286102292,-159.9998779296875,-19.600015258789064,3.1999908447265626
2020-07-12,2020-07-18,4.6,-0.4800018310546818,2.0600006103515596,502.0,71.4,-4.8
2020-07-19,2020-07-25,-20.75,-0.49999847412109377,-1.2,-154.0,-13.0,-4.0
