first_day_in_week,last_day_in_week,LAPD_main_symb_weekly_mean_diff,OPAL.TA_weekly_mean_diff_0.48_INT_SHOM.TA_weekly_mean_diff_0.46_corr_0.77
2019-03-10,2019-03-16,6.5880126953125,-0.7920007324218818
2019-03-17,2019-03-23,0.4,3.052798144519329
2019-03-24,2019-03-30,18.7639892578125,-0.857991943359375
2019-03-31,2019-04-06,2.19599609375,39.36677482910454
2019-04-07,2019-04-13,-4.1919921875,16.864429711923005
2019-04-14,2019-04-20,0.197998046875,-0.8432056396454574
2019-04-21,2019-04-27,-10.1800048828125,3.365997924804687
2019-04-28,2019-05-04,5.3900146484375,17.899993896484375
2019-05-05,2019-05-11,-1.397998046875,-2.8644063964858653
2019-05-12,2019-05-18,1.197998046875,0.032402001954615116
2019-05-19,2019-05-25,0.997998046875,7.866002197265626
2019-05-26,2019-06-01,-24.952001953125,3.270001220703125
2019-06-02,2019-06-08,5.389990234375,8.64
2019-06-09,2019-06-15,0.597998046875,3.820001220703125
2019-06-16,2019-06-22,-0.2,1.3055901855602863
2019-06-23,2019-06-29,0.6,6.04799560546875
2019-06-30,2019-07-06,-10.181982421875,4.621586767584135
2019-07-07,2019-07-13,-1.79599609375,-1.2100006103515626
2019-07-14,2019-07-20,4.989990234375,0.24319782715291216
2019-07-21,2019-07-27,-23.75400390625,7.390375146493316
2019-07-28,2019-08-03,2.793994140625,2.4056077636778355
2019-08-04,2019-08-10,1.397998046875,3.7064065185561774
2019-08-11,2019-08-17,9.5820068359375,-0.114000244140625
2019-08-18,2019-08-24,9.9800048828125,-39.7799682617189
2019-08-25,2019-08-31,-10.3800048828125,-7.740014648437363
2019-09-01,2019-09-07,85.8380126953125,18.479992675781318
2019-09-08,2019-09-14,-60.385009765625,5.32479179687798
2019-09-15,2019-09-21,9.1820068359375,-0.25999855040572584
2019-09-22,2019-09-28,-38.925048828125,3.49200439453125
2019-09-29,2019-10-05,-15.636637369791664,-6.239998779259622
2019-10-06,2019-10-12,22.28999837239583,4.830016886401508
2019-10-13,2019-10-19,14.973307291666664,1.833343505859375
2019-10-20,2019-10-26,6.9860107421875,11.022189670138888
2019-10-27,2019-11-02,20.6239990234375,12.734786303713918
2019-11-03,2019-11-09,9.4,4.809611669927835
2019-11-10,2019-11-16,-5.8,4.986402124017476
2019-11-17,2019-11-23,59.0,12.332406762689352
2019-11-24,2019-11-30,-43.4,-3.1200073242187503
2019-12-01,2019-12-07,7.8,-6.589184399396247
2019-12-08,2019-12-14,9.8,10.301975097656308
2019-12-15,2019-12-21,-0.6,44.22155966795981
2019-12-22,2019-12-28,-10.6,5.59361191406846
2019-12-29,2020-01-04,13.2,59.19196411132813
2020-01-05,2020-01-11,36.8,207.0000000000002
2020-01-12,2020-01-18,58.4,10.095617040991684
2020-01-19,2020-01-25,-34.6,0.20159750975669385
2020-01-26,2020-02-01,14.2,11.559620825201273
2020-02-02,2020-02-08,26.8,-32.82764267578704
2020-02-09,2020-02-15,14.8,-15.908804003894256
2020-02-16,2020-02-22,-29.8,103.72633706055582
2020-02-23,2020-02-29,-14.75,57.11999999999999
2020-03-01,2020-03-07,-205.5,859.5624351501465
2020-03-08,2020-03-14,-39.0,1899.3875465393062
2020-03-15,2020-03-21,30.2,30.258380395509313
2020-03-22,2020-03-28,47.8,412.09602294921876
2020-03-29,2020-04-04,71.33333333333333,-39.41280314940967
2020-04-05,2020-04-11,46.0,26.293394910999254
2020-04-12,2020-04-18,8.8,-3.333409627278409
2020-04-19,2020-04-25,61.33333333333334,17.46325068362045
2020-04-26,2020-05-02,20.4,164.60864922424986
2020-05-03,2020-05-09,-14.2,-49.60356247559189
2020-05-10,2020-05-16,-20.0,179.72152402341365
2020-05-17,2020-05-23,40.0,-2.7600000000000002
2020-05-24,2020-05-30,-1.4,18.393722534179688
2020-05-31,2020-06-06,-25.25,0.5151950195431709
2020-06-07,2020-06-13,12.2,-15.270581741351634
2020-06-14,2020-06-20,-7.6,3.7152360351383686
2020-06-21,2020-06-27,10.200003051757813,19.571198193356363
2020-06-28,2020-07-04,-19.00000305175781,-47.150006885528775
2020-07-05,2020-07-11,11.0,21.23518669585683
2020-07-12,2020-07-18,44.2,1.5576070312410668
2020-07-19,2020-07-25,-6.25,16.93438613280649
