first_day_in_week,last_day_in_week,CSURE_main_symb_weekly_mean_diff,ALGS.TA_weekly_mean_diff_0.38,TREN.TA_weekly_mean_diff_0.38,CMDR.TA_weekly_mean_diff_0.41
2019-03-10,2019-03-16,2.5184011459350586,20.4,20.8,-78.0
2019-03-17,2019-03-23,2.2185993194580083,27.2,25.0,78.0
2019-03-24,2019-03-30,2.9582023620605584,-24.2,-13.4,-62.0
2019-03-31,2019-04-06,1.2792015075683478,4.8,-3.0,134.0
2019-04-07,2019-04-13,-2.7582025527954217,-18.6,7.0,-22.0
2019-04-14,2019-04-20,-0.5198001861572152,-34.8,-7.8,46.0
2019-04-21,2019-04-27,-5.116600990295393,26.2,3.6,-24.0
2019-04-28,2019-05-04,-1.1793994903564624,-27.2,-5.2,-10.0
2019-05-05,2019-05-11,-6.735599040985107,12.2,-11.8,-14.0
2019-05-12,2019-05-18,-0.4198002815246582,-2.2,-8.0,86.0
2019-05-19,2019-05-25,-4.417200088500977,-7.0,15.0,214.0
2019-05-26,2019-06-01,-2.098598480224604,0.0,-1.4,48.0
2019-06-02,2019-06-08,-0.9194016456604059,3.2,-5.6,-108.0
2019-06-09,2019-06-15,1.2192010879516602,-46.8,6.0,2.0
2019-06-16,2019-06-22,-0.2398014068603459,20.6,8.4,40.0
2019-06-23,2019-06-29,-1.819000244140625,-36.4,-7.8,186.0
2019-06-30,2019-07-06,-1.3789987564086972,19.8,-4.8,160.0
2019-07-07,2019-07-13,-2.1986007690429688,-30.8,4.8,-18.0
2019-07-14,2019-07-20,2.0986008644104004,-22.4,7.4,146.0
2019-07-21,2019-07-27,-2.3584008216857995,-8.4,-5.4,140.0
2019-07-28,2019-08-03,-2.558400630950911,7.8,-11.4,140.0
2019-08-04,2019-08-10,-0.3797984123230066,-14.8,9.8,-176.0
2019-08-11,2019-08-17,2.3785996437072754,-41.6,-0.4,-36.0
2019-08-18,2019-08-24,0.9193992614746094,-17.0,21.6,192.0
2019-08-25,2019-08-31,-0.9993982315063475,15.0,-1.0,22.0
2019-09-01,2019-09-07,-0.9394001960754425,-36.4,-0.6,-136.0
2019-09-08,2019-09-14,-0.9245008230209316,20.2,0.2,188.0
2019-09-15,2019-09-21,-1.239199638366702,-19.75,-8.0,90.0
2019-09-22,2019-09-28,-3.3479988574981547,-31.4,-18.2,-110.0
2019-09-29,2019-10-05,-0.1663366953531996,-24.5,14.0,-275.0
2019-10-06,2019-10-12,-0.4663308461507067,-25.666666666666668,9.0,-86.66666666666667
2019-10-13,2019-10-19,-1.7989675203959197,-27.333333333333332,1.0,-260.0
2019-10-20,2019-10-26,3.11798095703125,0.0,2.0,333.3333333333333
2019-10-27,2019-11-02,-0.3198003768920927,-9.2,-14.0,-40.0
2019-11-03,2019-11-09,-0.03999948501586914,57.2,12.0,-64.0
2019-11-10,2019-11-16,1.6989994049072294,-6.8,-12.0,-78.0
2019-11-17,2019-11-23,-0.0800013542175293,-25.2,4.2,140.0
2019-11-24,2019-11-30,-0.2797985076904297,1.8,2.8,46.0
2019-12-01,2019-12-07,-1.7452001571655271,-18.0,-17.6,-90.0
2019-12-08,2019-12-14,-0.840001106262207,10.0,18.0,-16.0
2019-12-15,2019-12-21,1.820001602172852,28.0,-0.2,66.0
2019-12-22,2019-12-28,-0.7200002670288,-37.0,-4.0,-64.0
2019-12-29,2020-01-04,-0.5200004577636804,70.8,-4.8,116.0
2020-01-05,2020-01-11,-0.3399991989135714,-23.8,-2.2,148.0
2020-01-12,2020-01-18,-0.7200002670288115,-13.0,-7.0,32.0
2020-01-19,2020-01-25,0.3600001335144015,-34.8,-13.0,-64.0
2020-01-26,2020-02-01,-0.04000186920165731,-18.4,12.0,94.0
2020-02-02,2020-02-08,-0.7399988174438448,-31.6,-4.4,-122.0
2020-02-09,2020-02-15,1.6000008583068848,-7.8,14.0,146.0
2020-02-16,2020-02-22,-1.2200008630752592,-5.4,-14.6,-186.0
2020-02-23,2020-02-29,1.1999988853931465,-29.0,-2.4,-218.0
2020-03-01,2020-03-07,-6.499999344348908,-30.25,-4.0,-315.0
2020-03-08,2020-03-14,-2.5,-111.0,-37.25,-918.5
2020-03-15,2020-03-21,3.719999790191648,-30.9199951171875,-11.6,-60.6
2020-03-22,2020-03-28,0.8000004291534424,12.9199951171875,15.6,247.4
2020-03-29,2020-04-04,2.133333683013916,90.2,1.2,346.0
2020-04-05,2020-04-11,1.6666650772094869,19.333333333333332,22.0,293.3333333333333
2020-04-12,2020-04-18,7.539999485015856,50.333333333333336,13.0,440.0
2020-04-19,2020-04-25,-6.099998950958242,-11.0,1.8,-122.0
2020-04-26,2020-05-02,6.960000991821289,172.33333333333334,26.333333333333332,350.0
2020-05-03,2020-05-09,-2.280001640319824,-40.6,-23.4,-54.0
2020-05-10,2020-05-16,1.8000006675720155,-4.4,2.4,36.0
2020-05-17,2020-05-23,-1.0250002145767212,-46.4,5.2,192.0
2020-05-24,2020-05-30,-2.4999976158141948,-36.0,-24.5,-147.5
