first_day_in_week,last_day_in_week,ALLT_main_symb_weekly_mean_diff,DNA.TA_weekly_mean_diff_0.43,IBI.TA_weekly_mean_diff_0.43
2019-03-10,2019-03-16,-6.8,-1.320001220703125,29.0
2019-03-17,2019-03-23,-6.8,-1.079998779296875,8.0
2019-03-24,2019-03-30,4.6,0.1199981689453125,-12.8
2019-03-31,2019-04-06,-2.0,2.2800018310546877,20.2
2019-04-07,2019-04-13,0.6,-0.24000244140625,16.2
2019-04-14,2019-04-20,5.4,-1.8,-7.4
2019-04-21,2019-04-27,-46.4,-1.3199981689453124,0.0
2019-04-28,2019-05-04,10.8,0.0,16.0
2019-05-05,2019-05-11,2.8,-1.2,-20.4
2019-05-12,2019-05-18,-12.4,-0.9600006103515625,37.8
2019-05-19,2019-05-25,-18.8,2.0399993896484374,-23.0
2019-05-26,2019-06-01,14.2,-3.5999999999999943,-1.6
2019-06-02,2019-06-08,-16.6,0.9600006103515568,-50.4
2019-06-09,2019-06-15,6.2,0.2399993896484432,30.4
2019-06-16,2019-06-22,-0.4,-0.36000061035156816,1.2
2019-06-23,2019-06-29,41.6,-0.23999938964843182,-10.4
2019-06-30,2019-07-06,16.4,2.5200012207031195,-6.0
2019-07-07,2019-07-13,-25.6,-3.0000000000000058,-4.6
2019-07-14,2019-07-20,-16.4,0.7199981689453182,16.4
2019-07-21,2019-07-27,-25.6,-0.7199981689453182,-13.0
2019-07-28,2019-08-03,19.0,-0.12000122070311363,23.6
2019-08-04,2019-08-10,-19.6,-1.6799987792968836,-16.2
2019-08-11,2019-08-17,62.8,-0.9600006103515597,-9.2
2019-08-18,2019-08-24,-27.2,0.0,-2.4
2019-08-25,2019-08-31,-4.6,-0.8399993896484403,25.2
2019-09-01,2019-09-07,8.8,-0.7200012207031193,4.6
2019-09-08,2019-09-14,22.75,0.2400009155273409,-6.6
2019-09-15,2019-09-21,11.0,0.600000381469723,-44.25
2019-09-22,2019-09-28,-51.5,-1.9200012207031194,9.8
2019-09-29,2019-10-05,-16.333333333333332,-1.799999237060554,-2.0
2019-10-06,2019-10-12,-12.333333333333336,-2.200065612792964,9.666666666666666
2019-10-13,2019-10-19,-4.333333333333333,0.0,-48.333333333333336
2019-10-20,2019-10-26,20.2,-1.0,-7.0
2019-10-27,2019-11-02,59.4,-1.4400009155273465,5.8
2019-11-03,2019-11-09,-16.0,-0.9599990844726562,-10.2
2019-11-10,2019-11-16,8.6,-2.919960021972659,7.4
2019-11-17,2019-11-23,0.2,-0.520000457763669,25.4
2019-11-24,2019-11-30,-14.6,-0.7199996948242188,24.6
2019-12-01,2019-12-07,17.2,0.25999984741210935,46.8
2019-12-08,2019-12-14,-20.2,0.28000030517577984,-60.8
2019-12-15,2019-12-21,-9.4,1.1399993896484417,-2.4
2019-12-22,2019-12-28,27.8,-0.7599990844726591,17.4
2019-12-29,2020-01-04,40.4,0.4399993896484375,47.4
2020-01-05,2020-01-11,18.6,-0.0600006103515625,-25.4
2020-01-12,2020-01-18,28.8,1.3600006103515625,11.6
2020-01-19,2020-01-25,-18.0,-0.11999969482421875,-22.2
2020-01-26,2020-02-01,212.2,2.4,33.6
2020-02-02,2020-02-08,-39.4,-0.5800003051757813,-72.0
2020-02-09,2020-02-15,-38.0,0.9800003051757813,19.4
2020-02-16,2020-02-22,-58.4,-0.5199996948242187,-17.6
2020-02-23,2020-02-29,-42.5,-1.6600006103515625,-1.0
2020-03-01,2020-03-07,-123.25,-2.825000762939453,-67.75
2020-03-08,2020-03-14,-107.0,-4.324998855590822,-241.5
2020-03-15,2020-03-21,117.8,1.5799995422363295,-88.0
2020-03-22,2020-03-28,38.4,-0.6199996948242188,81.2
2020-03-29,2020-04-04,37.66666666666666,1.179999542236328,79.0
2020-04-05,2020-04-11,106.66666666666669,1.0,66.33333333333333
2020-04-12,2020-04-18,7.6,0.30000050862630206,14.666666666666666
2020-04-19,2020-04-25,67.66666666666667,0.7,37.2
2020-04-26,2020-05-02,18.2,2.3333333333333335,43.333333333333336
2020-05-03,2020-05-09,-66.6,0.6600006103515625,-52.0
2020-05-10,2020-05-16,96.0,0.5399993896484375,-9.8
2020-05-17,2020-05-23,-91.5,-0.31999969482421875,-25.6
2020-05-24,2020-05-30,-19.8,-2.8250007629394496,-43.0
2020-05-31,2020-06-06,-35.25,-0.43999938964844176,-0.8
2020-06-07,2020-06-13,4.8,0.47500038146972834,13.75
2020-06-14,2020-06-20,-17.6,0.479998779296875,-14.2
2020-06-21,2020-06-27,-7.2,-2.399999237060547,-0.8
2020-06-28,2020-07-04,-0.8,-0.8400004386901841,-20.4
2020-07-05,2020-07-11,31.4,0.5000002861022935,22.8
2020-07-12,2020-07-18,75.0,0.31999969482421875,27.6
2020-07-19,2020-07-25,-12.0,2.1000000000000028,-3.4
